====================================================================================================
Training started at: 2026-03-14 22:58:45
Result directory: results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_cifar100_20260314-225845.txt
Result log file : results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_cifar100_20260314-225845.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | Pure=70.000 | RoundTime=37.29s | TotalTime=37.29s | Method=feddenoise
[Round 002/100] Acc=1.090 | Pure=69.998 | RoundTime=34.44s | TotalTime=71.73s | Method=feddenoise
[Round 003/100] Acc=6.450 | Pure=69.975 | RoundTime=34.10s | TotalTime=105.83s | Method=feddenoise
[Round 004/100] Acc=11.230 | Pure=70.007 | RoundTime=34.24s | TotalTime=140.07s | Method=feddenoise
[Round 005/100] Acc=13.400 | Pure=70.019 | RoundTime=35.16s | TotalTime=175.23s | Method=feddenoise
[Round 006/100] Acc=14.570 | Pure=69.989 | RoundTime=34.76s | TotalTime=209.99s | Method=feddenoise
[Round 007/100] Acc=15.330 | Pure=70.023 | RoundTime=35.07s | TotalTime=245.07s | Method=feddenoise
[Round 008/100] Acc=15.970 | Pure=69.992 | RoundTime=34.29s | TotalTime=279.35s | Method=feddenoise
[Round 009/100] Acc=16.300 | Pure=70.005 | RoundTime=34.95s | TotalTime=314.30s | Method=feddenoise
[Round 010/100] Acc=17.230 | Pure=70.009 | RoundTime=34.05s | TotalTime=348.35s | Method=feddenoise
[Round 011/100] Acc=17.540 | Pure=76.569 | RoundTime=43.50s | TotalTime=391.84s | Method=feddenoise
[Round 012/100] Acc=18.140 | Pure=76.792 | RoundTime=42.54s | TotalTime=434.39s | Method=feddenoise
[Round 013/100] Acc=18.250 | Pure=76.942 | RoundTime=41.99s | TotalTime=476.37s | Method=feddenoise
