====================================================================================================
Training started at: 2026-03-19 04:08:24
Result directory: results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.65
Result txt file : results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.65/feddenoise_fl_cifar100_20260319-040824-918773_pid1994764.txt
Result log file : results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.65/feddenoise_fl_cifar100_20260319-040824-918773_pid1994764.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 32
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.65
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | Pure=69.989 | RoundTime=33.42s | TotalTime=33.42s | Method=feddenoise
[Round 002/100] Acc=1.520 | Pure=70.034 | RoundTime=33.93s | TotalTime=67.35s | Method=feddenoise
[Round 003/100] Acc=2.530 | Pure=70.043 | RoundTime=31.59s | TotalTime=98.94s | Method=feddenoise
[Round 004/100] Acc=6.740 | Pure=70.002 | RoundTime=31.44s | TotalTime=130.38s | Method=feddenoise
[Round 005/100] Acc=9.200 | Pure=70.006 | RoundTime=32.34s | TotalTime=162.72s | Method=feddenoise
[Round 006/100] Acc=10.720 | Pure=69.975 | RoundTime=39.35s | TotalTime=202.07s | Method=feddenoise
[Round 007/100] Acc=12.190 | Pure=70.028 | RoundTime=37.53s | TotalTime=239.60s | Method=feddenoise
[Round 008/100] Acc=13.490 | Pure=69.967 | RoundTime=33.45s | TotalTime=273.05s | Method=feddenoise
[Round 009/100] Acc=13.610 | Pure=70.014 | RoundTime=34.35s | TotalTime=307.40s | Method=feddenoise
[Round 010/100] Acc=15.160 | Pure=69.975 | RoundTime=34.69s | TotalTime=342.10s | Method=feddenoise
[Round 011/100] Acc=10.830 | Pure=84.553 | RoundTime=38.65s | TotalTime=380.75s | Method=feddenoise
[Round 012/100] Acc=11.930 | Pure=85.260 | RoundTime=40.85s | TotalTime=421.60s | Method=feddenoise
[Round 013/100] Acc=13.850 | Pure=85.914 | RoundTime=41.96s | TotalTime=463.56s | Method=feddenoise
[Round 014/100] Acc=14.490 | Pure=83.984 | RoundTime=40.31s | TotalTime=503.87s | Method=feddenoise
[Round 015/100] Acc=15.120 | Pure=83.887 | RoundTime=38.42s | TotalTime=542.30s | Method=feddenoise
