====================================================================================================
Training started at: 2026-03-22 02:53:23
Result directory: results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-most_sim_dr-0.3
Result txt file : results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-most_sim_dr-0.3/feddenoise_fl_cifar100_20260322-025323-782829_pid188533.txt
Result log file : results/fl_cifar100/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-most_sim_dr-0.3/feddenoise_fl_cifar100_20260322-025323-782829_pid188533.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.3
Denoise strategy: most_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | Pure=69.993 | RoundTime=33.20s | TotalTime=33.20s | Method=feddenoise
[Round 002/100] Acc=1.500 | Pure=70.011 | RoundTime=35.29s | TotalTime=68.49s | Method=feddenoise
[Round 003/100] Acc=4.760 | Pure=70.018 | RoundTime=33.18s | TotalTime=101.67s | Method=feddenoise
[Round 004/100] Acc=9.880 | Pure=69.986 | RoundTime=35.28s | TotalTime=136.95s | Method=feddenoise
[Round 005/100] Acc=10.250 | Pure=70.008 | RoundTime=32.81s | TotalTime=169.76s | Method=feddenoise
[Round 006/100] Acc=11.980 | Pure=70.041 | RoundTime=32.99s | TotalTime=202.74s | Method=feddenoise
[Round 007/100] Acc=13.890 | Pure=70.013 | RoundTime=35.10s | TotalTime=237.85s | Method=feddenoise
[Round 008/100] Acc=14.680 | Pure=69.996 | RoundTime=32.17s | TotalTime=270.02s | Method=feddenoise
[Round 009/100] Acc=14.700 | Pure=70.012 | RoundTime=34.70s | TotalTime=304.72s | Method=feddenoise
[Round 010/100] Acc=16.300 | Pure=70.001 | RoundTime=33.35s | TotalTime=338.08s | Method=feddenoise
[Round 011/100] Acc=15.360 | Pure=78.585 | RoundTime=46.94s | TotalTime=385.02s | Method=feddenoise
[Round 012/100] Acc=17.370 | Pure=77.389 | RoundTime=46.61s | TotalTime=431.63s | Method=feddenoise
[Round 013/100] Acc=18.040 | Pure=78.010 | RoundTime=47.68s | TotalTime=479.31s | Method=feddenoise
[Round 014/100] Acc=18.550 | Pure=77.820 | RoundTime=47.52s | TotalTime=526.83s | Method=feddenoise
[Round 015/100] Acc=19.290 | Pure=77.631 | RoundTime=46.67s | TotalTime=573.50s | Method=feddenoise
[Round 016/100] Acc=20.390 | Pure=77.794 | RoundTime=46.87s | TotalTime=620.37s | Method=feddenoise
[Round 017/100] Acc=19.580 | Pure=78.596 | RoundTime=44.67s | TotalTime=665.03s | Method=feddenoise
[Round 018/100] Acc=20.730 | Pure=79.063 | RoundTime=36.90s | TotalTime=701.93s | Method=feddenoise
[Round 019/100] Acc=21.740 | Pure=77.331 | RoundTime=36.62s | TotalTime=738.54s | Method=feddenoise
[Round 020/100] Acc=22.450 | Pure=77.804 | RoundTime=37.87s | TotalTime=776.42s | Method=feddenoise
[Round 021/100] Acc=22.110 | Pure=80.409 | RoundTime=37.16s | TotalTime=813.58s | Method=feddenoise
[Round 022/100] Acc=22.390 | Pure=80.348 | RoundTime=36.54s | TotalTime=850.12s | Method=feddenoise
[Round 023/100] Acc=23.490 | Pure=79.975 | RoundTime=37.76s | TotalTime=887.88s | Method=feddenoise
[Round 024/100] Acc=23.800 | Pure=80.336 | RoundTime=36.51s | TotalTime=924.39s | Method=feddenoise
[Round 025/100] Acc=24.770 | Pure=80.335 | RoundTime=37.29s | TotalTime=961.68s | Method=feddenoise
[Round 026/100] Acc=24.100 | Pure=80.244 | RoundTime=37.84s | TotalTime=999.52s | Method=feddenoise
[Round 027/100] Acc=24.320 | Pure=80.193 | RoundTime=36.86s | TotalTime=1036.38s | Method=feddenoise
[Round 028/100] Acc=24.120 | Pure=80.450 | RoundTime=38.84s | TotalTime=1075.22s | Method=feddenoise
[Round 029/100] Acc=24.400 | Pure=80.029 | RoundTime=36.69s | TotalTime=1111.91s | Method=feddenoise
[Round 030/100] Acc=25.220 | Pure=80.617 | RoundTime=37.01s | TotalTime=1148.93s | Method=feddenoise
[Round 031/100] Acc=26.020 | Pure=81.661 | RoundTime=36.51s | TotalTime=1185.44s | Method=feddenoise
[Round 032/100] Acc=26.010 | Pure=81.161 | RoundTime=36.55s | TotalTime=1221.99s | Method=feddenoise
[Round 033/100] Acc=25.760 | Pure=80.941 | RoundTime=36.68s | TotalTime=1258.68s | Method=feddenoise
[Round 034/100] Acc=26.440 | Pure=80.944 | RoundTime=37.79s | TotalTime=1296.47s | Method=feddenoise
[Round 035/100] Acc=25.630 | Pure=81.927 | RoundTime=36.94s | TotalTime=1333.41s | Method=feddenoise
[Round 036/100] Acc=26.900 | Pure=80.931 | RoundTime=37.41s | TotalTime=1370.82s | Method=feddenoise
[Round 037/100] Acc=26.940 | Pure=81.530 | RoundTime=37.15s | TotalTime=1407.97s | Method=feddenoise
[Round 038/100] Acc=27.570 | Pure=81.090 | RoundTime=36.36s | TotalTime=1444.33s | Method=feddenoise
[Round 039/100] Acc=27.120 | Pure=81.607 | RoundTime=37.00s | TotalTime=1481.33s | Method=feddenoise
[Round 040/100] Acc=27.170 | Pure=81.346 | RoundTime=37.11s | TotalTime=1518.44s | Method=feddenoise
[Round 041/100] Acc=27.700 | Pure=80.895 | RoundTime=36.68s | TotalTime=1555.12s | Method=feddenoise
[Round 042/100] Acc=27.240 | Pure=81.543 | RoundTime=37.05s | TotalTime=1592.18s | Method=feddenoise
[Round 043/100] Acc=27.420 | Pure=81.486 | RoundTime=36.98s | TotalTime=1629.16s | Method=feddenoise
[Round 044/100] Acc=28.280 | Pure=80.914 | RoundTime=37.24s | TotalTime=1666.40s | Method=feddenoise
[Round 045/100] Acc=28.410 | Pure=81.160 | RoundTime=37.83s | TotalTime=1704.22s | Method=feddenoise
[Round 046/100] Acc=28.030 | Pure=81.141 | RoundTime=36.95s | TotalTime=1741.17s | Method=feddenoise
[Round 047/100] Acc=28.790 | Pure=81.422 | RoundTime=37.89s | TotalTime=1779.06s | Method=feddenoise
[Round 048/100] Acc=28.170 | Pure=81.836 | RoundTime=37.57s | TotalTime=1816.63s | Method=feddenoise
[Round 049/100] Acc=28.260 | Pure=81.805 | RoundTime=36.88s | TotalTime=1853.51s | Method=feddenoise
[Round 050/100] Acc=28.240 | Pure=81.653 | RoundTime=36.94s | TotalTime=1890.45s | Method=feddenoise
[Round 051/100] Acc=29.170 | Pure=82.001 | RoundTime=36.74s | TotalTime=1927.20s | Method=feddenoise
[Round 052/100] Acc=29.120 | Pure=81.799 | RoundTime=37.09s | TotalTime=1964.29s | Method=feddenoise
[Round 053/100] Acc=29.150 | Pure=81.518 | RoundTime=37.09s | TotalTime=2001.38s | Method=feddenoise
[Round 054/100] Acc=28.820 | Pure=83.023 | RoundTime=37.28s | TotalTime=2038.66s | Method=feddenoise
[Round 055/100] Acc=29.860 | Pure=82.227 | RoundTime=39.25s | TotalTime=2077.92s | Method=feddenoise
[Round 056/100] Acc=30.750 | Pure=81.291 | RoundTime=36.69s | TotalTime=2114.61s | Method=feddenoise
[Round 057/100] Acc=29.450 | Pure=82.393 | RoundTime=37.32s | TotalTime=2151.93s | Method=feddenoise
[Round 058/100] Acc=29.210 | Pure=81.269 | RoundTime=38.66s | TotalTime=2190.59s | Method=feddenoise
[Round 059/100] Acc=29.090 | Pure=82.016 | RoundTime=36.81s | TotalTime=2227.40s | Method=feddenoise
[Round 060/100] Acc=29.820 | Pure=81.999 | RoundTime=37.51s | TotalTime=2264.92s | Method=feddenoise
[Round 061/100] Acc=30.810 | Pure=82.790 | RoundTime=37.24s | TotalTime=2302.16s | Method=feddenoise
[Round 062/100] Acc=30.260 | Pure=82.239 | RoundTime=37.47s | TotalTime=2339.63s | Method=feddenoise
[Round 063/100] Acc=30.920 | Pure=81.438 | RoundTime=37.52s | TotalTime=2377.15s | Method=feddenoise
[Round 064/100] Acc=31.030 | Pure=82.327 | RoundTime=36.95s | TotalTime=2414.10s | Method=feddenoise
[Round 065/100] Acc=30.680 | Pure=81.300 | RoundTime=37.16s | TotalTime=2451.25s | Method=feddenoise
[Round 066/100] Acc=30.540 | Pure=81.492 | RoundTime=38.20s | TotalTime=2489.45s | Method=feddenoise
[Round 067/100] Acc=30.910 | Pure=82.312 | RoundTime=36.53s | TotalTime=2525.99s | Method=feddenoise
[Round 068/100] Acc=30.810 | Pure=81.878 | RoundTime=36.83s | TotalTime=2562.82s | Method=feddenoise
[Round 069/100] Acc=31.480 | Pure=81.519 | RoundTime=38.02s | TotalTime=2600.83s | Method=feddenoise
[Round 070/100] Acc=31.730 | Pure=81.579 | RoundTime=37.28s | TotalTime=2638.11s | Method=feddenoise
[Round 071/100] Acc=31.730 | Pure=82.268 | RoundTime=36.63s | TotalTime=2674.74s | Method=feddenoise
[Round 072/100] Acc=31.410 | Pure=82.383 | RoundTime=39.36s | TotalTime=2714.10s | Method=feddenoise
[Round 073/100] Acc=31.800 | Pure=81.690 | RoundTime=36.45s | TotalTime=2750.55s | Method=feddenoise
[Round 074/100] Acc=32.450 | Pure=81.869 | RoundTime=37.37s | TotalTime=2787.92s | Method=feddenoise
[Round 075/100] Acc=31.840 | Pure=82.488 | RoundTime=37.61s | TotalTime=2825.53s | Method=feddenoise
[Round 076/100] Acc=31.800 | Pure=82.512 | RoundTime=37.57s | TotalTime=2863.10s | Method=feddenoise
[Round 077/100] Acc=32.220 | Pure=82.703 | RoundTime=36.94s | TotalTime=2900.04s | Method=feddenoise
[Round 078/100] Acc=32.640 | Pure=82.498 | RoundTime=37.91s | TotalTime=2937.94s | Method=feddenoise
[Round 079/100] Acc=32.900 | Pure=82.502 | RoundTime=38.14s | TotalTime=2976.08s | Method=feddenoise
[Round 080/100] Acc=32.600 | Pure=82.688 | RoundTime=38.36s | TotalTime=3014.44s | Method=feddenoise
[Round 081/100] Acc=32.580 | Pure=82.290 | RoundTime=37.40s | TotalTime=3051.84s | Method=feddenoise
[Round 082/100] Acc=32.730 | Pure=82.654 | RoundTime=37.64s | TotalTime=3089.48s | Method=feddenoise
[Round 083/100] Acc=33.170 | Pure=82.166 | RoundTime=37.44s | TotalTime=3126.92s | Method=feddenoise
[Round 084/100] Acc=32.210 | Pure=83.048 | RoundTime=36.97s | TotalTime=3163.89s | Method=feddenoise
[Round 085/100] Acc=31.800 | Pure=83.673 | RoundTime=37.53s | TotalTime=3201.42s | Method=feddenoise
[Round 086/100] Acc=32.790 | Pure=82.209 | RoundTime=38.08s | TotalTime=3239.50s | Method=feddenoise
[Round 087/100] Acc=33.230 | Pure=81.874 | RoundTime=36.64s | TotalTime=3276.13s | Method=feddenoise
[Round 088/100] Acc=34.050 | Pure=82.864 | RoundTime=37.79s | TotalTime=3313.92s | Method=feddenoise
[Round 089/100] Acc=33.450 | Pure=82.652 | RoundTime=38.49s | TotalTime=3352.41s | Method=feddenoise
[Round 090/100] Acc=33.230 | Pure=83.261 | RoundTime=36.95s | TotalTime=3389.36s | Method=feddenoise
[Round 091/100] Acc=33.620 | Pure=82.552 | RoundTime=37.14s | TotalTime=3426.50s | Method=feddenoise
[Round 092/100] Acc=32.980 | Pure=82.818 | RoundTime=37.67s | TotalTime=3464.17s | Method=feddenoise
[Round 093/100] Acc=33.570 | Pure=82.646 | RoundTime=38.86s | TotalTime=3503.04s | Method=feddenoise
[Round 094/100] Acc=33.470 | Pure=83.197 | RoundTime=38.34s | TotalTime=3541.38s | Method=feddenoise
[Round 095/100] Acc=33.440 | Pure=82.727 | RoundTime=38.36s | TotalTime=3579.74s | Method=feddenoise
[Round 096/100] Acc=33.860 | Pure=83.502 | RoundTime=36.81s | TotalTime=3616.54s | Method=feddenoise
[Round 097/100] Acc=33.580 | Pure=83.155 | RoundTime=37.76s | TotalTime=3654.30s | Method=feddenoise
[Round 098/100] Acc=33.820 | Pure=82.839 | RoundTime=37.21s | TotalTime=3691.51s | Method=feddenoise
[Round 099/100] Acc=33.630 | Pure=82.789 | RoundTime=37.07s | TotalTime=3728.58s | Method=feddenoise
[Round 100/100] Acc=33.660 | Pure=83.045 | RoundTime=30.24s | TotalTime=3758.82s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-22 03:56:02
Total elapsed time: 3758.82s
Final Acc: 33.660
Best Acc : 34.050
Final Pure: 83.045
Best Pure : 83.673
====================================================================================================
