epoch	acc	pure	round_time_sec	total_time_sec
0	1.0	69.993	33.2049	33.2050
1	1.5	70.011	35.2856	68.4908
2	4.76	70.018	33.1798	101.6708
3	9.88	69.986	35.2781	136.9491
4	10.25	70.008	32.8070	169.7562
5	11.98	70.041	32.9876	202.7441
6	13.89	70.013	35.1022	237.8465
7	14.68	69.996	32.1739	270.0206
8	14.7	70.012	34.7042	304.7249
9	16.3	70.001	33.3528	338.0782
10	15.36	78.585	46.9429	385.0213
11	17.37	77.389	46.6099	431.6314
12	18.04	78.01	47.6751	479.3066
13	18.55	77.82	47.5195	526.8265
14	19.29	77.631	46.6684	573.4951
15	20.39	77.794	46.8698	620.3651
16	19.58	78.596	44.6650	665.0303
17	20.73	79.063	36.8978	701.9283
18	21.74	77.331	36.6155	738.5439
19	22.45	77.804	37.8720	776.4161
20	22.11	80.409	37.1613	813.5775
21	22.39	80.348	36.5374	850.1151
22	23.49	79.975	37.7622	887.8775
23	23.8	80.336	36.5086	924.3862
24	24.77	80.335	37.2946	961.6810
25	24.1	80.244	37.8402	999.5214
26	24.32	80.193	36.8631	1036.3846
27	24.12	80.45	38.8371	1075.2219
28	24.4	80.029	36.6897	1111.9119
29	25.22	80.617	37.0137	1148.9258
30	26.02	81.661	36.5149	1185.4409
31	26.01	81.161	36.5514	1221.9925
32	25.76	80.941	36.6841	1258.6767
33	26.44	80.944	37.7910	1296.4679
34	25.63	81.927	36.9431	1333.4111
35	26.9	80.931	37.4112	1370.8225
36	26.94	81.53	37.1463	1407.9690
37	27.57	81.09	36.3642	1444.3333
38	27.12	81.607	36.9981	1481.3316
39	27.17	81.346	37.1090	1518.4407
40	27.7	80.895	36.6836	1555.1246
41	27.24	81.543	37.0514	1592.1763
42	27.42	81.486	36.9802	1629.1567
43	28.28	80.914	37.2384	1666.3953
44	28.41	81.16	37.8254	1704.2209
45	28.03	81.141	36.9514	1741.1725
46	28.79	81.422	37.8866	1779.0593
47	28.17	81.836	37.5702	1816.6297
48	28.26	81.805	36.8797	1853.5096
49	28.24	81.653	36.9419	1890.4517
50	29.17	82.001	36.7444	1927.1963
51	29.12	81.799	37.0925	1964.2891
52	29.15	81.518	37.0885	2001.3777
53	28.82	83.023	37.2826	2038.6607
54	29.86	82.227	39.2545	2077.9154
55	30.75	81.291	36.6921	2114.6077
56	29.45	82.393	37.3216	2151.9295
57	29.21	81.269	38.6645	2190.5941
58	29.09	82.016	36.8096	2227.4039
59	29.82	81.999	37.5121	2264.9161
60	30.81	82.79	37.2408	2302.1571
61	30.26	82.239	37.4713	2339.6287
62	30.92	81.438	37.5211	2377.1501
63	31.03	82.327	36.9454	2414.0957
64	30.68	81.3	37.1559	2451.2518
65	30.54	81.492	38.2028	2489.4548
66	30.91	82.312	36.5331	2525.9880
67	30.81	81.878	36.8269	2562.8152
68	31.48	81.519	38.0160	2600.8314
69	31.73	81.579	37.2795	2638.1110
70	31.73	82.268	36.6299	2674.7411
71	31.41	82.383	39.3583	2714.0996
72	31.8	81.69	36.4534	2750.5532
73	32.45	81.869	37.3653	2787.9186
74	31.84	82.488	37.6104	2825.5293
75	31.8	82.512	37.5707	2863.1002
76	32.22	82.703	36.9378	2900.0381
77	32.64	82.498	37.9066	2937.9449
78	32.9	82.502	38.1351	2976.0802
79	32.6	82.688	38.3615	3014.4419
80	32.58	82.29	37.4018	3051.8439
81	32.73	82.654	37.6352	3089.4793
82	33.17	82.166	37.4394	3126.9188
83	32.21	83.048	36.9689	3163.8879
84	31.8	83.673	37.5300	3201.4181
85	32.79	82.209	38.0791	3239.4973
86	33.23	81.874	36.6363	3276.1338
87	34.05	82.864	37.7904	3313.9243
88	33.45	82.652	38.4895	3352.4140
89	33.23	83.261	36.9493	3389.3635
90	33.62	82.552	37.1350	3426.4987
91	32.98	82.818	37.6725	3464.1715
92	33.57	82.646	38.8639	3503.0356
93	33.47	83.197	38.3428	3541.3787
94	33.44	82.727	38.3599	3579.7388
95	33.86	83.502	36.8058	3616.5448
96	33.58	83.155	37.7585	3654.3035
97	33.82	82.839	37.2065	3691.5101
98	33.63	82.789	37.0734	3728.5837
99	33.66	83.045	30.2404	3758.8244
