epoch	acc	pure	round_time_sec	total_time_sec
0	1.0	69.988	35.7023	35.7025
1	1.68	70.016	34.3202	70.0230
2	6.89	69.99	33.9889	104.0122
3	11.03	69.978	34.0891	138.1016
4	14.16	70.009	34.0508	172.1528
5	15.16	69.999	34.3944	206.5475
6	15.5	69.994	35.5185	242.0663
7	16.52	69.991	34.9390	277.0056
8	16.42	69.998	34.5600	311.5659
9	17.7	70.02	35.8499	347.4162
10	18.14	74.431	51.9954	399.4119
11	19.62	74.061	51.4871	450.8994
12	18.75	74.478	53.6419	504.5416
13	19.92	74.659	51.7252	556.2670
14	19.56	74.069	52.2035	608.4708
15	20.85	73.633	52.1647	660.6358
16	20.32	74.045	51.2098	711.8459
17	20.58	74.53	52.1956	764.0419
18	21.4	74.592	51.9039	815.9460
19	21.8	74.191	52.6433	868.5896
20	21.79	75.14	53.0203	921.6102
21	23.12	74.786	51.8126	973.4231
22	21.8	74.388	51.5763	1024.9997
23	21.59	74.893	53.2752	1078.2751
24	23.44	74.782	53.5340	1131.8095
25	22.58	74.459	51.0482	1182.8579
26	23.1	74.731	52.1938	1235.0520
27	22.18	74.304	52.6288	1287.6812
28	22.54	74.651	52.2431	1339.9246
29	22.02	74.518	51.1125	1391.0375
30	22.57	75.57	52.6742	1443.7120
31	23.11	74.781	51.9258	1495.6382
32	23.26	75.394	53.2800	1548.9185
33	22.91	75.443	53.2743	1602.1931
34	23.7	75.741	52.6328	1654.8263
35	23.31	75.707	51.4537	1706.2803
36	23.22	75.32	53.1554	1759.4361
37	23.21	75.199	50.9902	1810.4267
38	23.71	75.525	51.5788	1862.0058
39	23.6	75.369	51.8151	1913.8213
40	23.52	75.639	50.7417	1964.5634
41	22.89	75.731	51.5673	2016.1310
42	23.73	75.478	51.7503	2067.8817
43	23.98	75.767	50.6836	2118.5656
44	24.21	75.998	51.7423	2170.3082
45	23.9	75.282	51.6735	2221.9820
46	22.96	75.632	51.6156	2273.5980
47	24.41	76.137	51.5932	2325.1915
48	24.61	76.072	51.1567	2376.3485
49	24.06	75.239	52.5438	2428.8926
50	24.48	74.932	53.1546	2482.0475
51	24.77	75.537	51.5945	2533.6422
52	24.74	75.395	51.6302	2585.2727
53	24.42	75.256	51.6360	2636.9090
54	24.47	75.227	54.0291	2690.9383
55	23.88	75.831	53.1244	2744.0631
56	24.82	75.55	51.2972	2795.3606
57	23.91	75.578	51.4876	2846.8485
58	24.87	75.544	54.4806	2901.3294
59	25.1	76.057	52.1522	2953.4818
60	24.7	76.058	51.7335	3005.2157
61	25.08	76.427	51.1429	3056.3588
62	24.94	75.493	51.8199	3108.1790
63	24.67	75.821	51.4859	3159.6653
64	24.17	75.958	52.3322	3211.9978
65	24.39	75.902	52.2271	3264.2252
66	24.4	76.512	52.4742	3316.6997
67	24.66	75.686	52.0200	3368.7200
68	24.76	76.378	52.0141	3420.7345
69	24.83	75.928	53.4443	3474.1791
70	24.72	76.441	51.4073	3525.5868
71	24.57	76.312	51.6701	3577.2572
72	24.43	76.189	51.9060	3629.1636
73	24.62	76.119	51.5530	3680.7170
74	25.48	75.891	52.0795	3732.7968
75	24.76	76.301	52.1552	3784.9523
76	25.9	75.761	52.3937	3837.3463
77	24.19	76.134	53.5822	3890.9288
78	24.84	76.312	51.8603	3942.7894
79	25.04	76.483	51.7811	3994.5709
80	26.13	76.558	53.2560	4047.8271
81	25.09	76.219	51.0246	4098.8520
82	25.4	75.744	51.5348	4150.3870
83	25.37	76.076	52.7307	4203.1181
84	24.89	76.305	52.3906	4255.5090
85	25.2	76.183	51.4091	4306.9185
86	25.34	76.456	52.9283	4359.8471
87	25.32	76.612	51.1531	4411.0005
88	25.39	76.146	52.4613	4463.4621
89	25.33	75.937	51.9019	4515.3643
90	25.45	76.235	51.8917	4567.2565
91	25.59	76.804	53.1791	4620.4358
92	25.51	76.164	52.9783	4673.4144
93	25.57	76.431	51.1546	4724.5693
94	25.0	76.173	51.5255	4776.0952
95	25.83	76.317	51.5916	4827.6871
96	25.17	76.656	52.8694	4880.5568
97	25.57	76.278	50.8066	4931.3637
98	24.62	76.054	53.9687	4985.3327
99	25.84	76.316	32.9498	5018.2828
