epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	1.0	None	None	None	None	None	None	None	110.0389	110.0460
1	warmup	warmup	1.15	None	None	None	None	None	None	None	126.9489	237.0010
2	warmup	warmup	4.05	None	None	None	None	None	None	None	126.3758	363.3833
3	warmup	warmup	7.99	None	None	None	None	None	None	None	126.8661	490.2559
4	warmup	warmup	10.24	None	None	None	None	None	None	None	127.3154	617.5807
5	warmup	warmup	12.08	None	None	None	None	None	None	None	127.7272	745.3144
6	warmup	warmup	13.63	None	None	None	None	None	None	None	126.9863	872.3072
7	warmup	warmup	15.33	None	None	None	None	None	None	None	127.9011	1000.2148
8	warmup	warmup	16.97	None	None	None	None	None	None	None	127.0744	1127.2956
9	warmup	warmup	18.26	None	None	None	None	None	None	None	128.3773	1255.6806
10	warmup	warmup	18.81	None	None	None	None	None	None	None	126.9426	1382.6294
11	warmup	warmup	19.89	None	None	None	None	None	None	None	126.9636	1509.5999
12	warmup	warmup	20.96	None	None	None	None	None	None	None	125.3289	1634.9354
13	warmup	warmup	21.61	None	None	None	None	None	None	None	127.2756	1762.2176
14	warmup	warmup	22.72	None	None	None	None	None	None	None	126.0962	1888.3214
15	warmup	warmup	23.03	None	None	None	None	None	None	None	126.5930	2014.9231
16	warmup	warmup	23.23	None	None	None	None	None	None	None	127.4361	2142.3659
17	warmup	warmup	23.7	None	None	None	None	None	None	None	127.0033	2269.3759
18	warmup	warmup	23.83	None	None	None	None	None	None	None	125.4568	2394.8401
19	warmup	warmup	24.73	None	None	None	None	None	None	None	160.0675	2554.9146
20	stage_1	0	23.86	53.253	53.253	95.856	79.28	15.856	90.0	0.987	114.0818	2669.0033
21	stage_1	0	24.6	53.253	53.253	95.856	79.28	15.856	90.0	0.987	117.3369	2786.3472
22	stage_1	0	23.96	53.253	53.253	95.856	79.28	15.856	90.0	0.987	117.9054	2904.2594
23	stage_1	0	24.28	53.253	53.253	95.856	79.28	15.856	90.0	0.987	119.7433	3024.0094
24	stage_1	0	24.41	53.253	53.253	95.856	79.28	15.856	90.0	0.987	120.1967	3144.2127
25	stage_1	0	23.78	53.253	53.253	95.856	79.28	15.856	90.0	0.987	120.0593	3264.2787
26	stage_1	0	23.98	53.253	53.253	95.856	79.28	15.856	90.0	0.987	119.7676	3384.0530
27	stage_1	0	23.64	53.253	53.253	95.856	79.28	15.856	90.0	0.987	119.5672	3503.6268
28	stage_1	0	23.43	53.253	53.253	95.856	79.28	15.856	90.0	0.987	118.9605	3622.5955
29	stage_1	0	23.48	53.253	53.253	95.856	79.28	15.856	90.0	0.987	117.9432	3740.5468
30	stage_1	0	22.64	53.253	53.253	95.856	79.28	15.856	90.0	0.987	118.7090	3859.2640
31	stage_1	0	23.29	53.253	53.253	95.856	79.28	15.856	90.0	0.987	119.2214	3978.4935
32	stage_1	0	22.89	53.253	53.253	95.856	79.28	15.856	90.0	0.987	117.6403	4096.1420
33	stage_1	0	22.8	53.253	53.253	95.856	79.28	15.856	90.0	0.987	117.9935	4214.1421
34	stage_1	0	22.65	53.253	53.253	95.856	79.28	15.856	90.0	0.987	119.7427	4333.8928
35	stage_1	0	22.12	53.253	53.253	95.856	79.28	15.856	90.0	0.987	122.5136	4456.4157
36	stage_1	0	22.29	53.253	53.253	95.856	79.28	15.856	90.0	0.987	119.0502	4575.4786
37	stage_1	0	21.85	53.253	53.253	95.856	79.28	15.856	90.0	0.987	118.8686	4694.3552
38	stage_1	0	21.98	53.253	53.253	95.856	79.28	15.856	90.0	0.987	142.9684	4837.3316
39	stage_2	1	22.83	57.391	57.391	80.348	67.247	40.348	70.0	0.992	95.1980	4932.5385
40	stage_2	1	23.35	57.391	57.391	80.348	67.247	40.348	70.0	0.992	95.6264	5028.1754
41	stage_2	1	23.16	57.391	57.391	80.348	67.247	40.348	70.0	0.992	95.2227	5123.4063
42	stage_2	1	23.28	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.1754	5219.5927
43	stage_2	1	23.24	57.391	57.391	80.348	67.247	40.348	70.0	0.992	99.5442	5319.1464
44	stage_2	1	23.58	57.391	57.391	80.348	67.247	40.348	70.0	0.992	97.1014	5416.2588
45	stage_2	1	23.13	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.7619	5513.0288
46	stage_2	1	23.3	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.3087	5609.3468
47	stage_2	1	22.87	57.391	57.391	80.348	67.247	40.348	70.0	0.992	97.3859	5706.7410
48	stage_2	1	22.94	57.391	57.391	80.348	67.247	40.348	70.0	0.992	97.7919	5804.5419
49	stage_2	1	22.83	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.2325	5900.7830
50	stage_2	1	22.43	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.1177	5996.9110
51	stage_2	1	22.71	57.391	57.391	80.348	67.247	40.348	70.0	0.992	95.7221	6092.6419
52	stage_2	1	22.68	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.6571	6189.3075
53	stage_2	1	22.69	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.7574	6286.0740
54	stage_2	1	22.43	57.391	57.391	80.348	67.247	40.348	70.0	0.992	96.1542	6382.2366
55	stage_2	1	22.44	57.391	57.391	80.348	67.247	40.348	70.0	0.992	97.4208	6479.6661
56	stage_2	1	22.68	57.391	57.391	80.348	67.247	40.348	70.0	0.992	98.4505	6578.1249
57	stage_2	1	22.3	57.391	57.391	80.348	67.247	40.348	70.0	0.992	117.5305	6695.6639
58	stage_3	2	22.88	58.42	58.42	70.104	62.63	50.104	60.0	0.993	85.1624	6780.8389
59	stage_3	2	23.25	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.0023	6868.8497
60	stage_3	2	23.12	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.2661	6957.1245
61	stage_3	2	23.24	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.4154	7045.5488
62	stage_3	2	23.12	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.0381	7133.5953
63	stage_3	2	23.27	58.42	58.42	70.104	62.63	50.104	60.0	0.993	87.8848	7221.4889
64	stage_3	2	23.06	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.5062	7310.0042
65	stage_3	2	23.0	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.4117	7398.4244
66	stage_3	2	23.01	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.0474	7486.4804
67	stage_3	2	22.95	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.3626	7574.8517
68	stage_3	2	22.88	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.4709	7663.3316
69	stage_3	2	22.8	58.42	58.42	70.104	62.63	50.104	60.0	0.993	89.7481	7753.0882
70	stage_3	2	22.96	58.42	58.42	70.104	62.63	50.104	60.0	0.993	88.4518	7841.5489
71	stage_3	2	22.92	58.42	58.42	70.104	62.63	50.104	60.0	0.993	86.3466	7927.9045
72	stage_3	2	22.81	58.42	58.42	70.104	62.63	50.104	60.0	0.993	86.4671	8014.3809
73	stage_3	2	22.91	58.42	58.42	70.104	62.63	50.104	60.0	0.993	87.3752	8101.7645
74	stage_3	2	23.05	58.42	58.42	70.104	62.63	50.104	60.0	0.993	86.8846	8188.6578
75	stage_3	2	22.94	58.42	58.42	70.104	62.63	50.104	60.0	0.993	85.6699	8274.3366
