epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	1.0	None	None	None	None	None	None	None	116.1031	116.1094
1	warmup	warmup	0.99	None	None	None	None	None	None	None	127.2102	243.3292
2	warmup	warmup	7.22	None	None	None	None	None	None	None	125.6412	368.9768
3	warmup	warmup	11.63	None	None	None	None	None	None	None	125.6594	494.6440
4	warmup	warmup	13.98	None	None	None	None	None	None	None	128.6235	623.2738
5	warmup	warmup	16.02	None	None	None	None	None	None	None	127.0103	750.2906
6	warmup	warmup	18.24	None	None	None	None	None	None	None	127.1516	877.4487
7	warmup	warmup	19.88	None	None	None	None	None	None	None	127.4599	1004.9151
8	warmup	warmup	21.5	None	None	None	None	None	None	None	125.6014	1130.5256
9	warmup	warmup	22.87	None	None	None	None	None	None	None	127.1671	1257.7008
10	warmup	warmup	24.03	None	None	None	None	None	None	None	125.5590	1383.2671
11	warmup	warmup	24.9	None	None	None	None	None	None	None	124.9633	1508.2398
12	warmup	warmup	26.17	None	None	None	None	None	None	None	124.7323	1632.9784
13	warmup	warmup	26.7	None	None	None	None	None	None	None	128.2606	1761.2453
14	warmup	warmup	27.62	None	None	None	None	None	None	None	126.7062	1887.9599
15	warmup	warmup	28.31	None	None	None	None	None	None	None	125.0443	2013.0112
16	warmup	warmup	29.13	None	None	None	None	None	None	None	124.3962	2137.4140
17	warmup	warmup	29.14	None	None	None	None	None	None	None	125.6514	2263.0735
18	warmup	warmup	29.76	None	None	None	None	None	None	None	125.5747	2388.6545
19	warmup	warmup	29.85	None	None	None	None	None	None	None	196.7687	2585.4296
20	stage_1	0	30.54	54.567	54.567	98.22	91.1	18.22	90.0	0.988	118.7507	2704.1876
21	stage_1	0	30.84	54.567	54.567	98.22	91.1	18.22	90.0	0.988	119.0312	2823.2257
22	stage_1	0	31.04	54.567	54.567	98.22	91.1	18.22	90.0	0.988	119.4454	2942.6783
23	stage_1	0	30.88	54.567	54.567	98.22	91.1	18.22	90.0	0.988	121.0404	3063.7264
24	stage_1	0	31.76	54.567	54.567	98.22	91.1	18.22	90.0	0.988	121.1163	3184.8498
25	stage_1	0	31.57	54.567	54.567	98.22	91.1	18.22	90.0	0.988	117.8039	3302.6616
26	stage_1	0	31.22	54.567	54.567	98.22	91.1	18.22	90.0	0.988	117.7912	3420.4605
27	stage_1	0	30.7	54.567	54.567	98.22	91.1	18.22	90.0	0.988	117.5021	3537.9693
28	stage_1	0	31.11	54.567	54.567	98.22	91.1	18.22	90.0	0.988	117.6672	3655.6450
29	stage_1	0	30.8	54.567	54.567	98.22	91.1	18.22	90.0	0.988	117.7741	3773.4272
30	stage_1	0	30.79	54.567	54.567	98.22	91.1	18.22	90.0	0.988	117.6944	3891.1300
31	stage_1	0	30.53	54.567	54.567	98.22	91.1	18.22	90.0	0.988	119.1412	4010.2794
32	stage_1	0	30.52	54.567	54.567	98.22	91.1	18.22	90.0	0.988	121.4881	4131.7756
33	stage_1	0	30.46	54.567	54.567	98.22	91.1	18.22	90.0	0.988	118.8792	4250.6631
34	stage_1	0	30.06	54.567	54.567	98.22	91.1	18.22	90.0	0.988	117.1482	4367.8198
35	stage_1	0	30.35	54.567	54.567	98.22	91.1	18.22	90.0	0.988	120.5580	4488.3889
36	stage_1	0	30.05	54.567	54.567	98.22	91.1	18.22	90.0	0.988	119.3751	4607.7744
37	stage_1	0	30.22	54.567	54.567	98.22	91.1	18.22	90.0	0.988	118.6421	4726.4246
38	stage_1	0	30.18	54.567	54.567	98.22	91.1	18.22	90.0	0.988	186.3655	4912.7982
39	stage_2	1	31.79	63.223	63.223	88.512	80.853	48.512	70.0	0.993	96.2263	5009.0332
40	stage_2	1	32.28	63.223	63.223	88.512	80.853	48.512	70.0	0.993	95.6473	5104.6884
41	stage_2	1	32.44	63.223	63.223	88.512	80.853	48.512	70.0	0.993	95.1774	5199.8747
