epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	1.0	None	None	None	None	None	None	None	65.3829	65.3892
1	warmup	warmup	1.0	None	None	None	None	None	None	None	65.8415	131.2398
2	warmup	warmup	1.0	None	None	None	None	None	None	None	66.0352	197.2832
3	warmup	warmup	1.0	None	None	None	None	None	None	None	66.5020	263.7934
4	warmup	warmup	1.0	None	None	None	None	None	None	None	66.3854	330.1878
5	warmup	warmup	1.0	None	None	None	None	None	None	None	66.7767	396.9720
6	warmup	warmup	1.0	None	None	None	None	None	None	None	66.8812	463.8617
7	warmup	warmup	1.0	None	None	None	None	None	None	None	66.3329	530.2030
8	warmup	warmup	1.0	None	None	None	None	None	None	None	66.1359	596.3468
9	warmup	warmup	1.0	None	None	None	None	None	None	None	66.5907	662.9449
10	warmup	warmup	1.0	None	None	None	None	None	None	None	66.4512	729.4036
11	warmup	warmup	1.0	None	None	None	None	None	None	None	66.5219	795.9351
12	warmup	warmup	1.0	None	None	None	None	None	None	None	66.9881	862.9330
13	warmup	warmup	1.0	None	None	None	None	None	None	None	66.7746	929.7174
14	warmup	warmup	1.0	None	None	None	None	None	None	None	66.0381	995.7630
15	warmup	warmup	1.0	None	None	None	None	None	None	None	63.7414	1059.5154
16	warmup	warmup	1.0	None	None	None	None	None	None	None	62.8439	1122.3690
17	warmup	warmup	1.0	None	None	None	None	None	None	None	63.8472	1186.2236
18	warmup	warmup	1.0	None	None	None	None	None	None	None	64.3424	1250.5756
19	warmup	warmup	1.0	None	None	None	None	None	None	None	146.0210	1396.6050
20	stage_1	0	3.62	82.862	82.862	76.943	53.886	62.867	65.0	0.84	50.8346	1447.4533
21	stage_1	0	9.06	82.862	82.862	76.943	53.886	62.867	65.0	0.84	50.3431	1497.8048
22	stage_1	0	10.87	82.862	82.862	76.943	53.886	62.867	65.0	0.84	49.4583	1547.2716
23	stage_1	0	12.33	82.862	82.862	76.943	53.886	62.867	65.0	0.84	46.5557	1593.8343
24	stage_1	0	13.6	82.862	82.862	76.943	53.886	62.867	65.0	0.84	49.1022	1642.9446
25	stage_1	0	15.43	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.8764	1691.8307
26	stage_1	0	15.86	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.8858	1740.7232
27	stage_1	0	16.72	82.862	82.862	76.943	53.886	62.867	65.0	0.84	49.6813	1790.4124
28	stage_1	0	17.74	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.7170	1839.1360
29	stage_1	0	18.46	82.862	82.862	76.943	53.886	62.867	65.0	0.84	50.5222	1889.6664
30	stage_1	0	18.57	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.8839	1938.5572
31	stage_1	0	19.52	82.862	82.862	76.943	53.886	62.867	65.0	0.84	49.0826	1987.6500
32	stage_1	0	20.51	82.862	82.862	76.943	53.886	62.867	65.0	0.84	49.0598	2036.7166
33	stage_1	0	21.15	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.1560	2084.8828
34	stage_1	0	21.35	82.862	82.862	76.943	53.886	62.867	65.0	0.84	47.3114	2132.2009
35	stage_1	0	21.1	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.9462	2181.1551
36	stage_1	0	21.91	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.8989	2230.0610
37	stage_1	0	23.98	82.862	82.862	76.943	53.886	62.867	65.0	0.84	48.9057	2278.9769
38	stage_1	0	23.9	82.862	82.862	76.943	53.886	62.867	65.0	0.84	113.5042	2392.4876
39	stage_2	1	24.29	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.3487	2440.8495
40	stage_2	1	25.5	86.449	86.449	80.274	60.549	70.64	65.0	0.983	47.0618	2487.9189
41	stage_2	1	25.43	86.449	86.449	80.274	60.549	70.64	65.0	0.983	49.0280	2536.9548
42	stage_2	1	26.61	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.6420	2585.6051
43	stage_2	1	26.74	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.7596	2634.3727
44	stage_2	1	27.31	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.8477	2683.2274
45	stage_2	1	27.86	86.449	86.449	80.274	60.549	70.64	65.0	0.983	47.3524	2730.5880
46	stage_2	1	27.95	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.3318	2778.9265
47	stage_2	1	28.8	86.449	86.449	80.274	60.549	70.64	65.0	0.983	49.4569	2828.3917
48	stage_2	1	28.68	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.7046	2877.1029
49	stage_2	1	29.62	86.449	86.449	80.274	60.549	70.64	65.0	0.983	49.2628	2926.3756
50	stage_2	1	30.04	86.449	86.449	80.274	60.549	70.64	65.0	0.983	49.1287	2975.5113
51	stage_2	1	29.67	86.449	86.449	80.274	60.549	70.64	65.0	0.983	50.7548	3026.2748
52	stage_2	1	30.69	86.449	86.449	80.274	60.549	70.64	65.0	0.983	47.2767	3073.5616
53	stage_2	1	31.2	86.449	86.449	80.274	60.549	70.64	65.0	0.983	47.4185	3120.9884
54	stage_2	1	31.65	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.8776	3169.8743
55	stage_2	1	31.93	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.8477	3218.7329
56	stage_2	1	32.46	86.449	86.449	80.274	60.549	70.64	65.0	0.983	48.6573	3267.3969
57	stage_2	1	32.64	86.449	86.449	80.274	60.549	70.64	65.0	0.983	94.4046	3361.8098
58	stage_3	2	32.93	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.8098	3410.6290
59	stage_3	2	34.08	88.572	88.572	82.246	64.491	75.24	65.0	0.988	47.9874	3458.6247
60	stage_3	2	34.36	88.572	88.572	82.246	64.491	75.24	65.0	0.988	49.2445	3507.8799
61	stage_3	2	34.43	88.572	88.572	82.246	64.491	75.24	65.0	0.988	49.1770	3557.0638
62	stage_3	2	34.72	88.572	88.572	82.246	64.491	75.24	65.0	0.988	47.0796	3604.1531
63	stage_3	2	35.36	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.7489	3652.9091
64	stage_3	2	35.49	88.572	88.572	82.246	64.491	75.24	65.0	0.988	49.4322	3702.3496
65	stage_3	2	36.06	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.5991	3750.9556
66	stage_3	2	36.26	88.572	88.572	82.246	64.491	75.24	65.0	0.988	50.4044	3801.3682
67	stage_3	2	36.59	88.572	88.572	82.246	64.491	75.24	65.0	0.988	47.7738	3849.1492
68	stage_3	2	36.88	88.572	88.572	82.246	64.491	75.24	65.0	0.988	47.3936	3896.5512
69	stage_3	2	37.25	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.8855	3945.4451
70	stage_3	2	37.58	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.4710	3993.9250
71	stage_3	2	38.03	88.572	88.572	82.246	64.491	75.24	65.0	0.988	46.7044	4040.6395
72	stage_3	2	38.24	88.572	88.572	82.246	64.491	75.24	65.0	0.988	47.9540	4088.6033
73	stage_3	2	38.94	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.5314	4137.1422
74	stage_3	2	38.89	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.7504	4185.9023
75	stage_3	2	39.17	88.572	88.572	82.246	64.491	75.24	65.0	0.988	48.8145	4234.7245
76	stage_3	2	39.04	88.572	88.572	82.246	64.491	75.24	65.0	0.988	75.9659	4310.6980
77	stage_4	3	39.73	89.526	89.526	83.131	66.263	77.307	65.0	0.988	48.7544	4359.4658
78	stage_4	3	40.76	89.526	89.526	83.131	66.263	77.307	65.0	0.988	49.0411	4408.5159
79	stage_4	3	40.86	89.526	89.526	83.131	66.263	77.307	65.0	0.988	48.8622	4457.3851
80	stage_4	3	41.21	89.526	89.526	83.131	66.263	77.307	65.0	0.988	48.8807	4506.2733
81	stage_4	3	41.69	89.526	89.526	83.131	66.263	77.307	65.0	0.988	49.1019	4555.3825
82	stage_4	3	41.5	89.526	89.526	83.131	66.263	77.307	65.0	0.988	48.8959	4604.2851
83	stage_4	3	42.07	89.526	89.526	83.131	66.263	77.307	65.0	0.988	49.1120	4653.4056
84	stage_4	3	42.39	89.526	89.526	83.131	66.263	77.307	65.0	0.988	47.4279	4700.8405
85	stage_4	3	42.44	89.526	89.526	83.131	66.263	77.307	65.0	0.988	47.7558	4748.6046
86	stage_4	3	42.87	89.526	89.526	83.131	66.263	77.307	65.0	0.988	48.8445	4797.4562
87	stage_4	3	43.14	89.526	89.526	83.131	66.263	77.307	65.0	0.988	50.1851	4847.6514
88	stage_4	3	43.3	89.526	89.526	83.131	66.263	77.307	65.0	0.988	48.6372	4896.2973
89	stage_4	3	43.36	89.526	89.526	83.131	66.263	77.307	65.0	0.988	48.4306	4944.7362
90	stage_4	3	43.4	89.526	89.526	83.131	66.263	77.307	65.0	0.988	43.3407	4988.0848
91	stage_4	3	43.51	89.526	89.526	83.131	66.263	77.307	65.0	0.988	49.1585	5037.2505
92	stage_4	3	43.72	89.526	89.526	83.131	66.263	77.307	65.0	0.988	50.8266	5088.0853
93	stage_4	3	44.07	89.526	89.526	83.131	66.263	77.307	65.0	0.988	50.6069	5138.7013
