epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	1.0	None	None	None	None	None	None	None	41.4746	41.4814
1	warmup	warmup	1.07	None	None	None	None	None	None	None	39.5349	81.0238
2	warmup	warmup	3.21	None	None	None	None	None	None	None	39.1983	120.2295
3	warmup	warmup	4.52	None	None	None	None	None	None	None	40.6289	160.8649
4	warmup	warmup	4.91	None	None	None	None	None	None	None	39.2314	200.1040
5	warmup	warmup	5.34	None	None	None	None	None	None	None	40.0965	240.2064
6	warmup	warmup	5.95	None	None	None	None	None	None	None	36.4436	276.6579
7	warmup	warmup	5.91	None	None	None	None	None	None	None	91.8384	368.5039
8	stage_1	0	9.35	80.627	80.627	69.109	45.94	61.253	60.0	0.96	35.3763	403.8878
9	stage_1	0	11.61	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.9165	436.8112
10	stage_1	0	12.26	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.9997	469.8186
11	stage_1	0	13.46	80.627	80.627	69.109	45.94	61.253	60.0	0.96	30.6316	500.4566
12	stage_1	0	14.6	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.3462	532.8105
13	stage_1	0	15.1	80.627	80.627	69.109	45.94	61.253	60.0	0.96	33.0402	565.8572
14	stage_1	0	14.77	80.627	80.627	69.109	45.94	61.253	60.0	0.96	30.9313	596.7961
15	stage_1	0	16.29	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.0542	628.8620
16	stage_1	0	16.87	80.627	80.627	69.109	45.94	61.253	60.0	0.96	33.1481	662.0184
17	stage_1	0	17.39	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.9305	694.9551
18	stage_1	0	17.31	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.2617	727.2309
19	stage_1	0	18.54	80.627	80.627	69.109	45.94	61.253	60.0	0.96	31.6349	758.8724
20	stage_1	0	18.19	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.7374	791.6175
21	stage_1	0	19.11	80.627	80.627	69.109	45.94	61.253	60.0	0.96	33.2311	824.8553
22	stage_1	0	19.65	80.627	80.627	69.109	45.94	61.253	60.0	0.96	31.4340	856.2985
23	stage_1	0	20.02	80.627	80.627	69.109	45.94	61.253	60.0	0.96	33.6866	889.9920
24	stage_1	0	20.31	80.627	80.627	69.109	45.94	61.253	60.0	0.96	31.5101	921.5126
25	stage_1	0	20.87	80.627	80.627	69.109	45.94	61.253	60.0	0.96	33.3430	954.8637
26	stage_1	0	21.22	80.627	80.627	69.109	45.94	61.253	60.0	0.96	31.7712	986.6442
27	stage_1	0	21.37	80.627	80.627	69.109	45.94	61.253	60.0	0.96	31.5705	1018.2215
28	stage_1	0	22.18	80.627	80.627	69.109	45.94	61.253	60.0	0.96	32.1788	1050.4086
29	stage_1	0	22.54	80.627	80.627	69.109	45.94	61.253	60.0	0.96	77.4414	1127.8579
30	stage_2	1	23.16	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.9127	1159.7796
31	stage_2	1	23.93	87.55	87.55	75.043	56.325	75.1	60.0	0.984	30.6992	1190.5064
32	stage_2	1	24.68	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.3415	1221.8647
33	stage_2	1	25.38	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.2229	1253.0949
34	stage_2	1	25.78	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.5973	1284.7055
35	stage_2	1	26.13	87.55	87.55	75.043	56.325	75.1	60.0	0.984	33.5628	1318.2763
36	stage_2	1	26.04	87.55	87.55	75.043	56.325	75.1	60.0	0.984	32.9347	1351.2202
37	stage_2	1	27.07	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.7275	1382.9585
38	stage_2	1	27.28	87.55	87.55	75.043	56.325	75.1	60.0	0.984	33.1878	1416.1553
39	stage_2	1	27.59	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.8471	1448.0107
40	stage_2	1	28.44	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.2807	1479.2995
41	stage_2	1	28.81	87.55	87.55	75.043	56.325	75.1	60.0	0.984	32.3823	1511.6901
42	stage_2	1	28.62	87.55	87.55	75.043	56.325	75.1	60.0	0.984	33.1614	1544.8595
43	stage_2	1	29.3	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.7901	1576.6576
44	stage_2	1	29.44	87.55	87.55	75.043	56.325	75.1	60.0	0.984	33.4998	1610.1653
45	stage_2	1	29.84	87.55	87.55	75.043	56.325	75.1	60.0	0.984	33.3588	1643.5311
46	stage_2	1	30.6	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.7959	1675.3351
47	stage_2	1	30.7	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.2432	1706.5854
48	stage_2	1	31.11	87.55	87.55	75.043	56.325	75.1	60.0	0.984	30.8892	1737.4823
49	stage_2	1	30.99	87.55	87.55	75.043	56.325	75.1	60.0	0.984	31.8785	1769.3728
50	stage_2	1	31.35	87.55	87.55	75.043	56.325	75.1	60.0	0.984	30.3362	1799.7177
51	stage_2	1	31.4	87.55	87.55	75.043	56.325	75.1	60.0	0.984	63.4383	1863.1639
52	stage_3	2	32.33	89.167	89.167	76.429	58.75	78.333	60.0	0.988	32.9999	1896.1726
53	stage_3	2	32.71	89.167	89.167	76.429	58.75	78.333	60.0	0.988	32.4602	1928.6404
54	stage_3	2	33.36	89.167	89.167	76.429	58.75	78.333	60.0	0.988	33.9399	1962.5888
55	stage_3	2	33.39	89.167	89.167	76.429	58.75	78.333	60.0	0.988	31.6147	1994.2099
56	stage_3	2	33.91	89.167	89.167	76.429	58.75	78.333	60.0	0.988	32.1766	2026.3949
57	stage_3	2	33.84	89.167	89.167	76.429	58.75	78.333	60.0	0.988	32.7801	2059.1818
