epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	1.0	None	None	None	None	None	None	None	126.5353	126.5429
1	warmup	warmup	1.89	None	None	None	None	None	None	None	126.2467	252.7991
2	warmup	warmup	6.86	None	None	None	None	None	None	None	127.0098	379.8321
3	warmup	warmup	10.28	None	None	None	None	None	None	None	127.3672	507.2059
4	warmup	warmup	13.61	None	None	None	None	None	None	None	124.8502	632.0803
5	warmup	warmup	16.14	None	None	None	None	None	None	None	125.1231	757.2125
6	warmup	warmup	17.9	None	None	None	None	None	None	None	127.2561	884.4748
7	warmup	warmup	20.35	None	None	None	None	None	None	None	125.3584	1009.8399
8	warmup	warmup	21.95	None	None	None	None	None	None	None	126.5582	1136.4049
9	warmup	warmup	23.26	None	None	None	None	None	None	None	126.2785	1262.6896
10	warmup	warmup	24.56	None	None	None	None	None	None	None	123.9901	1386.6867
11	warmup	warmup	26.02	None	None	None	None	None	None	None	125.9149	1512.6099
12	warmup	warmup	26.75	None	None	None	None	None	None	None	124.9054	1637.5222
13	warmup	warmup	27.89	None	None	None	None	None	None	None	127.2545	1764.7878
14	warmup	warmup	29.07	None	None	None	None	None	None	None	125.2650	1890.0975
15	warmup	warmup	29.84	None	None	None	None	None	None	None	127.6225	2017.7268
16	warmup	warmup	30.51	None	None	None	None	None	None	None	124.1983	2141.9326
17	warmup	warmup	30.84	None	None	None	None	None	None	None	124.5679	2266.5073
18	warmup	warmup	31.16	None	None	None	None	None	None	None	123.4054	2389.9195
19	warmup	warmup	31.57	None	None	None	None	None	None	None	157.0884	2547.0153
20	stage_1	0	32.41	54.567	54.567	98.22	91.1	18.22	90.0	0.989	117.6374	2664.6596
21	stage_1	0	32.94	54.567	54.567	98.22	91.1	18.22	90.0	0.989	119.3596	2784.0267
22	stage_1	0	32.74	54.567	54.567	98.22	91.1	18.22	90.0	0.989	117.3915	2901.4265
23	stage_1	0	33.27	54.567	54.567	98.22	91.1	18.22	90.0	0.989	117.7231	3019.1575
24	stage_1	0	33.8	54.567	54.567	98.22	91.1	18.22	90.0	0.989	118.7870	3137.9515
25	stage_1	0	33.6	54.567	54.567	98.22	91.1	18.22	90.0	0.989	119.2631	3257.2218
26	stage_1	0	33.17	54.567	54.567	98.22	91.1	18.22	90.0	0.989	117.1977	3374.4267
27	stage_1	0	33.14	54.567	54.567	98.22	91.1	18.22	90.0	0.989	117.8731	3492.3066
28	stage_1	0	33.32	54.567	54.567	98.22	91.1	18.22	90.0	0.989	118.4089	3610.7226
