========================================================================================================================
Training started at: 2026-04-11 15:05:36
Result directory: results/fl_cifar100/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_cifar100/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_cifar100_20260411-150536-195669_pid2074858.txt
Result log file : results/fl_cifar100/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_cifar100_20260411-150536-195669_pid2074858.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.5
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=1.000 | RoundTime=200.60s | TotalTime=200.61s | Method=fedgloss
[Round 002/100] Phase=standard | Stage=warmup | Acc=0.980 | RoundTime=200.54s | TotalTime=401.16s | Method=fedgloss
[Round 003/100] Phase=standard | Stage=warmup | Acc=3.840 | RoundTime=197.77s | TotalTime=598.94s | Method=fedgloss
[Round 004/100] Phase=standard | Stage=warmup | Acc=5.940 | RoundTime=200.56s | TotalTime=799.51s | Method=fedgloss
[Round 005/100] Phase=standard | Stage=warmup | Acc=8.050 | RoundTime=209.23s | TotalTime=1008.75s | Method=fedgloss
[Round 006/100] Phase=standard | Stage=warmup | Acc=10.380 | RoundTime=402.05s | TotalTime=1410.81s | Method=fedgloss
[Round 007/100] Phase=standard | Stage=warmup | Acc=11.740 | RoundTime=399.47s | TotalTime=1810.29s | Method=fedgloss
[Round 008/100] Phase=standard | Stage=warmup | Acc=12.770 | RoundTime=402.88s | TotalTime=2213.18s | Method=fedgloss
[Round 009/100] Phase=standard | Stage=warmup | Acc=13.670 | RoundTime=401.79s | TotalTime=2614.99s | Method=fedgloss
[Round 010/100] Phase=standard | Stage=warmup | Acc=14.890 | RoundTime=402.32s | TotalTime=3017.32s | Method=fedgloss
[Round 011/100] Phase=standard | Stage=warmup | Acc=16.420 | RoundTime=401.60s | TotalTime=3418.93s | Method=fedgloss
[Round 012/100] Phase=standard | Stage=warmup | Acc=16.850 | RoundTime=399.60s | TotalTime=3818.54s | Method=fedgloss
[Round 013/100] Phase=standard | Stage=warmup | Acc=18.200 | RoundTime=397.41s | TotalTime=4215.95s | Method=fedgloss
[Round 014/100] Phase=standard | Stage=warmup | Acc=19.380 | RoundTime=399.52s | TotalTime=4615.48s | Method=fedgloss
[Round 015/100] Phase=standard | Stage=warmup | Acc=19.280 | RoundTime=401.68s | TotalTime=5017.17s | Method=fedgloss
[Round 016/100] Phase=standard | Stage=warmup | Acc=20.140 | RoundTime=400.80s | TotalTime=5417.98s | Method=fedgloss
[Round 017/100] Phase=standard | Stage=warmup | Acc=21.490 | RoundTime=399.32s | TotalTime=5817.32s | Method=fedgloss
[Round 018/100] Phase=standard | Stage=warmup | Acc=21.960 | RoundTime=389.58s | TotalTime=6206.91s | Method=fedgloss
[Round 019/100] Phase=standard | Stage=warmup | Acc=22.290 | RoundTime=391.03s | TotalTime=6597.95s | Method=fedgloss
[Round 020/100] Phase=standard | Stage=warmup | Acc=23.180 | RoundTime=391.55s | TotalTime=6989.50s | Method=fedgloss
[Round 021/100] Phase=standard | Stage=warmup | Acc=23.190 | RoundTime=392.27s | TotalTime=7381.78s | Method=fedgloss
[Round 022/100] Phase=standard | Stage=warmup | Acc=24.200 | RoundTime=390.35s | TotalTime=7772.15s | Method=fedgloss
[Round 023/100] Phase=standard | Stage=warmup | Acc=24.210 | RoundTime=390.72s | TotalTime=8162.88s | Method=fedgloss
[Round 024/100] Phase=standard | Stage=warmup | Acc=23.990 | RoundTime=392.44s | TotalTime=8555.33s | Method=fedgloss
[Round 025/100] Phase=standard | Stage=warmup | Acc=23.900 | RoundTime=388.83s | TotalTime=8944.17s | Method=fedgloss
[Round 026/100] Phase=standard | Stage=warmup | Acc=25.240 | RoundTime=391.32s | TotalTime=9335.50s | Method=fedgloss
[Round 027/100] Phase=standard | Stage=warmup | Acc=25.510 | RoundTime=391.30s | TotalTime=9726.81s | Method=fedgloss
[Round 028/100] Phase=standard | Stage=warmup | Acc=25.520 | RoundTime=385.86s | TotalTime=10112.68s | Method=fedgloss
[Round 029/100] Phase=standard | Stage=warmup | Acc=25.480 | RoundTime=391.96s | TotalTime=10504.65s | Method=fedgloss
[Round 030/100] Phase=standard | Stage=warmup | Acc=25.560 | RoundTime=381.38s | TotalTime=10886.04s | Method=fedgloss
[Round 031/100] Phase=standard | Stage=warmup | Acc=25.870 | RoundTime=384.67s | TotalTime=11270.72s | Method=fedgloss
[Round 032/100] Phase=standard | Stage=warmup | Acc=25.680 | RoundTime=385.11s | TotalTime=11655.84s | Method=fedgloss
[Round 033/100] Phase=standard | Stage=warmup | Acc=25.740 | RoundTime=386.71s | TotalTime=12042.56s | Method=fedgloss
[Round 034/100] Phase=standard | Stage=warmup | Acc=26.080 | RoundTime=383.98s | TotalTime=12426.55s | Method=fedgloss
[Round 035/100] Phase=standard | Stage=warmup | Acc=25.890 | RoundTime=384.83s | TotalTime=12811.40s | Method=fedgloss
[Round 036/100] Phase=standard | Stage=warmup | Acc=26.800 | RoundTime=387.69s | TotalTime=13199.10s | Method=fedgloss
[Round 037/100] Phase=standard | Stage=warmup | Acc=26.660 | RoundTime=387.62s | TotalTime=13586.73s | Method=fedgloss
[Round 038/100] Phase=standard | Stage=warmup | Acc=26.440 | RoundTime=386.58s | TotalTime=13973.32s | Method=fedgloss
[Round 039/100] Phase=standard | Stage=warmup | Acc=25.700 | RoundTime=384.83s | TotalTime=14358.16s | Method=fedgloss
[Round 040/100] Phase=standard | Stage=warmup | Acc=26.330 | RoundTime=375.29s | TotalTime=14733.46s | Method=fedgloss
[Round 041/100] Phase=standard | Stage=warmup | Acc=25.930 | RoundTime=368.05s | TotalTime=15101.52s | Method=fedgloss
[Round 042/100] Phase=standard | Stage=warmup | Acc=25.710 | RoundTime=361.20s | TotalTime=15462.73s | Method=fedgloss
[Round 043/100] Phase=standard | Stage=warmup | Acc=26.600 | RoundTime=369.94s | TotalTime=15832.67s | Method=fedgloss
[Round 044/100] Phase=standard | Stage=warmup | Acc=26.670 | RoundTime=369.06s | TotalTime=16201.75s | Method=fedgloss
[Round 045/100] Phase=standard | Stage=warmup | Acc=26.880 | RoundTime=367.78s | TotalTime=16569.54s | Method=fedgloss
[Round 046/100] Phase=standard | Stage=warmup | Acc=26.740 | RoundTime=368.85s | TotalTime=16938.39s | Method=fedgloss
[Round 047/100] Phase=standard | Stage=warmup | Acc=26.930 | RoundTime=369.93s | TotalTime=17308.33s | Method=fedgloss
[Round 048/100] Phase=standard | Stage=warmup | Acc=26.980 | RoundTime=365.73s | TotalTime=17674.07s | Method=fedgloss
[Round 049/100] Phase=standard | Stage=warmup | Acc=27.110 | RoundTime=369.79s | TotalTime=18043.86s | Method=fedgloss
[Round 050/100] Phase=standard | Stage=warmup | Acc=27.030 | RoundTime=358.45s | TotalTime=18402.33s | Method=fedgloss
[Round 051/100] Phase=standard | Stage=warmup | Acc=26.940 | RoundTime=361.36s | TotalTime=18763.70s | Method=fedgloss
[Round 052/100] Phase=standard | Stage=warmup | Acc=26.880 | RoundTime=359.53s | TotalTime=19123.24s | Method=fedgloss
[Round 053/100] Phase=standard | Stage=warmup | Acc=27.320 | RoundTime=362.12s | TotalTime=19485.36s | Method=fedgloss
[Round 054/100] Phase=standard | Stage=warmup | Acc=27.150 | RoundTime=360.50s | TotalTime=19845.88s | Method=fedgloss
[Round 055/100] Phase=standard | Stage=warmup | Acc=26.830 | RoundTime=362.48s | TotalTime=20208.37s | Method=fedgloss
[Round 056/100] Phase=standard | Stage=warmup | Acc=26.920 | RoundTime=360.37s | TotalTime=20568.75s | Method=fedgloss
[Round 057/100] Phase=standard | Stage=warmup | Acc=26.730 | RoundTime=360.29s | TotalTime=20929.05s | Method=fedgloss
[Round 058/100] Phase=standard | Stage=warmup | Acc=26.850 | RoundTime=360.78s | TotalTime=21289.84s | Method=fedgloss
[Round 059/100] Phase=standard | Stage=warmup | Acc=27.560 | RoundTime=355.84s | TotalTime=21645.69s | Method=fedgloss
[Round 060/100] Phase=standard | Stage=warmup | Acc=26.840 | RoundTime=396.04s | TotalTime=22041.74s | Method=fedgloss
