epoch	acc	pure	round_time_sec	total_time_sec
0	1.0	None	51.1200	51.1202
1	1.0	None	49.3981	100.5186
2	1.0	None	49.6279	150.1467
3	1.0	None	49.8290	199.9760
4	1.0	None	48.8710	248.8473
5	1.0	None	49.7597	298.6073
6	1.0	None	49.5710	348.1786
7	1.0	None	49.5666	397.7454
8	1.0	None	49.8397	447.5854
9	1.0	None	49.9517	497.5375
10	1.0	None	49.5003	547.0381
11	1.0	None	49.6310	596.6695
12	1.0	None	49.3983	646.0681
13	1.0	None	50.0131	696.0815
14	1.0	None	50.4731	746.5560
15	1.0	None	50.0851	796.6415
16	1.0	None	49.8845	846.5262
17	1.0	None	49.6034	896.1300
18	1.0	None	49.9325	946.0628
19	1.0	None	49.6394	995.7025
20	1.0	None	50.0627	1045.7654
21	1.0	None	49.2452	1095.0109
22	1.0	None	49.9313	1144.9426
23	1.0	None	49.6256	1194.5684
24	1.0	None	49.9446	1244.5132
25	1.0	None	49.7120	1294.2255
26	1.0	None	49.8462	1344.0719
27	1.0	None	49.6871	1393.7595
28	1.0	None	49.7658	1443.5256
29	1.0	None	50.2306	1493.7564
30	1.0	None	49.9188	1543.6755
31	1.0	None	50.3651	1594.0421
32	1.0	None	49.6669	1643.7094
33	1.0	None	50.1055	1693.8152
34	1.0	None	50.0498	1743.8653
35	1.0	None	50.2598	1794.1254
36	1.0	None	50.3196	1844.4453
37	1.0	None	49.5553	1894.0009
38	1.0	None	49.6434	1943.6446
39	1.0	None	49.5508	1993.1957
40	1.0	None	50.4303	2043.6263
41	1.0	None	50.1744	2093.8009
42	1.0	None	49.6735	2143.4747
43	1.0	None	49.9814	2193.4564
44	1.0	None	50.1172	2243.5739
45	1.0	None	49.8758	2293.4500
46	1.0	None	50.0489	2343.4992
47	1.0	None	49.8908	2393.3903
48	1.0	None	49.8012	2443.1917
49	1.0	None	50.2469	2493.4389
50	1.0	None	49.9580	2543.3972
51	1.0	None	49.7971	2593.1945
52	1.0	None	48.7188	2641.9136
53	1.0	None	52.1166	2694.0305
54	1.0	None	47.9827	2742.0135
55	1.0	None	48.6201	2790.6339
56	1.0	None	50.0869	2840.7211
57	1.0	None	49.8772	2890.5986
58	1.0	None	50.0725	2940.6714
59	1.0	None	49.6799	2990.3516
60	1.0	None	50.0290	3040.3809
61	1.0	None	49.8614	3090.2426
62	1.0	None	49.8724	3140.1153
63	1.0	None	50.2134	3190.3290
64	1.0	None	50.1211	3240.4504
65	1.0	None	49.7731	3290.2238
66	1.0	None	50.3771	3340.6012
67	1.0	None	50.1522	3390.7539
68	1.0	None	50.4169	3441.1712
69	1.0	None	50.3653	3491.5369
70	1.0	None	50.3542	3541.8914
71	1.0	None	49.7606	3591.6523
72	1.0	None	50.0049	3641.6575
73	1.0	None	50.4587	3692.1166
74	1.0	None	49.7555	3741.8724
75	1.0	None	50.7305	3792.6032
76	1.0	None	50.4733	3843.0769
77	1.0	None	50.6837	3893.7609
78	1.0	None	50.8503	3944.6115
79	1.0	None	50.4513	3995.0631
80	1.0	None	50.1162	4045.1797
81	1.0	None	50.3371	4095.5171
82	1.0	None	50.3956	4145.9131
83	1.0	None	50.0446	4195.9580
84	1.0	None	50.3475	4246.3058
85	1.0	None	50.0228	4296.3290
86	1.0	None	50.2713	4346.6007
87	1.0	None	50.5236	4397.1246
88	1.0	None	50.1497	4447.2745
89	1.0	None	51.2005	4498.4753
90	1.0	None	60.5582	4559.0338
91	1.0	None	98.2104	4657.2445
