========================================================================================================================
Training started at: 2026-04-09 22:34:13
Result directory: results/fl_cifar100/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_cifar100/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_cifar100_20260409-223413-461157_pid2180848.txt
Result log file : results/fl_cifar100/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_cifar100_20260409-223413-461157_pid2180848.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=1.000 | RoundTime=162.03s | TotalTime=162.04s | Method=fedgloss
[Round 002/100] Phase=standard | Stage=warmup | Acc=2.040 | RoundTime=161.13s | TotalTime=323.18s | Method=fedgloss
[Round 003/100] Phase=standard | Stage=warmup | Acc=7.260 | RoundTime=161.32s | TotalTime=484.51s | Method=fedgloss
[Round 004/100] Phase=standard | Stage=warmup | Acc=11.630 | RoundTime=160.77s | TotalTime=645.29s | Method=fedgloss
[Round 005/100] Phase=standard | Stage=warmup | Acc=14.020 | RoundTime=161.81s | TotalTime=807.11s | Method=fedgloss
[Round 006/100] Phase=standard | Stage=warmup | Acc=16.410 | RoundTime=160.54s | TotalTime=967.65s | Method=fedgloss
[Round 007/100] Phase=standard | Stage=warmup | Acc=18.230 | RoundTime=162.36s | TotalTime=1130.02s | Method=fedgloss
[Round 008/100] Phase=standard | Stage=warmup | Acc=20.480 | RoundTime=161.56s | TotalTime=1291.59s | Method=fedgloss
[Round 009/100] Phase=standard | Stage=warmup | Acc=22.280 | RoundTime=160.41s | TotalTime=1452.01s | Method=fedgloss
[Round 010/100] Phase=standard | Stage=warmup | Acc=23.840 | RoundTime=159.89s | TotalTime=1611.91s | Method=fedgloss
[Round 011/100] Phase=standard | Stage=warmup | Acc=24.900 | RoundTime=161.07s | TotalTime=1772.99s | Method=fedgloss
[Round 012/100] Phase=standard | Stage=warmup | Acc=25.950 | RoundTime=160.93s | TotalTime=1933.93s | Method=fedgloss
[Round 013/100] Phase=standard | Stage=warmup | Acc=27.460 | RoundTime=160.47s | TotalTime=2094.42s | Method=fedgloss
[Round 014/100] Phase=standard | Stage=warmup | Acc=27.860 | RoundTime=161.09s | TotalTime=2255.52s | Method=fedgloss
[Round 015/100] Phase=standard | Stage=warmup | Acc=28.870 | RoundTime=158.97s | TotalTime=2414.51s | Method=fedgloss
[Round 016/100] Phase=standard | Stage=warmup | Acc=30.120 | RoundTime=160.33s | TotalTime=2574.85s | Method=fedgloss
[Round 017/100] Phase=standard | Stage=warmup | Acc=30.410 | RoundTime=162.41s | TotalTime=2737.27s | Method=fedgloss
[Round 018/100] Phase=standard | Stage=warmup | Acc=30.790 | RoundTime=160.01s | TotalTime=2897.29s | Method=fedgloss
[Round 019/100] Phase=standard | Stage=warmup | Acc=31.360 | RoundTime=160.33s | TotalTime=3057.63s | Method=fedgloss
[Round 020/100] Phase=standard | Stage=warmup | Acc=31.520 | RoundTime=159.11s | TotalTime=3216.75s | Method=fedgloss
[Round 021/100] Phase=standard | Stage=warmup | Acc=31.580 | RoundTime=160.38s | TotalTime=3377.13s | Method=fedgloss
[Round 022/100] Phase=standard | Stage=warmup | Acc=31.590 | RoundTime=160.61s | TotalTime=3537.75s | Method=fedgloss
[Round 023/100] Phase=standard | Stage=warmup | Acc=31.490 | RoundTime=160.00s | TotalTime=3697.77s | Method=fedgloss
[Round 024/100] Phase=standard | Stage=warmup | Acc=32.200 | RoundTime=159.64s | TotalTime=3857.42s | Method=fedgloss
