epoch	acc	pure	round_time_sec	total_time_sec
0	1.0	None	49.8705	49.8706
1	1.09	None	49.9746	99.8454
2	7.46	None	48.6824	148.5281
3	12.11	None	49.2355	197.7651
4	14.98	None	48.8382	246.6036
5	15.3	None	48.7360	295.3399
6	16.48	None	49.0942	344.4344
7	17.15	None	50.0663	394.5009
8	17.96	None	49.2784	443.7797
9	18.19	None	51.1650	494.9450
10	18.6	None	48.8971	543.8424
11	19.08	None	48.8672	592.7099
12	19.5	None	50.0782	642.7885
13	20.06	None	49.5496	692.3384
14	20.08	None	49.2401	741.5789
15	20.48	None	49.7414	791.3207
16	21.18	None	49.3421	840.6631
17	19.92	None	49.6636	890.3270
18	20.99	None	49.6396	939.9669
19	20.64	None	49.9868	989.9541
20	20.35	None	49.1984	1039.1527
21	20.94	None	49.6773	1088.8303
22	21.11	None	49.4590	1138.2895
23	21.35	None	49.2527	1187.5425
24	21.79	None	49.4234	1236.9663
25	21.25	None	49.7701	1286.7367
26	22.08	None	49.6041	1336.3411
27	21.31	None	49.5013	1385.8426
28	22.04	None	49.5455	1435.3886
29	22.09	None	49.9380	1485.3268
30	21.89	None	49.2184	1534.5455
31	22.15	None	50.0078	1584.5536
32	22.84	None	49.7517	1634.3056
33	22.35	None	49.0364	1683.3423
34	22.2	None	49.4810	1732.8236
35	22.7	None	49.2804	1782.1043
36	22.59	None	49.2040	1831.3086
37	23.07	None	49.8548	1881.1637
38	23.05	None	48.8977	1930.0617
39	22.92	None	49.6030	1979.6650
40	22.57	None	50.1703	2029.8357
41	22.98	None	49.0489	2078.8848
42	22.9	None	49.3631	2128.2483
43	22.51	None	49.6725	2177.9211
44	22.96	None	49.5260	2227.4474
45	22.12	None	49.6717	2277.1195
46	22.62	None	49.6343	2326.7541
47	23.98	None	49.5128	2376.2673
48	22.5	None	49.1747	2425.4424
49	23.17	None	49.1237	2474.5673
50	23.61	None	50.1532	2524.7208
51	22.59	None	49.5719	2574.2932
52	22.05	None	49.9733	2624.2669
53	22.87	None	49.6654	2673.9325
54	23.93	None	49.1611	2723.0940
55	22.89	None	49.5956	2772.6899
56	23.23	None	49.8096	2822.4998
57	23.03	None	49.9373	2872.4375
58	23.27	None	49.1912	2921.6290
59	22.73	None	49.2051	2970.8344
60	23.62	None	49.2139	3020.0486
61	23.26	None	49.1320	3069.1810
62	23.68	None	49.2371	3118.4184
63	23.38	None	48.7873	3167.2060
64	22.96	None	49.2051	3216.4114
65	23.43	None	49.7571	3266.1688
66	23.14	None	49.0333	3315.2024
67	22.38	None	48.9552	3364.1578
68	23.04	None	49.6221	3413.7802
69	22.4	None	49.6715	3463.4534
70	23.06	None	49.7371	3513.1907
71	22.78	None	49.9731	3563.1642
72	23.78	None	49.4546	3612.6190
73	23.03	None	49.4385	3662.0578
74	23.44	None	48.7320	3710.7901
75	22.98	None	49.8918	3760.6838
76	22.74	None	48.6956	3809.3797
77	23.62	None	49.0529	3858.4328
78	23.54	None	49.3717	3907.8048
79	24.16	None	48.8456	3956.6508
80	23.45	None	49.1134	4005.7644
81	23.92	None	49.9253	4055.6901
82	23.57	None	49.2442	4104.9345
83	22.69	None	49.0886	4154.0235
84	22.53	None	49.4501	4203.4754
85	22.93	None	49.0828	4252.5584
86	23.06	None	48.1342	4300.6929
87	22.97	None	50.2378	4350.9310
88	23.0	None	49.0975	4400.0288
89	22.83	None	48.7499	4448.7789
90	22.87	None	49.3288	4498.1081
91	22.76	None	49.0701	4547.1784
92	22.64	None	48.3489	4595.5285
93	23.69	None	48.7436	4644.2724
94	22.9	None	48.8940	4693.1666
95	23.62	None	48.4629	4741.6298
96	22.88	None	49.9650	4791.5962
97	21.9	None	48.8417	4840.4382
98	22.29	None	47.3370	4887.7755
99	22.86	None	41.8974	4929.6732
