====================================================================================================
Training started at: 2026-03-12 11:14:25
Result directory: results/fl_cifar100/fedprox
Result txt file : results/fl_cifar100/fedprox/model=fedprox_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111425.txt
Result log file : results/fl_cifar100/fedprox/model=fedprox_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111425.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=43.42s | TotalTime=43.42s | Method=fedprox
[Round 002/100] Acc=1.570 | RoundTime=43.99s | TotalTime=87.41s | Method=fedprox
[Round 003/100] Acc=4.920 | RoundTime=45.08s | TotalTime=132.49s | Method=fedprox
[Round 004/100] Acc=9.980 | RoundTime=44.48s | TotalTime=176.97s | Method=fedprox
[Round 005/100] Acc=11.570 | RoundTime=44.91s | TotalTime=221.87s | Method=fedprox
[Round 006/100] Acc=12.430 | RoundTime=41.61s | TotalTime=263.48s | Method=fedprox
[Round 007/100] Acc=13.880 | RoundTime=41.76s | TotalTime=305.24s | Method=fedprox
[Round 008/100] Acc=14.130 | RoundTime=42.26s | TotalTime=347.50s | Method=fedprox
[Round 009/100] Acc=14.170 | RoundTime=41.65s | TotalTime=389.15s | Method=fedprox
[Round 010/100] Acc=14.180 | RoundTime=38.82s | TotalTime=427.98s | Method=fedprox
[Round 011/100] Acc=15.950 | RoundTime=37.60s | TotalTime=465.58s | Method=fedprox
[Round 012/100] Acc=16.140 | RoundTime=37.30s | TotalTime=502.88s | Method=fedprox
[Round 013/100] Acc=16.190 | RoundTime=37.87s | TotalTime=540.75s | Method=fedprox
[Round 014/100] Acc=17.220 | RoundTime=37.71s | TotalTime=578.46s | Method=fedprox
[Round 015/100] Acc=17.230 | RoundTime=37.34s | TotalTime=615.80s | Method=fedprox
