========================================================================================================================
Training started at: 2026-04-11 15:20:02
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_mu-0.001/fedprox_fl_cifar100_20260411-152002-924274_pid2103188.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_mu-0.001/fedprox_fl_cifar100_20260411-152002-924274_pid2103188.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.5
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=1.000 | RoundTime=195.11s | TotalTime=195.12s | Method=fedprox
[Round 002/100] Phase=standard | Stage=warmup | Acc=1.040 | RoundTime=192.59s | TotalTime=387.72s | Method=fedprox
[Round 003/100] Phase=standard | Stage=warmup | Acc=3.420 | RoundTime=193.81s | TotalTime=581.54s | Method=fedprox
[Round 004/100] Phase=standard | Stage=warmup | Acc=5.620 | RoundTime=193.97s | TotalTime=775.51s | Method=fedprox
[Round 005/100] Phase=standard | Stage=warmup | Acc=7.670 | RoundTime=194.52s | TotalTime=970.04s | Method=fedprox
[Round 006/100] Phase=standard | Stage=warmup | Acc=9.960 | RoundTime=193.14s | TotalTime=1163.19s | Method=fedprox
[Round 007/100] Phase=standard | Stage=warmup | Acc=11.690 | RoundTime=193.01s | TotalTime=1356.20s | Method=fedprox
[Round 008/100] Phase=standard | Stage=warmup | Acc=12.370 | RoundTime=193.23s | TotalTime=1549.44s | Method=fedprox
[Round 009/100] Phase=standard | Stage=warmup | Acc=13.510 | RoundTime=195.67s | TotalTime=1745.12s | Method=fedprox
[Round 010/100] Phase=standard | Stage=warmup | Acc=14.510 | RoundTime=193.18s | TotalTime=1938.31s | Method=fedprox
[Round 011/100] Phase=standard | Stage=warmup | Acc=16.030 | RoundTime=193.66s | TotalTime=2131.98s | Method=fedprox
[Round 012/100] Phase=standard | Stage=warmup | Acc=16.660 | RoundTime=194.81s | TotalTime=2326.80s | Method=fedprox
[Round 013/100] Phase=standard | Stage=warmup | Acc=17.690 | RoundTime=193.34s | TotalTime=2520.15s | Method=fedprox
[Round 014/100] Phase=standard | Stage=warmup | Acc=19.310 | RoundTime=192.78s | TotalTime=2712.94s | Method=fedprox
[Round 015/100] Phase=standard | Stage=warmup | Acc=19.780 | RoundTime=193.93s | TotalTime=2906.88s | Method=fedprox
[Round 016/100] Phase=standard | Stage=warmup | Acc=20.020 | RoundTime=193.57s | TotalTime=3100.46s | Method=fedprox
[Round 017/100] Phase=standard | Stage=warmup | Acc=20.950 | RoundTime=193.65s | TotalTime=3294.12s | Method=fedprox
[Round 018/100] Phase=standard | Stage=warmup | Acc=21.860 | RoundTime=191.80s | TotalTime=3485.93s | Method=fedprox
[Round 019/100] Phase=standard | Stage=warmup | Acc=21.870 | RoundTime=194.09s | TotalTime=3680.03s | Method=fedprox
[Round 020/100] Phase=standard | Stage=warmup | Acc=23.640 | RoundTime=193.06s | TotalTime=3873.11s | Method=fedprox
[Round 021/100] Phase=standard | Stage=warmup | Acc=24.280 | RoundTime=193.30s | TotalTime=4066.41s | Method=fedprox
[Round 022/100] Phase=standard | Stage=warmup | Acc=24.530 | RoundTime=194.00s | TotalTime=4260.42s | Method=fedprox
[Round 023/100] Phase=standard | Stage=warmup | Acc=23.880 | RoundTime=192.89s | TotalTime=4453.32s | Method=fedprox
[Round 024/100] Phase=standard | Stage=warmup | Acc=24.540 | RoundTime=194.38s | TotalTime=4647.72s | Method=fedprox
[Round 025/100] Phase=standard | Stage=warmup | Acc=24.730 | RoundTime=194.25s | TotalTime=4841.98s | Method=fedprox
[Round 026/100] Phase=standard | Stage=warmup | Acc=24.930 | RoundTime=195.90s | TotalTime=5037.89s | Method=fedprox
[Round 027/100] Phase=standard | Stage=warmup | Acc=25.310 | RoundTime=194.81s | TotalTime=5232.71s | Method=fedprox
[Round 028/100] Phase=standard | Stage=warmup | Acc=25.640 | RoundTime=195.35s | TotalTime=5428.07s | Method=fedprox
[Round 029/100] Phase=standard | Stage=warmup | Acc=26.070 | RoundTime=194.98s | TotalTime=5623.06s | Method=fedprox
[Round 030/100] Phase=standard | Stage=warmup | Acc=25.630 | RoundTime=193.60s | TotalTime=5816.68s | Method=fedprox
[Round 031/100] Phase=standard | Stage=warmup | Acc=26.020 | RoundTime=193.52s | TotalTime=6010.21s | Method=fedprox
[Round 032/100] Phase=standard | Stage=warmup | Acc=26.610 | RoundTime=194.08s | TotalTime=6204.30s | Method=fedprox
[Round 033/100] Phase=standard | Stage=warmup | Acc=26.440 | RoundTime=190.89s | TotalTime=6395.20s | Method=fedprox
[Round 034/100] Phase=standard | Stage=warmup | Acc=26.550 | RoundTime=193.89s | TotalTime=6589.10s | Method=fedprox
[Round 035/100] Phase=standard | Stage=warmup | Acc=26.880 | RoundTime=196.94s | TotalTime=6786.05s | Method=fedprox
[Round 036/100] Phase=standard | Stage=warmup | Acc=27.040 | RoundTime=192.63s | TotalTime=6978.69s | Method=fedprox
[Round 037/100] Phase=standard | Stage=warmup | Acc=26.500 | RoundTime=193.51s | TotalTime=7172.21s | Method=fedprox
[Round 038/100] Phase=standard | Stage=warmup | Acc=26.560 | RoundTime=194.91s | TotalTime=7367.13s | Method=fedprox
[Round 039/100] Phase=standard | Stage=warmup | Acc=26.750 | RoundTime=194.05s | TotalTime=7561.19s | Method=fedprox
[Round 040/100] Phase=standard | Stage=warmup | Acc=27.380 | RoundTime=195.53s | TotalTime=7756.73s | Method=fedprox
[Round 041/100] Phase=standard | Stage=warmup | Acc=26.950 | RoundTime=196.05s | TotalTime=7952.79s | Method=fedprox
[Round 042/100] Phase=standard | Stage=warmup | Acc=27.190 | RoundTime=193.37s | TotalTime=8146.18s | Method=fedprox
[Round 043/100] Phase=standard | Stage=warmup | Acc=27.650 | RoundTime=193.04s | TotalTime=8339.23s | Method=fedprox
[Round 044/100] Phase=standard | Stage=warmup | Acc=26.920 | RoundTime=195.62s | TotalTime=8534.85s | Method=fedprox
[Round 045/100] Phase=standard | Stage=warmup | Acc=27.450 | RoundTime=193.59s | TotalTime=8728.45s | Method=fedprox
[Round 046/100] Phase=standard | Stage=warmup | Acc=26.830 | RoundTime=192.32s | TotalTime=8920.78s | Method=fedprox
[Round 047/100] Phase=standard | Stage=warmup | Acc=27.150 | RoundTime=194.22s | TotalTime=9115.02s | Method=fedprox
[Round 048/100] Phase=standard | Stage=warmup | Acc=27.090 | RoundTime=194.56s | TotalTime=9309.59s | Method=fedprox
[Round 049/100] Phase=standard | Stage=warmup | Acc=27.500 | RoundTime=193.52s | TotalTime=9503.12s | Method=fedprox
[Round 050/100] Phase=standard | Stage=warmup | Acc=27.220 | RoundTime=194.21s | TotalTime=9697.34s | Method=fedprox
[Round 051/100] Phase=standard | Stage=warmup | Acc=27.180 | RoundTime=193.29s | TotalTime=9890.64s | Method=fedprox
[Round 052/100] Phase=standard | Stage=warmup | Acc=27.090 | RoundTime=191.99s | TotalTime=10082.64s | Method=fedprox
[Round 053/100] Phase=standard | Stage=warmup | Acc=27.160 | RoundTime=192.52s | TotalTime=10275.17s | Method=fedprox
[Round 054/100] Phase=standard | Stage=warmup | Acc=27.650 | RoundTime=193.25s | TotalTime=10468.43s | Method=fedprox
[Round 055/100] Phase=standard | Stage=warmup | Acc=28.100 | RoundTime=194.36s | TotalTime=10662.80s | Method=fedprox
[Round 056/100] Phase=standard | Stage=warmup | Acc=27.480 | RoundTime=193.38s | TotalTime=10856.19s | Method=fedprox
[Round 057/100] Phase=standard | Stage=warmup | Acc=27.340 | RoundTime=193.74s | TotalTime=11049.93s | Method=fedprox
