epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	1.0	None	None	None	None	None	None	None	195.1078	195.1169
1	standard	warmup	1.04	None	None	None	None	None	None	None	192.5919	387.7171
2	standard	warmup	3.42	None	None	None	None	None	None	None	193.8146	581.5389
3	standard	warmup	5.62	None	None	None	None	None	None	None	193.9664	775.5123
4	standard	warmup	7.67	None	None	None	None	None	None	None	194.5200	970.0391
5	standard	warmup	9.96	None	None	None	None	None	None	None	193.1374	1163.1863
6	standard	warmup	11.69	None	None	None	None	None	None	None	193.0053	1356.2015
7	standard	warmup	12.37	None	None	None	None	None	None	None	193.2278	1549.4391
8	standard	warmup	13.51	None	None	None	None	None	None	None	195.6667	1745.1202
9	standard	warmup	14.51	None	None	None	None	None	None	None	193.1762	1938.3058
10	standard	warmup	16.03	None	None	None	None	None	None	None	193.6614	2131.9767
11	standard	warmup	16.66	None	None	None	None	None	None	None	194.8080	2326.7959
12	standard	warmup	17.69	None	None	None	None	None	None	None	193.3429	2520.1496
13	standard	warmup	19.31	None	None	None	None	None	None	None	192.7810	2712.9418
14	standard	warmup	19.78	None	None	None	None	None	None	None	193.9284	2906.8795
15	standard	warmup	20.02	None	None	None	None	None	None	None	193.5682	3100.4587
16	standard	warmup	20.95	None	None	None	None	None	None	None	193.6525	3294.1224
17	standard	warmup	21.86	None	None	None	None	None	None	None	191.7981	3485.9316
18	standard	warmup	21.87	None	None	None	None	None	None	None	194.0919	3680.0334
19	standard	warmup	23.64	None	None	None	None	None	None	None	193.0635	3873.1064
20	standard	warmup	24.28	None	None	None	None	None	None	None	193.2957	4066.4117
21	standard	warmup	24.53	None	None	None	None	None	None	None	194.0004	4260.4246
22	standard	warmup	23.88	None	None	None	None	None	None	None	192.8905	4453.3249
23	standard	warmup	24.54	None	None	None	None	None	None	None	194.3840	4647.7183
24	standard	warmup	24.73	None	None	None	None	None	None	None	194.2481	4841.9790
25	standard	warmup	24.93	None	None	None	None	None	None	None	195.8993	5037.8903
26	standard	warmup	25.31	None	None	None	None	None	None	None	194.8054	5232.7076
27	standard	warmup	25.64	None	None	None	None	None	None	None	195.3513	5428.0689
28	standard	warmup	26.07	None	None	None	None	None	None	None	194.9839	5623.0646
29	standard	warmup	25.63	None	None	None	None	None	None	None	193.6020	5816.6781
30	standard	warmup	26.02	None	None	None	None	None	None	None	193.5205	6010.2101
31	standard	warmup	26.61	None	None	None	None	None	None	None	194.0772	6204.2972
32	standard	warmup	26.44	None	None	None	None	None	None	None	190.8936	6395.2024
33	standard	warmup	26.55	None	None	None	None	None	None	None	193.8854	6589.0994
34	standard	warmup	26.88	None	None	None	None	None	None	None	196.9351	6786.0458
35	standard	warmup	27.04	None	None	None	None	None	None	None	192.6337	6978.6894
36	standard	warmup	26.5	None	None	None	None	None	None	None	193.5120	7172.2116
37	standard	warmup	26.56	None	None	None	None	None	None	None	194.9073	7367.1305
38	standard	warmup	26.75	None	None	None	None	None	None	None	194.0479	7561.1885
39	standard	warmup	27.38	None	None	None	None	None	None	None	195.5276	7756.7261
40	standard	warmup	26.95	None	None	None	None	None	None	None	196.0541	7952.7918
41	standard	warmup	27.19	None	None	None	None	None	None	None	193.3746	8146.1765
42	standard	warmup	27.65	None	None	None	None	None	None	None	193.0412	8339.2283
43	standard	warmup	26.92	None	None	None	None	None	None	None	195.6159	8534.8541
44	standard	warmup	27.45	None	None	None	None	None	None	None	193.5873	8728.4513
45	standard	warmup	26.83	None	None	None	None	None	None	None	192.3234	8920.7849
46	standard	warmup	27.15	None	None	None	None	None	None	None	194.2244	9115.0193
47	standard	warmup	27.09	None	None	None	None	None	None	None	194.5604	9309.5899
48	standard	warmup	27.5	None	None	None	None	None	None	None	193.5156	9503.1154
49	standard	warmup	27.22	None	None	None	None	None	None	None	194.2089	9697.3365
50	standard	warmup	27.18	None	None	None	None	None	None	None	193.2931	9890.6402
51	standard	warmup	27.09	None	None	None	None	None	None	None	191.9884	10082.6391
52	standard	warmup	27.16	None	None	None	None	None	None	None	192.5238	10275.1735
53	standard	warmup	27.65	None	None	None	None	None	None	None	193.2482	10468.4319
54	standard	warmup	28.1	None	None	None	None	None	None	None	194.3562	10662.7998
55	standard	warmup	27.48	None	None	None	None	None	None	None	193.3758	10856.1861
56	standard	warmup	27.34	None	None	None	None	None	None	None	193.7351	11049.9316
57	standard	warmup	27.77	None	None	None	None	None	None	None	193.2622	11243.2055
58	standard	warmup	27.53	None	None	None	None	None	None	None	195.4029	11438.6205
59	standard	warmup	27.08	None	None	None	None	None	None	None	195.7563	11634.3876
60	standard	warmup	27.52	None	None	None	None	None	None	None	193.4495	11827.8483
61	standard	warmup	27.59	None	None	None	None	None	None	None	193.2221	12021.0813
62	standard	warmup	28.06	None	None	None	None	None	None	None	195.2900	12216.3816
63	standard	warmup	27.77	None	None	None	None	None	None	None	194.2867	12410.6800
64	standard	warmup	27.82	None	None	None	None	None	None	None	192.1100	12602.8006
65	standard	warmup	27.74	None	None	None	None	None	None	None	194.3091	12797.1200
66	standard	warmup	28.16	None	None	None	None	None	None	None	193.7339	12990.8643
67	standard	warmup	27.88	None	None	None	None	None	None	None	194.4009	13185.2757
68	standard	warmup	28.34	None	None	None	None	None	None	None	193.2698	13378.5561
69	standard	warmup	27.93	None	None	None	None	None	None	None	192.9720	13571.5358
70	standard	warmup	27.34	None	None	None	None	None	None	None	193.9469	13765.4931
