========================================================================================================================
Training started at: 2026-04-07 06:43:22
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 001/210] Phase=standard | Stage=warmup | Acc=1.000 | RoundTime=37.98s | TotalTime=37.99s | Method=fedprox
[Round 002/210] Phase=standard | Stage=warmup | Acc=1.200 | RoundTime=35.22s | TotalTime=73.23s | Method=fedprox
[Round 003/210] Phase=standard | Stage=warmup | Acc=3.400 | RoundTime=35.55s | TotalTime=108.78s | Method=fedprox
[Round 004/210] Phase=standard | Stage=warmup | Acc=7.110 | RoundTime=34.85s | TotalTime=143.65s | Method=fedprox
[Round 005/210] Phase=standard | Stage=warmup | Acc=7.780 | RoundTime=29.25s | TotalTime=172.91s | Method=fedprox
[Round 006/210] Phase=standard | Stage=warmup | Acc=10.260 | RoundTime=35.28s | TotalTime=208.20s | Method=fedprox
[Round 007/210] Phase=standard | Stage=warmup | Acc=11.860 | RoundTime=35.19s | TotalTime=243.40s | Method=fedprox
[Round 008/210] Phase=standard | Stage=warmup | Acc=12.920 | RoundTime=34.38s | TotalTime=277.78s | Method=fedprox
[Round 009/210] Phase=standard | Stage=warmup | Acc=13.630 | RoundTime=35.66s | TotalTime=313.45s | Method=fedprox
[Round 010/210] Phase=standard | Stage=warmup | Acc=14.170 | RoundTime=35.54s | TotalTime=349.00s | Method=fedprox
[Round 011/210] Phase=standard | Stage=warmup | Acc=14.850 | RoundTime=35.48s | TotalTime=384.49s | Method=fedprox
[Round 012/210] Phase=standard | Stage=warmup | Acc=15.810 | RoundTime=36.50s | TotalTime=421.00s | Method=fedprox
[Round 013/210] Phase=standard | Stage=warmup | Acc=16.750 | RoundTime=35.55s | TotalTime=456.56s | Method=fedprox
[Round 014/210] Phase=standard | Stage=warmup | Acc=16.600 | RoundTime=35.46s | TotalTime=492.03s | Method=fedprox
[Round 015/210] Phase=standard | Stage=warmup | Acc=17.980 | RoundTime=35.35s | TotalTime=527.38s | Method=fedprox
[Round 016/210] Phase=standard | Stage=warmup | Acc=18.270 | RoundTime=35.69s | TotalTime=563.08s | Method=fedprox
