====================================================================================================
Training started at: 2026-03-12 11:18:47
Result directory: results/fl_cifar100/fedrdn
Result txt file : results/fl_cifar100/fedrdn/model=fedrdn_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111847.txt
Result log file : results/fl_cifar100/fedrdn/model=fedrdn_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111847.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=32.26s | TotalTime=32.26s | Method=fedrdn
[Round 002/100] Acc=1.000 | RoundTime=32.32s | TotalTime=64.58s | Method=fedrdn
[Round 003/100] Acc=1.590 | RoundTime=33.05s | TotalTime=97.62s | Method=fedrdn
[Round 004/100] Acc=3.700 | RoundTime=34.02s | TotalTime=131.65s | Method=fedrdn
[Round 005/100] Acc=6.630 | RoundTime=32.32s | TotalTime=163.97s | Method=fedrdn
[Round 006/100] Acc=8.790 | RoundTime=32.52s | TotalTime=196.49s | Method=fedrdn
[Round 007/100] Acc=10.060 | RoundTime=32.02s | TotalTime=228.51s | Method=fedrdn
[Round 008/100] Acc=10.670 | RoundTime=31.80s | TotalTime=260.31s | Method=fedrdn
[Round 009/100] Acc=10.480 | RoundTime=32.05s | TotalTime=292.36s | Method=fedrdn
[Round 010/100] Acc=11.770 | RoundTime=32.47s | TotalTime=324.83s | Method=fedrdn
[Round 011/100] Acc=11.980 | RoundTime=32.40s | TotalTime=357.23s | Method=fedrdn
[Round 012/100] Acc=12.300 | RoundTime=31.77s | TotalTime=389.00s | Method=fedrdn
[Round 013/100] Acc=12.800 | RoundTime=31.87s | TotalTime=420.88s | Method=fedrdn
