====================================================================================================
Training started at: 2026-03-27 02:39:55
Result directory: results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_cifar100_20260327-023955-525349_pid539330.txt
Result log file : results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_cifar100_20260327-023955-525349_pid539330.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=39.82s | TotalTime=39.82s | Method=fedrdn
[Round 002/100] Acc=1.000 | RoundTime=21.33s | TotalTime=61.15s | Method=fedrdn
[Round 003/100] Acc=4.200 | RoundTime=20.73s | TotalTime=81.88s | Method=fedrdn
[Round 004/100] Acc=7.350 | RoundTime=22.62s | TotalTime=104.50s | Method=fedrdn
[Round 005/100] Acc=9.080 | RoundTime=22.05s | TotalTime=126.55s | Method=fedrdn
[Round 006/100] Acc=10.760 | RoundTime=32.76s | TotalTime=159.30s | Method=fedrdn
[Round 007/100] Acc=11.670 | RoundTime=24.44s | TotalTime=183.74s | Method=fedrdn
[Round 008/100] Acc=13.480 | RoundTime=22.24s | TotalTime=205.98s | Method=fedrdn
[Round 009/100] Acc=13.890 | RoundTime=21.65s | TotalTime=227.63s | Method=fedrdn
[Round 010/100] Acc=13.870 | RoundTime=22.11s | TotalTime=249.75s | Method=fedrdn
[Round 011/100] Acc=15.430 | RoundTime=22.41s | TotalTime=272.16s | Method=fedrdn
[Round 012/100] Acc=16.290 | RoundTime=22.54s | TotalTime=294.70s | Method=fedrdn
[Round 013/100] Acc=17.690 | RoundTime=21.93s | TotalTime=316.64s | Method=fedrdn
[Round 014/100] Acc=17.260 | RoundTime=22.43s | TotalTime=339.06s | Method=fedrdn
[Round 015/100] Acc=17.580 | RoundTime=22.58s | TotalTime=361.64s | Method=fedrdn
[Round 016/100] Acc=18.950 | RoundTime=22.42s | TotalTime=384.07s | Method=fedrdn
[Round 017/100] Acc=18.250 | RoundTime=22.80s | TotalTime=406.87s | Method=fedrdn
[Round 018/100] Acc=18.530 | RoundTime=21.83s | TotalTime=428.70s | Method=fedrdn
[Round 019/100] Acc=19.590 | RoundTime=21.35s | TotalTime=450.05s | Method=fedrdn
[Round 020/100] Acc=19.490 | RoundTime=22.18s | TotalTime=472.23s | Method=fedrdn
[Round 021/100] Acc=20.250 | RoundTime=21.60s | TotalTime=493.82s | Method=fedrdn
[Round 022/100] Acc=20.100 | RoundTime=21.97s | TotalTime=515.79s | Method=fedrdn
[Round 023/100] Acc=20.120 | RoundTime=22.00s | TotalTime=537.79s | Method=fedrdn
[Round 024/100] Acc=21.240 | RoundTime=21.73s | TotalTime=559.52s | Method=fedrdn
[Round 025/100] Acc=21.100 | RoundTime=21.84s | TotalTime=581.36s | Method=fedrdn
