====================================================================================================
Training started at: 2026-03-14 09:48:59
Result directory: results/fl_mnist/fedavg/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_mnist/fedavg/pm-dir_a-0.1_nm-uni_nr-0.3/fedavg_fl_mnist_20260314-094859.txt
Result log file : results/fl_mnist/fedavg/pm-dir_a-0.1_nm-uni_nr-0.3/fedavg_fl_mnist_20260314-094859.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=9.820 | RoundTime=59.16s | TotalTime=59.16s | Method=fedavg
[Round 002/100] Acc=11.350 | RoundTime=56.28s | TotalTime=115.44s | Method=fedavg
[Round 003/100] Acc=50.400 | RoundTime=56.00s | TotalTime=171.44s | Method=fedavg
[Round 004/100] Acc=74.760 | RoundTime=59.06s | TotalTime=230.50s | Method=fedavg
[Round 005/100] Acc=82.920 | RoundTime=58.47s | TotalTime=288.97s | Method=fedavg
[Round 006/100] Acc=75.940 | RoundTime=58.17s | TotalTime=347.15s | Method=fedavg
[Round 007/100] Acc=78.100 | RoundTime=59.87s | TotalTime=407.02s | Method=fedavg
[Round 008/100] Acc=74.130 | RoundTime=59.27s | TotalTime=466.29s | Method=fedavg
[Round 009/100] Acc=75.760 | RoundTime=60.89s | TotalTime=527.17s | Method=fedavg
[Round 010/100] Acc=78.230 | RoundTime=58.57s | TotalTime=585.74s | Method=fedavg
[Round 011/100] Acc=79.200 | RoundTime=57.67s | TotalTime=643.41s | Method=fedavg
[Round 012/100] Acc=73.690 | RoundTime=57.20s | TotalTime=700.61s | Method=fedavg
[Round 013/100] Acc=71.690 | RoundTime=58.07s | TotalTime=758.68s | Method=fedavg
[Round 014/100] Acc=75.530 | RoundTime=57.92s | TotalTime=816.60s | Method=fedavg
[Round 015/100] Acc=75.080 | RoundTime=58.88s | TotalTime=875.48s | Method=fedavg
[Round 016/100] Acc=78.580 | RoundTime=56.88s | TotalTime=932.36s | Method=fedavg
[Round 017/100] Acc=76.370 | RoundTime=58.92s | TotalTime=991.28s | Method=fedavg
[Round 018/100] Acc=75.210 | RoundTime=58.53s | TotalTime=1049.81s | Method=fedavg
[Round 019/100] Acc=71.850 | RoundTime=57.90s | TotalTime=1107.71s | Method=fedavg
[Round 020/100] Acc=73.680 | RoundTime=57.71s | TotalTime=1165.42s | Method=fedavg
[Round 021/100] Acc=77.030 | RoundTime=58.30s | TotalTime=1223.73s | Method=fedavg
[Round 022/100] Acc=80.590 | RoundTime=59.56s | TotalTime=1283.29s | Method=fedavg
[Round 023/100] Acc=78.110 | RoundTime=57.11s | TotalTime=1340.40s | Method=fedavg
[Round 024/100] Acc=79.720 | RoundTime=57.94s | TotalTime=1398.33s | Method=fedavg
[Round 025/100] Acc=77.250 | RoundTime=57.48s | TotalTime=1455.82s | Method=fedavg
[Round 026/100] Acc=78.360 | RoundTime=59.21s | TotalTime=1515.03s | Method=fedavg
[Round 027/100] Acc=78.850 | RoundTime=60.84s | TotalTime=1575.87s | Method=fedavg
[Round 028/100] Acc=70.740 | RoundTime=58.95s | TotalTime=1634.82s | Method=fedavg
[Round 029/100] Acc=78.880 | RoundTime=57.60s | TotalTime=1692.41s | Method=fedavg
[Round 030/100] Acc=69.610 | RoundTime=57.94s | TotalTime=1750.35s | Method=fedavg
[Round 031/100] Acc=75.570 | RoundTime=58.88s | TotalTime=1809.23s | Method=fedavg
[Round 032/100] Acc=72.360 | RoundTime=58.25s | TotalTime=1867.48s | Method=fedavg
[Round 033/100] Acc=74.300 | RoundTime=58.18s | TotalTime=1925.67s | Method=fedavg
[Round 034/100] Acc=79.210 | RoundTime=58.59s | TotalTime=1984.26s | Method=fedavg
[Round 035/100] Acc=78.040 | RoundTime=59.25s | TotalTime=2043.51s | Method=fedavg
[Round 036/100] Acc=78.700 | RoundTime=60.08s | TotalTime=2103.59s | Method=fedavg
[Round 037/100] Acc=81.720 | RoundTime=60.44s | TotalTime=2164.03s | Method=fedavg
[Round 038/100] Acc=78.570 | RoundTime=60.49s | TotalTime=2224.52s | Method=fedavg
[Round 039/100] Acc=76.690 | RoundTime=59.01s | TotalTime=2283.53s | Method=fedavg
[Round 040/100] Acc=66.750 | RoundTime=59.01s | TotalTime=2342.54s | Method=fedavg
[Round 041/100] Acc=80.670 | RoundTime=59.05s | TotalTime=2401.59s | Method=fedavg
[Round 042/100] Acc=77.050 | RoundTime=60.58s | TotalTime=2462.18s | Method=fedavg
[Round 043/100] Acc=79.740 | RoundTime=58.86s | TotalTime=2521.03s | Method=fedavg
[Round 044/100] Acc=76.720 | RoundTime=60.01s | TotalTime=2581.04s | Method=fedavg
[Round 045/100] Acc=68.330 | RoundTime=57.69s | TotalTime=2638.73s | Method=fedavg
[Round 046/100] Acc=79.630 | RoundTime=58.36s | TotalTime=2697.09s | Method=fedavg
[Round 047/100] Acc=76.030 | RoundTime=59.10s | TotalTime=2756.19s | Method=fedavg
[Round 048/100] Acc=78.730 | RoundTime=59.77s | TotalTime=2815.96s | Method=fedavg
[Round 049/100] Acc=75.370 | RoundTime=57.15s | TotalTime=2873.11s | Method=fedavg
[Round 050/100] Acc=81.390 | RoundTime=59.62s | TotalTime=2932.73s | Method=fedavg
[Round 051/100] Acc=74.300 | RoundTime=57.39s | TotalTime=2990.13s | Method=fedavg
[Round 052/100] Acc=73.230 | RoundTime=57.90s | TotalTime=3048.03s | Method=fedavg
[Round 053/100] Acc=78.650 | RoundTime=59.01s | TotalTime=3107.04s | Method=fedavg
[Round 054/100] Acc=72.460 | RoundTime=59.99s | TotalTime=3167.03s | Method=fedavg
[Round 055/100] Acc=79.190 | RoundTime=59.14s | TotalTime=3226.17s | Method=fedavg
[Round 056/100] Acc=83.740 | RoundTime=58.65s | TotalTime=3284.82s | Method=fedavg
[Round 057/100] Acc=83.450 | RoundTime=58.57s | TotalTime=3343.39s | Method=fedavg
[Round 058/100] Acc=84.720 | RoundTime=57.74s | TotalTime=3401.13s | Method=fedavg
[Round 059/100] Acc=79.960 | RoundTime=61.44s | TotalTime=3462.57s | Method=fedavg
[Round 060/100] Acc=74.260 | RoundTime=56.93s | TotalTime=3519.51s | Method=fedavg
[Round 061/100] Acc=73.230 | RoundTime=57.21s | TotalTime=3576.72s | Method=fedavg
[Round 062/100] Acc=79.330 | RoundTime=58.16s | TotalTime=3634.88s | Method=fedavg
[Round 063/100] Acc=76.000 | RoundTime=57.16s | TotalTime=3692.04s | Method=fedavg
[Round 064/100] Acc=79.170 | RoundTime=57.98s | TotalTime=3750.02s | Method=fedavg
[Round 065/100] Acc=80.650 | RoundTime=58.95s | TotalTime=3808.97s | Method=fedavg
[Round 066/100] Acc=80.940 | RoundTime=57.07s | TotalTime=3866.04s | Method=fedavg
[Round 067/100] Acc=75.710 | RoundTime=58.00s | TotalTime=3924.04s | Method=fedavg
[Round 068/100] Acc=84.180 | RoundTime=57.26s | TotalTime=3981.29s | Method=fedavg
[Round 069/100] Acc=81.350 | RoundTime=58.78s | TotalTime=4040.08s | Method=fedavg
[Round 070/100] Acc=79.560 | RoundTime=58.75s | TotalTime=4098.83s | Method=fedavg
[Round 071/100] Acc=78.900 | RoundTime=57.43s | TotalTime=4156.26s | Method=fedavg
[Round 072/100] Acc=76.140 | RoundTime=52.28s | TotalTime=4208.55s | Method=fedavg
[Round 073/100] Acc=76.610 | RoundTime=51.02s | TotalTime=4259.57s | Method=fedavg
[Round 074/100] Acc=73.020 | RoundTime=51.44s | TotalTime=4311.01s | Method=fedavg
[Round 075/100] Acc=80.630 | RoundTime=51.27s | TotalTime=4362.28s | Method=fedavg
[Round 076/100] Acc=80.160 | RoundTime=51.72s | TotalTime=4414.00s | Method=fedavg
[Round 077/100] Acc=81.030 | RoundTime=51.56s | TotalTime=4465.56s | Method=fedavg
[Round 078/100] Acc=84.700 | RoundTime=51.18s | TotalTime=4516.75s | Method=fedavg
[Round 079/100] Acc=78.380 | RoundTime=52.29s | TotalTime=4569.03s | Method=fedavg
[Round 080/100] Acc=73.990 | RoundTime=52.27s | TotalTime=4621.30s | Method=fedavg
[Round 081/100] Acc=73.050 | RoundTime=52.55s | TotalTime=4673.85s | Method=fedavg
[Round 082/100] Acc=83.910 | RoundTime=52.18s | TotalTime=4726.04s | Method=fedavg
[Round 083/100] Acc=83.650 | RoundTime=54.80s | TotalTime=4780.84s | Method=fedavg
[Round 084/100] Acc=84.400 | RoundTime=55.76s | TotalTime=4836.60s | Method=fedavg
[Round 085/100] Acc=83.360 | RoundTime=55.23s | TotalTime=4891.82s | Method=fedavg
[Round 086/100] Acc=80.160 | RoundTime=55.21s | TotalTime=4947.03s | Method=fedavg
[Round 087/100] Acc=77.350 | RoundTime=55.04s | TotalTime=5002.08s | Method=fedavg
[Round 088/100] Acc=81.390 | RoundTime=53.14s | TotalTime=5055.22s | Method=fedavg
[Round 089/100] Acc=85.030 | RoundTime=49.90s | TotalTime=5105.12s | Method=fedavg
[Round 090/100] Acc=77.030 | RoundTime=48.86s | TotalTime=5153.99s | Method=fedavg
[Round 091/100] Acc=66.730 | RoundTime=49.46s | TotalTime=5203.45s | Method=fedavg
[Round 092/100] Acc=73.230 | RoundTime=50.14s | TotalTime=5253.59s | Method=fedavg
[Round 093/100] Acc=78.390 | RoundTime=48.74s | TotalTime=5302.33s | Method=fedavg
[Round 094/100] Acc=84.010 | RoundTime=49.12s | TotalTime=5351.44s | Method=fedavg
[Round 095/100] Acc=83.550 | RoundTime=50.05s | TotalTime=5401.49s | Method=fedavg
[Round 096/100] Acc=85.140 | RoundTime=49.59s | TotalTime=5451.07s | Method=fedavg
[Round 097/100] Acc=81.360 | RoundTime=49.75s | TotalTime=5500.83s | Method=fedavg
[Round 098/100] Acc=86.010 | RoundTime=49.97s | TotalTime=5550.80s | Method=fedavg
[Round 099/100] Acc=84.470 | RoundTime=49.57s | TotalTime=5600.37s | Method=fedavg
[Round 100/100] Acc=86.410 | RoundTime=48.64s | TotalTime=5649.01s | Method=fedavg
====================================================================================================
Training finished at: 2026-03-14 11:23:09
Total elapsed time: 5649.01s
Final Acc: 86.410
Best Acc : 86.410
