epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	None	58.6304	58.6306
1	61.51	None	57.1771	115.8080
2	93.7	None	56.4594	172.2678
3	97.37	None	60.0208	232.2889
4	97.19	None	58.5246	290.8139
5	95.61	None	58.4238	349.2383
6	96.45	None	60.0490	409.2877
7	94.32	None	59.6498	468.9377
8	95.26	None	59.3497	528.2877
9	96.14	None	58.6922	586.9803
10	94.91	None	58.7771	645.7577
11	94.69	None	58.9838	704.7418
12	94.64	None	58.7175	763.4612
13	93.06	None	58.3410	821.8026
14	95.8	None	58.6817	880.4846
15	96.07	None	57.5577	938.0438
16	94.9	None	58.9449	996.9933
17	93.8	None	59.7805	1056.7740
18	92.36	None	59.1053	1115.8798
19	95.93	None	58.6402	1174.5203
20	94.93	None	58.2447	1232.7653
21	96.01	None	59.0770	1291.8426
22	94.37	None	58.3106	1350.1536
23	95.73	None	59.3416	1409.4957
24	95.41	None	59.0621	1468.5580
25	95.39	None	58.0063	1526.5656
26	95.77	None	61.0836	1587.6496
27	94.6	None	59.5370	1647.1869
28	95.56	None	58.0207	1705.2079
29	95.95	None	58.8077	1764.0159
30	95.27	None	59.1130	1823.1292
31	94.56	None	58.5929	1881.7226
32	95.98	None	59.2490	1940.9718
33	94.62	None	59.4906	2000.4627
34	94.52	None	60.9594	2061.4224
35	94.29	None	60.1749	2121.5977
36	95.52	None	59.9616	2181.5597
37	95.53	None	61.1570	2242.7170
38	94.81	None	60.1260	2302.8433
39	95.76	None	60.1817	2363.0254
40	95.47	None	60.6923	2423.7192
41	94.48	None	61.6073	2485.3281
42	94.68	None	59.6291	2544.9576
43	94.14	None	58.8509	2603.8088
44	94.37	None	58.8203	2662.6295
45	94.08	None	58.8890	2721.5187
46	93.66	None	60.8450	2782.3640
47	94.68	None	59.7969	2842.1612
48	94.05	None	59.4869	2901.6485
49	94.75	None	60.2483	2961.8971
50	95.78	None	58.5556	3020.4531
51	95.39	None	59.5013	3079.9547
52	94.71	None	59.8621	3139.8171
53	94.61	None	60.5198	3200.3373
54	94.64	None	60.4547	3260.7923
55	94.54	None	59.8704	3320.6632
56	94.87	None	58.8319	3379.4954
57	95.41	None	59.7237	3439.2194
58	94.86	None	60.9319	3500.1516
59	95.01	None	58.8779	3559.0298
60	93.49	None	58.8196	3617.8497
61	93.32	None	59.5051	3677.3565
62	94.97	None	59.3909	3736.7491
63	94.65	None	60.5080	3797.2575
64	93.55	None	59.5789	3856.8382
65	94.02	None	58.2262	3915.0647
66	94.92	None	57.9373	3973.0023
67	94.02	None	60.3415	4033.3441
68	94.27	None	58.9750	4092.3195
69	93.59	None	59.5768	4151.8967
70	93.9	None	53.1246	4205.0217
71	93.61	None	51.7735	4256.7956
72	94.44	None	52.0792	4308.8750
73	93.67	None	51.7948	4360.6702
74	93.61	None	52.0407	4412.7126
75	93.62	None	51.8949	4464.6078
76	94.33	None	52.3321	4516.9402
77	94.53	None	52.8183	4569.7604
78	93.85	None	51.8739	4621.6345
79	94.35	None	52.6119	4674.2467
80	93.59	None	52.6954	4726.9425
81	94.74	None	56.2614	4783.2043
82	93.74	None	57.1810	4840.3856
83	94.2	None	56.6008	4896.9884
84	94.96	None	55.5248	4952.5136
85	93.45	None	55.4035	5007.9173
86	94.0	None	53.5722	5061.4899
87	94.51	None	49.7879	5111.2781
88	93.71	None	49.6477	5160.9262
89	94.04	None	49.7426	5210.6691
90	94.03	None	49.4902	5260.1606
91	94.04	None	48.6902	5308.8511
92	94.44	None	49.6693	5358.5208
93	94.19	None	50.4922	5409.0133
94	94.14	None	49.6722	5458.6859
95	94.09	None	50.3041	5508.9904
96	91.24	None	50.3660	5559.3567
97	94.13	None	49.6176	5608.9758
98	93.71	None	49.6859	5658.6620
99	94.48	None	47.8564	5706.5186
