epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	11.35	None	None	None	None	None	None	None	33.0500	33.0571
1	standard	warmup	67.71	None	None	None	None	None	None	None	34.0052	67.0719
2	standard	warmup	93.78	None	None	None	None	None	None	None	34.2548	101.3398
3	standard	warmup	96.44	None	None	None	None	None	None	None	35.8951	137.2430
4	standard	warmup	97.28	None	None	None	None	None	None	None	34.2042	171.4543
5	standard	warmup	97.88	None	None	None	None	None	None	None	34.4122	205.8733
6	standard	warmup	98.08	None	None	None	None	None	None	None	34.4515	240.3312
7	standard	warmup	98.33	None	None	None	None	None	None	None	35.7446	276.0840
8	standard	warmup	98.05	None	None	None	None	None	None	None	34.1984	310.2892
9	standard	warmup	98.51	None	None	None	None	None	None	None	34.1416	344.4381
10	standard	warmup	98.6	None	None	None	None	None	None	None	35.1709	379.6161
11	standard	warmup	98.83	None	None	None	None	None	None	None	35.5923	415.2159
12	standard	warmup	98.72	None	None	None	None	None	None	None	35.0114	450.2340
13	standard	warmup	98.89	None	None	None	None	None	None	None	34.4963	484.7370
14	standard	warmup	98.84	None	None	None	None	None	None	None	35.6938	520.4377
15	standard	warmup	98.9	None	None	None	None	None	None	None	35.7255	556.1699
16	standard	warmup	98.98	None	None	None	None	None	None	None	34.8034	590.9812
17	standard	warmup	99.0	None	None	None	None	None	None	None	33.5245	624.5150
18	standard	warmup	98.95	None	None	None	None	None	None	None	34.9808	659.5028
19	standard	warmup	98.91	None	None	None	None	None	None	None	36.9971	696.5072
