epoch	acc	pure	round_time_sec	total_time_sec
0	10.32	None	19.5593	19.5595
1	9.86	None	18.9995	38.5592
2	12.39	None	19.2872	57.8467
3	48.8	None	19.3057	77.1527
4	49.83	None	19.3244	96.4774
5	52.59	None	19.4621	115.9397
6	69.23	None	20.3318	136.2717
7	47.11	None	20.6873	156.9594
8	53.9	None	19.8150	176.7747
9	37.69	None	20.2288	197.0037
10	56.03	None	22.2834	219.2873
11	57.65	None	20.4790	239.7665
12	46.59	None	20.5710	260.3377
13	53.32	None	19.9962	280.3341
14	64.51	None	20.0698	300.4041
15	35.33	None	20.7000	321.1044
16	42.83	None	20.3576	341.4623
17	64.0	None	20.0724	361.5351
18	76.54	None	20.9274	382.4627
19	63.62	None	20.3355	402.7985
20	46.53	None	20.6367	423.4354
21	64.77	None	20.9808	444.4165
22	46.6	None	21.1105	465.5273
23	52.82	None	21.4812	487.0087
24	38.45	None	23.8013	510.8101
25	65.03	None	20.4299	531.2405
26	44.26	None	20.6690	551.9096
27	63.22	None	20.6986	572.6084
28	69.99	None	20.4977	593.1063
29	71.99	None	20.4499	613.5565
30	60.32	None	20.7020	634.2587
31	63.59	None	20.8220	655.0809
32	56.55	None	21.0837	676.1649
33	49.37	None	20.7701	696.9353
34	44.35	None	20.4121	717.3478
35	72.44	None	20.8498	738.1979
36	65.38	None	20.5281	758.7263
37	70.54	None	21.4628	780.1895
38	64.36	None	23.5003	803.6901
39	55.99	None	20.9867	824.6770
40	64.72	None	20.6010	845.2784
41	50.13	None	20.9225	866.2012
42	73.22	None	20.9001	887.1015
43	52.91	None	20.8919	907.9938
44	52.66	None	20.9721	928.9663
45	46.54	None	20.7168	949.6833
46	67.67	None	20.4311	970.1146
47	54.79	None	20.5703	990.6851
48	51.82	None	21.5068	1012.1922
49	76.19	None	20.9103	1033.1026
50	63.07	None	31.3389	1064.4418
51	63.76	None	31.1501	1095.5922
52	64.39	None	31.0047	1126.5973
53	64.14	None	31.3422	1157.9397
54	61.24	None	31.4107	1189.3506
55	61.07	None	31.2278	1220.5786
56	61.57	None	31.0554	1251.6342
57	63.18	None	31.5199	1283.1542
58	63.12	None	31.0835	1314.2380
59	62.94	None	31.3053	1345.5436
60	63.55	None	31.1677	1376.7117
61	63.76	None	30.9647	1407.6766
62	63.92	None	31.3448	1439.0218
63	62.91	None	30.8871	1469.9092
64	63.05	None	31.3208	1501.2302
65	63.86	None	31.3671	1532.5977
66	63.52	None	31.0258	1563.6237
67	63.79	None	30.9355	1594.5595
68	64.3	None	31.1306	1625.6904
69	64.37	None	31.4345	1657.1253
70	64.62	None	31.3849	1688.5104
71	64.2	None	31.3114	1719.8220
72	63.19	None	32.1210	1751.9436
73	63.62	None	31.5988	1783.5427
74	64.2	None	31.3277	1814.8707
75	63.98	None	31.4518	1846.3227
76	64.53	None	31.0496	1877.3727
77	64.82	None	31.0262	1908.3993
78	65.05	None	31.5939	1939.9936
79	65.07	None	31.1460	1971.1398
80	64.95	None	31.4751	2002.6152
81	64.93	None	31.5167	2034.1322
82	64.87	None	31.1420	2065.2746
83	64.37	None	31.0982	2096.3731
84	64.55	None	31.2080	2127.5814
85	64.64	None	32.5092	2160.0910
86	64.17	None	32.1413	2192.2326
87	64.05	None	31.7708	2224.0036
88	63.66	None	31.5965	2255.6003
89	63.7	None	32.0280	2287.6286
90	63.34	None	33.4437	2321.0728
91	62.9	None	31.9522	2353.0253
92	62.8	None	31.6795	2384.7052
93	63.59	None	31.9951	2416.7006
94	63.37	None	31.7416	2448.4424
95	63.12	None	31.6801	2480.1229
96	63.11	None	31.4815	2511.6046
97	63.53	None	33.9526	2545.5576
98	63.73	None	31.7072	2577.2651
99	63.21	None	31.9667	2609.2320
