epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	10.28	None	None	None	None	None	None	None	151.8792	151.8856
1	standard	warmup	9.74	None	None	None	None	None	None	None	149.8688	301.7606
2	standard	warmup	50.93	None	None	None	None	None	None	None	148.7001	450.4676
3	standard	warmup	69.59	None	None	None	None	None	None	None	150.2266	600.7006
4	standard	warmup	81.41	None	None	None	None	None	None	None	147.5585	748.3006
5	standard	warmup	74.06	None	None	None	None	None	None	None	150.7613	899.1547
6	standard	warmup	68.09	None	None	None	None	None	None	None	149.9464	1049.1076
7	standard	warmup	66.53	None	None	None	None	None	None	None	148.7849	1197.8986
8	standard	warmup	76.45	None	None	None	None	None	None	None	150.3107	1348.2190
9	standard	warmup	50.87	None	None	None	None	None	None	None	151.6659	1499.8946
10	standard	warmup	49.61	None	None	None	None	None	None	None	148.9322	1648.8363
11	standard	warmup	46.7	None	None	None	None	None	None	None	151.3498	1800.1948
12	standard	warmup	49.04	None	None	None	None	None	None	None	151.8705	1952.0748
13	standard	warmup	39.11	None	None	None	None	None	None	None	148.5418	2100.6260
14	standard	warmup	47.07	None	None	None	None	None	None	None	150.0907	2250.7256
15	standard	warmup	34.03	None	None	None	None	None	None	None	151.9194	2402.6553
16	standard	warmup	35.28	None	None	None	None	None	None	None	149.1705	2551.8764
17	standard	warmup	48.63	None	None	None	None	None	None	None	149.6325	2701.5253
18	standard	warmup	46.33	None	None	None	None	None	None	None	150.0553	2851.6142
19	standard	warmup	39.53	None	None	None	None	None	None	None	148.0858	2999.7154
20	standard	warmup	45.57	None	None	None	None	None	None	None	149.4080	3149.1354
21	standard	warmup	40.33	None	None	None	None	None	None	None	151.5444	3300.6910
22	standard	warmup	44.25	None	None	None	None	None	None	None	149.6621	3450.3642
23	standard	warmup	44.6	None	None	None	None	None	None	None	148.4269	3598.8017
24	standard	warmup	48.9	None	None	None	None	None	None	None	151.6429	3750.4557
25	standard	warmup	41.78	None	None	None	None	None	None	None	149.5041	3899.9711
26	standard	warmup	41.6	None	None	None	None	None	None	None	149.3839	4049.3667
27	standard	warmup	49.09	None	None	None	None	None	None	None	149.7571	4199.1366
28	standard	warmup	48.5	None	None	None	None	None	None	None	147.8085	4346.9525
29	standard	warmup	43.36	None	None	None	None	None	None	None	149.9322	4496.8920
30	standard	warmup	49.4	None	None	None	None	None	None	None	173.1343	4670.0330
31	standard	warmup	42.16	None	None	None	None	None	None	None	158.2981	4828.3378
32	standard	warmup	40.86	None	None	None	None	None	None	None	157.5083	4985.8531
33	standard	warmup	41.53	None	None	None	None	None	None	None	159.0819	5144.9417
34	standard	warmup	42.02	None	None	None	None	None	None	None	158.3537	5303.3026
35	standard	warmup	42.76	None	None	None	None	None	None	None	159.1407	5462.4499
36	standard	warmup	45.93	None	None	None	None	None	None	None	158.4126	5620.8696
37	standard	warmup	46.37	None	None	None	None	None	None	None	156.8580	5777.7356
38	standard	warmup	44.85	None	None	None	None	None	None	None	156.9094	5934.6528
39	standard	warmup	44.58	None	None	None	None	None	None	None	156.9078	6091.5672
40	standard	warmup	44.16	None	None	None	None	None	None	None	157.6911	6249.2671
41	standard	warmup	43.7	None	None	None	None	None	None	None	158.9189	6408.1928
42	standard	warmup	41.88	None	None	None	None	None	None	None	158.4865	6566.6964
43	standard	warmup	43.1	None	None	None	None	None	None	None	158.7998	6725.5028
44	standard	warmup	41.08	None	None	None	None	None	None	None	156.5693	6882.0791
45	standard	warmup	43.01	None	None	None	None	None	None	None	157.7887	7039.8752
46	standard	warmup	48.19	None	None	None	None	None	None	None	158.1230	7198.0067
47	standard	warmup	48.68	None	None	None	None	None	None	None	154.4463	7352.4843
48	standard	warmup	48.08	None	None	None	None	None	None	None	155.9910	7508.4838
49	standard	warmup	48.31	None	None	None	None	None	None	None	156.5412	7665.0383
50	standard	warmup	42.45	None	None	None	None	None	None	None	158.8984	7823.9451
51	standard	warmup	43.4	None	None	None	None	None	None	None	157.8311	7981.7834
52	standard	warmup	46.41	None	None	None	None	None	None	None	156.3861	8138.1929
53	standard	warmup	45.93	None	None	None	None	None	None	None	156.5529	8294.7563
54	standard	warmup	45.62	None	None	None	None	None	None	None	157.8429	8452.6067
55	standard	warmup	48.55	None	None	None	None	None	None	None	156.5405	8609.1545
56	standard	warmup	48.75	None	None	None	None	None	None	None	156.5222	8765.6855
57	standard	warmup	46.66	None	None	None	None	None	None	None	158.4081	8924.1023
58	standard	warmup	47.85	None	None	None	None	None	None	None	156.6370	9080.7481
59	standard	warmup	44.92	None	None	None	None	None	None	None	158.8230	9239.5862
60	standard	warmup	45.77	None	None	None	None	None	None	None	157.8345	9397.4329
61	standard	warmup	45.33	None	None	None	None	None	None	None	158.2928	9555.7373
62	standard	warmup	43.62	None	None	None	None	None	None	None	157.7825	9713.5290
63	standard	warmup	44.15	None	None	None	None	None	None	None	156.9385	9870.4762
64	standard	warmup	44.72	None	None	None	None	None	None	None	156.6669	10027.1567
65	standard	warmup	49.13	None	None	None	None	None	None	None	158.1002	10185.2654
66	standard	warmup	50.24	None	None	None	None	None	None	None	157.3486	10342.6228
67	standard	warmup	49.25	None	None	None	None	None	None	None	155.6388	10498.2711
68	standard	warmup	47.97	None	None	None	None	None	None	None	158.2074	10656.4904
69	standard	warmup	47.34	None	None	None	None	None	None	None	156.4517	10812.9506
70	standard	warmup	46.6	None	None	None	None	None	None	None	157.0534	10970.0368
71	standard	warmup	49.96	None	None	None	None	None	None	None	157.3514	11127.3972
72	standard	warmup	49.27	None	None	None	None	None	None	None	158.6193	11286.0251
73	standard	warmup	48.39	None	None	None	None	None	None	None	156.8291	11442.8630
74	standard	warmup	48.58	None	None	None	None	None	None	None	157.7673	11600.6421
75	standard	warmup	45.44	None	None	None	None	None	None	None	157.0751	11757.7519
76	standard	warmup	49.73	None	None	None	None	None	None	None	157.0748	11914.8357
77	standard	warmup	50.02	None	None	None	None	None	None	None	156.4703	12071.3150
78	standard	warmup	50.53	None	None	None	None	None	None	None	157.6799	12229.0052
79	standard	warmup	50.6	None	None	None	None	None	None	None	156.1437	12385.1607
80	standard	warmup	51.89	None	None	None	None	None	None	None	155.9933	12541.1653
81	standard	warmup	49.93	None	None	None	None	None	None	None	156.6542	12697.8321
82	standard	warmup	49.82	None	None	None	None	None	None	None	156.7515	12854.5970
83	standard	warmup	49.08	None	None	None	None	None	None	None	159.0659	13013.6763
84	standard	warmup	50.72	None	None	None	None	None	None	None	156.1472	13169.8320
85	standard	warmup	47.24	None	None	None	None	None	None	None	158.3970	13328.2388
86	standard	warmup	48.88	None	None	None	None	None	None	None	156.6216	13484.8694
87	standard	warmup	48.38	None	None	None	None	None	None	None	156.0144	13640.8962
88	standard	warmup	51.29	None	None	None	None	None	None	None	157.9221	13798.8341
89	standard	warmup	51.53	None	None	None	None	None	None	None	156.8593	13955.7059
90	standard	warmup	51.12	None	None	None	None	None	None	None	157.1810	14112.8986
91	standard	warmup	51.04	None	None	None	None	None	None	None	157.3612	14270.2726
92	standard	warmup	51.09	None	None	None	None	None	None	None	156.5287	14426.8098
93	standard	warmup	50.71	None	None	None	None	None	None	None	156.4416	14583.2629
94	standard	warmup	50.59	None	None	None	None	None	None	None	156.9741	14740.2492
95	standard	warmup	51.42	None	None	None	None	None	None	None	157.7009	14897.9640
96	standard	warmup	51.74	None	None	None	None	None	None	None	157.7036	15055.6790
