====================================================================================================
Training started at: 2026-03-27 13:48:32
Result directory: results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260327-134832-916775_pid2228471.txt
Result log file : results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260327-134832-916775_pid2228471.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=13.150 | RoundTime=23.11s | TotalTime=23.11s | Method=fedcda
[Round 002/100] Acc=57.820 | RoundTime=22.48s | TotalTime=45.59s | Method=fedcda
[Round 003/100] Acc=79.920 | RoundTime=23.57s | TotalTime=69.16s | Method=fedcda
[Round 004/100] Acc=88.880 | RoundTime=23.22s | TotalTime=92.38s | Method=fedcda
[Round 005/100] Acc=86.180 | RoundTime=24.21s | TotalTime=116.59s | Method=fedcda
[Round 006/100] Acc=85.380 | RoundTime=23.52s | TotalTime=140.11s | Method=fedcda
[Round 007/100] Acc=86.870 | RoundTime=23.87s | TotalTime=163.98s | Method=fedcda
[Round 008/100] Acc=89.540 | RoundTime=25.52s | TotalTime=189.50s | Method=fedcda
[Round 009/100] Acc=91.250 | RoundTime=25.57s | TotalTime=215.07s | Method=fedcda
[Round 010/100] Acc=91.710 | RoundTime=25.78s | TotalTime=240.85s | Method=fedcda
[Round 011/100] Acc=87.990 | RoundTime=26.04s | TotalTime=266.89s | Method=fedcda
[Round 012/100] Acc=88.270 | RoundTime=24.31s | TotalTime=291.20s | Method=fedcda
[Round 013/100] Acc=90.250 | RoundTime=25.37s | TotalTime=316.57s | Method=fedcda
[Round 014/100] Acc=91.380 | RoundTime=24.90s | TotalTime=341.47s | Method=fedcda
[Round 015/100] Acc=91.730 | RoundTime=24.72s | TotalTime=366.19s | Method=fedcda
[Round 016/100] Acc=93.480 | RoundTime=25.15s | TotalTime=391.34s | Method=fedcda
[Round 017/100] Acc=91.210 | RoundTime=25.74s | TotalTime=417.07s | Method=fedcda
[Round 018/100] Acc=92.560 | RoundTime=24.39s | TotalTime=441.46s | Method=fedcda
[Round 019/100] Acc=93.410 | RoundTime=24.78s | TotalTime=466.24s | Method=fedcda
[Round 020/100] Acc=87.700 | RoundTime=24.55s | TotalTime=490.79s | Method=fedcda
[Round 021/100] Acc=85.740 | RoundTime=25.97s | TotalTime=516.76s | Method=fedcda
[Round 022/100] Acc=90.530 | RoundTime=24.89s | TotalTime=541.65s | Method=fedcda
[Round 023/100] Acc=81.660 | RoundTime=24.67s | TotalTime=566.32s | Method=fedcda
[Round 024/100] Acc=90.300 | RoundTime=26.89s | TotalTime=593.21s | Method=fedcda
[Round 025/100] Acc=88.690 | RoundTime=25.92s | TotalTime=619.12s | Method=fedcda
[Round 026/100] Acc=91.130 | RoundTime=25.23s | TotalTime=644.35s | Method=fedcda
[Round 027/100] Acc=91.580 | RoundTime=24.82s | TotalTime=669.17s | Method=fedcda
[Round 028/100] Acc=86.940 | RoundTime=24.54s | TotalTime=693.72s | Method=fedcda
[Round 029/100] Acc=83.780 | RoundTime=24.70s | TotalTime=718.41s | Method=fedcda
[Round 030/100] Acc=91.110 | RoundTime=24.40s | TotalTime=742.82s | Method=fedcda
[Round 031/100] Acc=86.180 | RoundTime=24.22s | TotalTime=767.04s | Method=fedcda
[Round 032/100] Acc=90.240 | RoundTime=24.15s | TotalTime=791.19s | Method=fedcda
[Round 033/100] Acc=89.980 | RoundTime=25.15s | TotalTime=816.34s | Method=fedcda
[Round 034/100] Acc=85.660 | RoundTime=24.25s | TotalTime=840.59s | Method=fedcda
[Round 035/100] Acc=88.900 | RoundTime=24.42s | TotalTime=865.01s | Method=fedcda
[Round 036/100] Acc=84.650 | RoundTime=24.68s | TotalTime=889.69s | Method=fedcda
[Round 037/100] Acc=89.360 | RoundTime=26.81s | TotalTime=916.50s | Method=fedcda
[Round 038/100] Acc=86.120 | RoundTime=26.13s | TotalTime=942.63s | Method=fedcda
[Round 039/100] Acc=88.300 | RoundTime=24.52s | TotalTime=967.15s | Method=fedcda
[Round 040/100] Acc=76.690 | RoundTime=24.47s | TotalTime=991.62s | Method=fedcda
[Round 041/100] Acc=83.200 | RoundTime=26.29s | TotalTime=1017.92s | Method=fedcda
[Round 042/100] Acc=80.090 | RoundTime=26.56s | TotalTime=1044.48s | Method=fedcda
[Round 043/100] Acc=86.010 | RoundTime=26.19s | TotalTime=1070.68s | Method=fedcda
[Round 044/100] Acc=87.090 | RoundTime=26.23s | TotalTime=1096.91s | Method=fedcda
[Round 045/100] Acc=83.790 | RoundTime=25.54s | TotalTime=1122.44s | Method=fedcda
[Round 046/100] Acc=84.990 | RoundTime=26.83s | TotalTime=1149.27s | Method=fedcda
[Round 047/100] Acc=80.380 | RoundTime=25.03s | TotalTime=1174.30s | Method=fedcda
[Round 048/100] Acc=78.470 | RoundTime=25.52s | TotalTime=1199.82s | Method=fedcda
[Round 049/100] Acc=90.860 | RoundTime=24.64s | TotalTime=1224.46s | Method=fedcda
[Round 050/100] Acc=90.770 | RoundTime=27.27s | TotalTime=1251.73s | Method=fedcda
