========================================================================================================================
Training started at: 2026-04-09 09:49:00
Result directory: results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_hs-3_bn-3_wr-30_L-1.0
Result txt file : results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_mnist_20260409-094900-733938_pid1489602.txt
Result log file : results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_mnist_20260409-094900-733938_pid1489602.log
------------------------------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedCDA history size: 3
FedCDA batch num: 3
FedCDA warmup round: 30
FedCDA L: 1.0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=9.740 | RoundTime=151.47s | TotalTime=151.47s | Method=fedcda
[Round 002/100] Phase=standard | Stage=warmup | Acc=65.580 | RoundTime=150.55s | TotalTime=302.02s | Method=fedcda
[Round 003/100] Phase=standard | Stage=warmup | Acc=86.600 | RoundTime=150.89s | TotalTime=452.92s | Method=fedcda
[Round 004/100] Phase=standard | Stage=warmup | Acc=94.560 | RoundTime=150.29s | TotalTime=603.22s | Method=fedcda
[Round 005/100] Phase=standard | Stage=warmup | Acc=96.750 | RoundTime=153.36s | TotalTime=756.59s | Method=fedcda
[Round 006/100] Phase=standard | Stage=warmup | Acc=95.880 | RoundTime=150.36s | TotalTime=906.95s | Method=fedcda
[Round 007/100] Phase=standard | Stage=warmup | Acc=89.800 | RoundTime=150.41s | TotalTime=1057.37s | Method=fedcda
[Round 008/100] Phase=standard | Stage=warmup | Acc=93.800 | RoundTime=150.77s | TotalTime=1208.15s | Method=fedcda
[Round 009/100] Phase=standard | Stage=warmup | Acc=88.820 | RoundTime=151.31s | TotalTime=1359.46s | Method=fedcda
[Round 010/100] Phase=standard | Stage=warmup | Acc=84.620 | RoundTime=151.02s | TotalTime=1510.49s | Method=fedcda
[Round 011/100] Phase=standard | Stage=warmup | Acc=81.290 | RoundTime=151.08s | TotalTime=1661.58s | Method=fedcda
[Round 012/100] Phase=standard | Stage=warmup | Acc=61.900 | RoundTime=150.47s | TotalTime=1812.06s | Method=fedcda
[Round 013/100] Phase=standard | Stage=warmup | Acc=64.540 | RoundTime=150.40s | TotalTime=1962.47s | Method=fedcda
[Round 014/100] Phase=standard | Stage=warmup | Acc=46.420 | RoundTime=151.66s | TotalTime=2114.13s | Method=fedcda
[Round 015/100] Phase=standard | Stage=warmup | Acc=73.270 | RoundTime=150.29s | TotalTime=2264.43s | Method=fedcda
[Round 016/100] Phase=standard | Stage=warmup | Acc=68.550 | RoundTime=152.90s | TotalTime=2417.35s | Method=fedcda
[Round 017/100] Phase=standard | Stage=warmup | Acc=44.720 | RoundTime=150.86s | TotalTime=2568.21s | Method=fedcda
[Round 018/100] Phase=standard | Stage=warmup | Acc=70.090 | RoundTime=150.43s | TotalTime=2718.66s | Method=fedcda
[Round 019/100] Phase=standard | Stage=warmup | Acc=71.280 | RoundTime=151.05s | TotalTime=2869.71s | Method=fedcda
[Round 020/100] Phase=standard | Stage=warmup | Acc=68.140 | RoundTime=152.26s | TotalTime=3021.98s | Method=fedcda
[Round 021/100] Phase=standard | Stage=warmup | Acc=67.040 | RoundTime=150.64s | TotalTime=3172.63s | Method=fedcda
[Round 022/100] Phase=standard | Stage=warmup | Acc=67.520 | RoundTime=153.46s | TotalTime=3326.10s | Method=fedcda
[Round 023/100] Phase=standard | Stage=warmup | Acc=67.510 | RoundTime=150.01s | TotalTime=3476.12s | Method=fedcda
[Round 024/100] Phase=standard | Stage=warmup | Acc=65.200 | RoundTime=150.88s | TotalTime=3627.01s | Method=fedcda
[Round 025/100] Phase=standard | Stage=warmup | Acc=67.360 | RoundTime=151.12s | TotalTime=3778.13s | Method=fedcda
[Round 026/100] Phase=standard | Stage=warmup | Acc=67.500 | RoundTime=151.02s | TotalTime=3929.16s | Method=fedcda
[Round 027/100] Phase=standard | Stage=warmup | Acc=66.850 | RoundTime=150.86s | TotalTime=4080.03s | Method=fedcda
[Round 028/100] Phase=standard | Stage=warmup | Acc=67.880 | RoundTime=151.29s | TotalTime=4231.33s | Method=fedcda
[Round 029/100] Phase=standard | Stage=warmup | Acc=66.130 | RoundTime=149.69s | TotalTime=4381.02s | Method=fedcda
[Round 030/100] Phase=standard | Stage=warmup | Acc=62.280 | RoundTime=149.73s | TotalTime=4530.76s | Method=fedcda
[Round 031/100] Phase=standard | Stage=warmup | Acc=64.630 | RoundTime=153.94s | TotalTime=4684.71s | Method=fedcda
[Round 032/100] Phase=standard | Stage=warmup | Acc=71.260 | RoundTime=153.40s | TotalTime=4838.11s | Method=fedcda
[Round 033/100] Phase=standard | Stage=warmup | Acc=69.960 | RoundTime=153.31s | TotalTime=4991.42s | Method=fedcda
[Round 034/100] Phase=standard | Stage=warmup | Acc=70.870 | RoundTime=157.06s | TotalTime=5148.49s | Method=fedcda
[Round 035/100] Phase=standard | Stage=warmup | Acc=67.140 | RoundTime=155.55s | TotalTime=5304.05s | Method=fedcda
[Round 036/100] Phase=standard | Stage=warmup | Acc=67.120 | RoundTime=157.93s | TotalTime=5461.99s | Method=fedcda
[Round 037/100] Phase=standard | Stage=warmup | Acc=67.040 | RoundTime=158.34s | TotalTime=5620.34s | Method=fedcda
[Round 038/100] Phase=standard | Stage=warmup | Acc=63.860 | RoundTime=156.78s | TotalTime=5777.13s | Method=fedcda
[Round 039/100] Phase=standard | Stage=warmup | Acc=68.050 | RoundTime=156.90s | TotalTime=5934.03s | Method=fedcda
[Round 040/100] Phase=standard | Stage=warmup | Acc=68.170 | RoundTime=157.04s | TotalTime=6091.08s | Method=fedcda
[Round 041/100] Phase=standard | Stage=warmup | Acc=68.430 | RoundTime=157.38s | TotalTime=6248.46s | Method=fedcda
[Round 042/100] Phase=standard | Stage=warmup | Acc=69.470 | RoundTime=159.27s | TotalTime=6407.74s | Method=fedcda
[Round 043/100] Phase=standard | Stage=warmup | Acc=69.370 | RoundTime=158.43s | TotalTime=6566.17s | Method=fedcda
[Round 044/100] Phase=standard | Stage=warmup | Acc=63.830 | RoundTime=159.07s | TotalTime=6725.24s | Method=fedcda
[Round 045/100] Phase=standard | Stage=warmup | Acc=63.640 | RoundTime=156.76s | TotalTime=6882.04s | Method=fedcda
[Round 046/100] Phase=standard | Stage=warmup | Acc=63.700 | RoundTime=156.98s | TotalTime=7039.02s | Method=fedcda
[Round 047/100] Phase=standard | Stage=warmup | Acc=66.640 | RoundTime=157.24s | TotalTime=7196.28s | Method=fedcda
[Round 048/100] Phase=standard | Stage=warmup | Acc=61.740 | RoundTime=155.53s | TotalTime=7351.82s | Method=fedcda
[Round 049/100] Phase=standard | Stage=warmup | Acc=63.080 | RoundTime=156.30s | TotalTime=7508.13s | Method=fedcda
[Round 050/100] Phase=standard | Stage=warmup | Acc=61.900 | RoundTime=156.43s | TotalTime=7664.57s | Method=fedcda
[Round 051/100] Phase=standard | Stage=warmup | Acc=62.380 | RoundTime=158.80s | TotalTime=7823.38s | Method=fedcda
[Round 052/100] Phase=standard | Stage=warmup | Acc=67.220 | RoundTime=157.73s | TotalTime=7981.12s | Method=fedcda
[Round 053/100] Phase=standard | Stage=warmup | Acc=67.090 | RoundTime=156.59s | TotalTime=8137.72s | Method=fedcda
[Round 054/100] Phase=standard | Stage=warmup | Acc=66.670 | RoundTime=156.29s | TotalTime=8294.02s | Method=fedcda
[Round 055/100] Phase=standard | Stage=warmup | Acc=68.240 | RoundTime=157.62s | TotalTime=8451.64s | Method=fedcda
[Round 056/100] Phase=standard | Stage=warmup | Acc=62.640 | RoundTime=156.67s | TotalTime=8608.32s | Method=fedcda
[Round 057/100] Phase=standard | Stage=warmup | Acc=66.720 | RoundTime=156.52s | TotalTime=8764.85s | Method=fedcda
[Round 058/100] Phase=standard | Stage=warmup | Acc=66.650 | RoundTime=157.96s | TotalTime=8922.82s | Method=fedcda
[Round 059/100] Phase=standard | Stage=warmup | Acc=64.150 | RoundTime=157.74s | TotalTime=9080.57s | Method=fedcda
[Round 060/100] Phase=standard | Stage=warmup | Acc=62.240 | RoundTime=158.55s | TotalTime=9239.14s | Method=fedcda
[Round 061/100] Phase=standard | Stage=warmup | Acc=61.790 | RoundTime=158.46s | TotalTime=9397.61s | Method=fedcda
[Round 062/100] Phase=standard | Stage=warmup | Acc=60.790 | RoundTime=157.36s | TotalTime=9554.98s | Method=fedcda
[Round 063/100] Phase=standard | Stage=warmup | Acc=59.840 | RoundTime=157.81s | TotalTime=9712.80s | Method=fedcda
[Round 064/100] Phase=standard | Stage=warmup | Acc=62.060 | RoundTime=156.75s | TotalTime=9869.55s | Method=fedcda
[Round 065/100] Phase=standard | Stage=warmup | Acc=62.230 | RoundTime=156.80s | TotalTime=10026.37s | Method=fedcda
[Round 066/100] Phase=standard | Stage=warmup | Acc=65.920 | RoundTime=158.22s | TotalTime=10184.60s | Method=fedcda
[Round 067/100] Phase=standard | Stage=warmup | Acc=65.750 | RoundTime=156.70s | TotalTime=10341.30s | Method=fedcda
[Round 068/100] Phase=standard | Stage=warmup | Acc=65.240 | RoundTime=156.55s | TotalTime=10497.87s | Method=fedcda
[Round 069/100] Phase=standard | Stage=warmup | Acc=61.450 | RoundTime=157.73s | TotalTime=10655.60s | Method=fedcda
[Round 070/100] Phase=standard | Stage=warmup | Acc=61.630 | RoundTime=157.03s | TotalTime=10812.64s | Method=fedcda
[Round 071/100] Phase=standard | Stage=warmup | Acc=61.960 | RoundTime=157.09s | TotalTime=10969.74s | Method=fedcda
