====================================================================================================
Training started at: 2026-03-15 00:22:27
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-002227.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-002227.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=70.078 | RoundTime=49.73s | TotalTime=49.73s | Method=feddenoise
[Round 002/100] Acc=55.550 | Pure=70.065 | RoundTime=49.26s | TotalTime=98.99s | Method=feddenoise
[Round 003/100] Acc=69.600 | Pure=69.977 | RoundTime=48.70s | TotalTime=147.69s | Method=feddenoise
[Round 004/100] Acc=75.660 | Pure=69.917 | RoundTime=49.07s | TotalTime=196.76s | Method=feddenoise
[Round 005/100] Acc=89.900 | Pure=70.062 | RoundTime=48.60s | TotalTime=245.36s | Method=feddenoise
[Round 006/100] Acc=82.760 | Pure=69.997 | RoundTime=48.17s | TotalTime=293.53s | Method=feddenoise
[Round 007/100] Acc=85.800 | Pure=69.948 | RoundTime=48.44s | TotalTime=341.97s | Method=feddenoise
[Round 008/100] Acc=80.060 | Pure=70.010 | RoundTime=49.28s | TotalTime=391.25s | Method=feddenoise
[Round 009/100] Acc=76.200 | Pure=70.049 | RoundTime=49.96s | TotalTime=441.21s | Method=feddenoise
[Round 010/100] Acc=68.230 | Pure=69.990 | RoundTime=49.43s | TotalTime=490.64s | Method=feddenoise
[Round 011/100] Acc=83.350 | Pure=74.585 | RoundTime=62.52s | TotalTime=553.15s | Method=feddenoise
[Round 012/100] Acc=76.810 | Pure=76.654 | RoundTime=64.50s | TotalTime=617.65s | Method=feddenoise
[Round 013/100] Acc=81.190 | Pure=74.198 | RoundTime=65.74s | TotalTime=683.39s | Method=feddenoise
[Round 014/100] Acc=80.430 | Pure=75.025 | RoundTime=63.50s | TotalTime=746.89s | Method=feddenoise
[Round 015/100] Acc=83.690 | Pure=75.292 | RoundTime=66.19s | TotalTime=813.08s | Method=feddenoise
[Round 016/100] Acc=78.910 | Pure=75.481 | RoundTime=61.85s | TotalTime=874.94s | Method=feddenoise
[Round 017/100] Acc=82.020 | Pure=74.802 | RoundTime=65.17s | TotalTime=940.11s | Method=feddenoise
[Round 018/100] Acc=81.940 | Pure=73.904 | RoundTime=62.21s | TotalTime=1002.33s | Method=feddenoise
[Round 019/100] Acc=81.350 | Pure=74.987 | RoundTime=63.55s | TotalTime=1065.88s | Method=feddenoise
[Round 020/100] Acc=83.850 | Pure=74.567 | RoundTime=63.06s | TotalTime=1128.94s | Method=feddenoise
[Round 021/100] Acc=85.830 | Pure=75.571 | RoundTime=66.25s | TotalTime=1195.19s | Method=feddenoise
[Round 022/100] Acc=79.420 | Pure=77.574 | RoundTime=63.80s | TotalTime=1258.99s | Method=feddenoise
[Round 023/100] Acc=77.710 | Pure=76.807 | RoundTime=63.21s | TotalTime=1322.21s | Method=feddenoise
[Round 024/100] Acc=83.540 | Pure=77.454 | RoundTime=65.02s | TotalTime=1387.23s | Method=feddenoise
[Round 025/100] Acc=76.480 | Pure=76.418 | RoundTime=60.76s | TotalTime=1447.99s | Method=feddenoise
[Round 026/100] Acc=81.600 | Pure=76.874 | RoundTime=62.89s | TotalTime=1510.88s | Method=feddenoise
[Round 027/100] Acc=79.330 | Pure=75.885 | RoundTime=62.71s | TotalTime=1573.59s | Method=feddenoise
[Round 028/100] Acc=77.300 | Pure=77.381 | RoundTime=65.17s | TotalTime=1638.76s | Method=feddenoise
[Round 029/100] Acc=79.110 | Pure=78.187 | RoundTime=62.37s | TotalTime=1701.13s | Method=feddenoise
[Round 030/100] Acc=83.950 | Pure=76.700 | RoundTime=64.40s | TotalTime=1765.53s | Method=feddenoise
[Round 031/100] Acc=89.780 | Pure=77.052 | RoundTime=62.48s | TotalTime=1828.01s | Method=feddenoise
[Round 032/100] Acc=83.460 | Pure=77.713 | RoundTime=64.89s | TotalTime=1892.90s | Method=feddenoise
[Round 033/100] Acc=85.100 | Pure=78.772 | RoundTime=64.49s | TotalTime=1957.40s | Method=feddenoise
[Round 034/100] Acc=80.820 | Pure=77.568 | RoundTime=63.10s | TotalTime=2020.50s | Method=feddenoise
[Round 035/100] Acc=82.840 | Pure=77.176 | RoundTime=63.38s | TotalTime=2083.88s | Method=feddenoise
[Round 036/100] Acc=82.630 | Pure=76.999 | RoundTime=62.03s | TotalTime=2145.91s | Method=feddenoise
[Round 037/100] Acc=82.900 | Pure=78.182 | RoundTime=62.98s | TotalTime=2208.89s | Method=feddenoise
[Round 038/100] Acc=82.580 | Pure=78.248 | RoundTime=65.73s | TotalTime=2274.62s | Method=feddenoise
[Round 039/100] Acc=86.850 | Pure=76.966 | RoundTime=63.72s | TotalTime=2338.34s | Method=feddenoise
[Round 040/100] Acc=88.250 | Pure=78.189 | RoundTime=62.54s | TotalTime=2400.88s | Method=feddenoise
[Round 041/100] Acc=89.680 | Pure=78.621 | RoundTime=66.34s | TotalTime=2467.22s | Method=feddenoise
[Round 042/100] Acc=89.290 | Pure=79.499 | RoundTime=64.69s | TotalTime=2531.92s | Method=feddenoise
[Round 043/100] Acc=89.900 | Pure=79.804 | RoundTime=61.98s | TotalTime=2593.89s | Method=feddenoise
[Round 044/100] Acc=87.890 | Pure=79.964 | RoundTime=64.03s | TotalTime=2657.92s | Method=feddenoise
[Round 045/100] Acc=89.850 | Pure=79.325 | RoundTime=64.24s | TotalTime=2722.15s | Method=feddenoise
