====================================================================================================
Training started at: 2026-03-15 05:39:22
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-053922.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-053922.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.740 | Pure=69.943 | RoundTime=47.18s | TotalTime=47.18s | Method=feddenoise
[Round 002/100] Acc=11.350 | Pure=70.023 | RoundTime=47.33s | TotalTime=94.52s | Method=feddenoise
[Round 003/100] Acc=40.280 | Pure=70.047 | RoundTime=47.46s | TotalTime=141.98s | Method=feddenoise
[Round 004/100] Acc=38.690 | Pure=69.922 | RoundTime=48.45s | TotalTime=190.43s | Method=feddenoise
[Round 005/100] Acc=52.510 | Pure=69.997 | RoundTime=47.59s | TotalTime=238.02s | Method=feddenoise
[Round 006/100] Acc=72.780 | Pure=69.956 | RoundTime=47.80s | TotalTime=285.81s | Method=feddenoise
[Round 007/100] Acc=66.090 | Pure=69.964 | RoundTime=48.18s | TotalTime=333.99s | Method=feddenoise
[Round 008/100] Acc=63.360 | Pure=70.086 | RoundTime=48.95s | TotalTime=382.94s | Method=feddenoise
[Round 009/100] Acc=73.790 | Pure=69.953 | RoundTime=50.66s | TotalTime=433.61s | Method=feddenoise
[Round 010/100] Acc=59.020 | Pure=70.034 | RoundTime=49.48s | TotalTime=483.08s | Method=feddenoise
[Round 011/100] Acc=68.770 | Pure=74.729 | RoundTime=62.08s | TotalTime=545.16s | Method=feddenoise
[Round 012/100] Acc=65.870 | Pure=74.029 | RoundTime=64.67s | TotalTime=609.84s | Method=feddenoise
[Round 013/100] Acc=83.710 | Pure=75.184 | RoundTime=64.42s | TotalTime=674.25s | Method=feddenoise
[Round 014/100] Acc=87.180 | Pure=73.098 | RoundTime=63.83s | TotalTime=738.08s | Method=feddenoise
[Round 015/100] Acc=75.580 | Pure=72.372 | RoundTime=61.54s | TotalTime=799.62s | Method=feddenoise
[Round 016/100] Acc=75.840 | Pure=73.826 | RoundTime=62.73s | TotalTime=862.35s | Method=feddenoise
[Round 017/100] Acc=75.670 | Pure=74.654 | RoundTime=62.36s | TotalTime=924.71s | Method=feddenoise
[Round 018/100] Acc=80.700 | Pure=73.790 | RoundTime=62.80s | TotalTime=987.52s | Method=feddenoise
[Round 019/100] Acc=80.520 | Pure=73.725 | RoundTime=63.92s | TotalTime=1051.44s | Method=feddenoise
[Round 020/100] Acc=75.680 | Pure=72.429 | RoundTime=64.93s | TotalTime=1116.37s | Method=feddenoise
[Round 021/100] Acc=73.440 | Pure=77.814 | RoundTime=61.14s | TotalTime=1177.50s | Method=feddenoise
[Round 022/100] Acc=80.830 | Pure=76.515 | RoundTime=61.61s | TotalTime=1239.12s | Method=feddenoise
[Round 023/100] Acc=77.670 | Pure=77.203 | RoundTime=64.92s | TotalTime=1304.04s | Method=feddenoise
[Round 024/100] Acc=77.060 | Pure=74.931 | RoundTime=63.93s | TotalTime=1367.97s | Method=feddenoise
[Round 025/100] Acc=84.400 | Pure=76.489 | RoundTime=62.81s | TotalTime=1430.77s | Method=feddenoise
[Round 026/100] Acc=80.900 | Pure=75.865 | RoundTime=63.11s | TotalTime=1493.88s | Method=feddenoise
[Round 027/100] Acc=76.620 | Pure=76.680 | RoundTime=64.48s | TotalTime=1558.36s | Method=feddenoise
[Round 028/100] Acc=86.190 | Pure=77.075 | RoundTime=61.87s | TotalTime=1620.23s | Method=feddenoise
[Round 029/100] Acc=86.250 | Pure=77.018 | RoundTime=63.56s | TotalTime=1683.79s | Method=feddenoise
[Round 030/100] Acc=72.510 | Pure=77.152 | RoundTime=63.55s | TotalTime=1747.34s | Method=feddenoise
[Round 031/100] Acc=79.170 | Pure=74.974 | RoundTime=61.93s | TotalTime=1809.27s | Method=feddenoise
[Round 032/100] Acc=84.480 | Pure=75.214 | RoundTime=62.31s | TotalTime=1871.57s | Method=feddenoise
[Round 033/100] Acc=82.000 | Pure=75.753 | RoundTime=64.00s | TotalTime=1935.57s | Method=feddenoise
[Round 034/100] Acc=86.260 | Pure=74.803 | RoundTime=63.99s | TotalTime=1999.57s | Method=feddenoise
[Round 035/100] Acc=81.390 | Pure=75.030 | RoundTime=63.77s | TotalTime=2063.34s | Method=feddenoise
[Round 036/100] Acc=82.520 | Pure=76.361 | RoundTime=63.62s | TotalTime=2126.95s | Method=feddenoise
[Round 037/100] Acc=86.510 | Pure=75.226 | RoundTime=64.29s | TotalTime=2191.24s | Method=feddenoise
[Round 038/100] Acc=85.620 | Pure=72.789 | RoundTime=61.67s | TotalTime=2252.92s | Method=feddenoise
[Round 039/100] Acc=82.560 | Pure=74.668 | RoundTime=62.64s | TotalTime=2315.56s | Method=feddenoise
[Round 040/100] Acc=81.360 | Pure=74.555 | RoundTime=62.61s | TotalTime=2378.17s | Method=feddenoise
[Round 041/100] Acc=88.330 | Pure=78.226 | RoundTime=63.65s | TotalTime=2441.82s | Method=feddenoise
[Round 042/100] Acc=80.350 | Pure=77.404 | RoundTime=63.62s | TotalTime=2505.44s | Method=feddenoise
[Round 043/100] Acc=84.730 | Pure=77.449 | RoundTime=61.79s | TotalTime=2567.23s | Method=feddenoise
[Round 044/100] Acc=84.670 | Pure=77.078 | RoundTime=63.25s | TotalTime=2630.48s | Method=feddenoise
[Round 045/100] Acc=83.980 | Pure=77.850 | RoundTime=62.01s | TotalTime=2692.49s | Method=feddenoise
