====================================================================================================
Training started at: 2026-03-15 10:42:21
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-104221.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-104221.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.4
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.320 | Pure=69.997 | RoundTime=49.39s | TotalTime=49.39s | Method=feddenoise
[Round 002/100] Acc=17.320 | Pure=69.979 | RoundTime=48.46s | TotalTime=97.85s | Method=feddenoise
[Round 003/100] Acc=36.160 | Pure=70.000 | RoundTime=48.03s | TotalTime=145.88s | Method=feddenoise
[Round 004/100] Acc=48.120 | Pure=70.073 | RoundTime=48.66s | TotalTime=194.54s | Method=feddenoise
[Round 005/100] Acc=55.480 | Pure=70.052 | RoundTime=48.41s | TotalTime=242.95s | Method=feddenoise
[Round 006/100] Acc=68.990 | Pure=69.966 | RoundTime=48.06s | TotalTime=291.01s | Method=feddenoise
[Round 007/100] Acc=56.060 | Pure=70.026 | RoundTime=48.10s | TotalTime=339.11s | Method=feddenoise
[Round 008/100] Acc=59.790 | Pure=69.945 | RoundTime=48.72s | TotalTime=387.83s | Method=feddenoise
[Round 009/100] Acc=68.150 | Pure=70.010 | RoundTime=48.96s | TotalTime=436.79s | Method=feddenoise
[Round 010/100] Acc=74.840 | Pure=70.029 | RoundTime=48.84s | TotalTime=485.64s | Method=feddenoise
[Round 011/100] Acc=59.460 | Pure=70.760 | RoundTime=61.51s | TotalTime=547.15s | Method=feddenoise
[Round 012/100] Acc=71.630 | Pure=71.022 | RoundTime=64.95s | TotalTime=612.10s | Method=feddenoise
[Round 013/100] Acc=71.540 | Pure=70.962 | RoundTime=65.13s | TotalTime=677.24s | Method=feddenoise
