epoch	acc	pure	round_time_sec	total_time_sec
0	17.67	70.016	35.1734	35.1735
1	20.92	70.018	34.5101	69.6837
2	68.65	70.138	33.9092	103.5931
3	68.5	69.927	34.0094	137.6027
4	84.14	69.935	34.7577	172.3606
5	89.42	69.919	39.2536	211.6145
6	79.33	69.917	35.1283	246.7429
7	83.33	69.872	34.4616	281.2047
8	85.98	70.034	33.9111	315.1159
9	79.38	69.919	34.2300	349.3460
10	84.71	80.736	41.7082	391.0544
11	91.29	80.656	42.4015	433.4561
12	88.54	81.098	40.2363	473.6926
13	89.08	80.48	32.2450	505.9378
14	88.45	80.778	32.1026	538.0406
15	89.0	80.721	32.7545	570.7952
16	90.06	80.816	32.7737	603.5691
17	85.24	80.435	32.4282	635.9975
18	90.2	80.726	32.2588	668.2565
19	88.01	80.84	33.1261	701.3829
20	83.83	81.296	33.0773	734.4605
21	88.66	80.956	33.1741	767.6349
22	88.73	81.13	32.6193	800.2543
23	90.02	81.075	30.8644	831.1189
24	88.49	80.94	30.5482	861.6672
25	91.37	81.181	29.3247	890.9920
26	87.65	81.039	30.2834	921.2756
27	88.9	81.074	30.6088	951.8846
28	88.11	81.062	30.4094	982.2941
29	90.31	81.296	30.0271	1012.3214
30	89.48	81.14	31.0434	1043.3649
31	87.25	81.114	31.2621	1074.6273
32	92.77	81.228	31.6701	1106.2976
33	90.07	80.989	29.2451	1135.5428
34	88.63	81.001	31.0057	1166.5487
35	87.13	81.149	30.8252	1197.3741
36	86.76	81.008	31.6938	1229.0681
37	82.77	80.791	29.8338	1258.9020
38	88.32	80.95	32.1951	1291.0973
39	88.81	81.037	30.1460	1321.2437
40	91.31	80.919	31.4005	1352.6444
41	87.85	80.989	30.8017	1383.4463
42	88.78	81.079	30.5329	1413.9793
43	90.48	81.044	32.9980	1446.9775
44	88.33	81.073	30.9403	1477.9180
45	89.04	81.024	30.0955	1508.0136
46	86.61	80.824	30.1605	1538.1743
47	89.08	81.042	30.5950	1568.7695
48	89.48	80.892	31.6941	1600.4639
49	89.18	80.952	29.5519	1630.0160
50	91.82	81.122	30.4461	1660.4622
51	90.71	81.185	30.3682	1690.8306
52	89.26	80.801	29.8745	1720.7052
53	89.45	81.016	30.6911	1751.3965
54	89.24	80.862	30.6274	1782.0241
55	86.53	80.8	31.5168	1813.5410
56	87.12	80.766	30.9240	1844.4651
57	88.55	81.096	30.0619	1874.5272
58	92.87	81.082	30.5627	1905.0901
59	91.57	80.803	30.3737	1935.4640
60	93.72	81.004	31.5702	1967.0343
61	90.81	81.128	31.5069	1998.5414
62	87.97	80.712	30.7847	2029.3262
63	89.14	81.114	30.8045	2060.1309
64	90.11	80.941	30.7237	2090.8548
65	90.61	81.085	30.1332	2120.9881
66	92.54	80.827	30.0465	2151.0348
67	92.66	81.048	30.4515	2181.4864
68	89.34	81.055	30.8110	2212.2976
69	87.5	81.116	30.4964	2242.7942
70	89.67	80.597	30.7408	2273.5351
71	89.68	80.253	31.2680	2304.8033
72	87.7	80.661	31.5292	2336.3327
73	93.02	80.617	30.7295	2367.0623
74	90.71	79.78	30.1707	2397.2331
75	86.0	80.727	30.8712	2428.1046
76	89.32	80.4	30.0558	2458.1605
77	90.21	80.721	30.1212	2488.2819
78	90.35	80.771	30.0956	2518.3776
79	91.73	80.598	29.8455	2548.2233
80	89.04	81.08	30.7877	2579.0111
81	86.86	80.888	30.2715	2609.2828
82	90.3	80.828	30.3695	2639.6524
83	92.05	81.03	30.4913	2670.1439
84	87.7	80.906	30.9275	2701.0716
85	90.11	80.687	30.0108	2731.0825
86	89.83	80.949	30.5324	2761.6150
87	87.98	80.917	30.0288	2791.6440
88	91.47	80.956	30.2662	2821.9105
89	90.37	80.987	31.4945	2853.4051
90	90.7	80.784	30.7436	2884.1489
91	90.03	80.454	30.1907	2914.3397
92	91.2	80.683	30.1719	2944.5118
93	92.23	80.77	30.9056	2975.4175
94	89.71	80.795	30.5620	3005.9797
95	90.17	80.876	29.9714	3035.9513
96	87.86	80.738	29.1149	3065.0664
97	89.79	80.737	30.5980	3095.6646
98	88.15	80.645	30.4363	3126.1011
99	89.98	80.645	30.2923	3156.3935
