epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	69.977	20.3088	20.3090
1	20.65	69.987	19.5001	39.8092
2	13.36	70.031	19.8594	59.6688
3	75.01	70.0	20.0091	79.6780
4	82.44	69.987	23.4969	103.1751
5	84.34	70.07	28.1612	131.3365
6	78.8	69.984	20.7800	152.1166
7	83.91	70.008	21.0798	173.1965
8	73.04	70.055	20.6823	193.8790
9	75.09	69.995	20.3750	214.2542
10	81.9	77.012	27.2801	241.5345
11	83.8	77.012	28.4998	270.0345
12	82.23	76.697	27.8508	297.8854
13	81.54	78.852	27.0374	324.9231
14	73.44	76.717	28.4375	353.3608
15	69.61	77.69	28.0940	381.4549
16	79.51	78.868	29.0247	410.4798
17	85.97	76.316	28.4946	438.9746
18	86.3	76.693	30.5656	469.5403
19	83.94	77.376	28.3049	497.8455
20	83.42	79.216	28.9147	526.7605
21	86.8	77.637	27.7329	554.4936
22	80.58	79.219	29.0867	583.5805
23	90.69	78.46	28.6495	612.2301
24	84.04	77.98	30.2620	642.4922
25	83.64	78.863	28.9173	671.4097
26	86.32	77.808	28.8701	700.2800
27	87.58	78.416	28.0235	728.3036
28	87.14	77.619	28.3412	756.6449
29	87.93	79.277	29.1930	785.8381
30	91.78	79.307	29.0243	814.8626
31	88.0	79.383	30.3202	845.1829
32	89.81	78.515	30.4521	875.6351
33	85.69	78.964	28.4066	904.0418
34	86.09	80.496	29.3941	933.4361
35	89.95	79.849	29.3830	962.8192
36	88.07	80.677	28.8492	991.6686
37	90.44	79.98	28.2047	1019.8735
38	88.54	79.466	28.5706	1048.4443
39	87.79	79.959	29.7056	1078.1500
40	83.85	78.204	29.3261	1107.4763
41	86.2	77.696	26.8309	1134.3075
42	84.93	77.801	28.8350	1163.1426
43	88.91	78.503	28.3780	1191.5208
44	81.35	77.16	29.4347	1220.9556
45	89.98	75.871	29.5080	1250.4638
46	82.34	77.869	28.8354	1279.2993
47	85.55	78.746	28.7201	1308.0196
48	89.54	76.321	29.1314	1337.1512
49	85.88	78.171	28.7043	1365.8557
50	90.3	76.396	28.0199	1393.8758
51	88.92	75.951	28.4757	1422.3517
52	83.16	75.019	29.2407	1451.5925
53	83.8	74.873	29.2331	1480.8258
54	88.86	76.534	28.5170	1509.3429
55	88.08	77.68	30.7786	1540.1217
56	88.24	75.969	29.9170	1570.0389
57	88.17	75.729	29.3366	1599.3758
58	83.9	77.398	28.2379	1627.6139
59	88.43	75.535	28.1601	1655.7742
60	89.98	78.589	29.2988	1685.0731
61	88.99	76.927	29.2260	1714.2993
62	87.0	77.896	29.5245	1743.8240
63	89.58	77.744	28.0793	1771.9036
64	86.41	78.53	28.0641	1799.9678
65	86.36	76.952	30.4508	1830.4188
66	88.91	78.499	26.7010	1857.1200
67	90.54	77.827	28.9461	1886.0662
68	87.71	77.735	29.0608	1915.1272
69	88.95	78.425	29.1500	1944.2774
70	87.83	79.846	28.2036	1972.4812
71	88.56	79.816	27.4943	1999.9757
72	87.64	80.176	30.0876	2030.0634
73	88.8	79.627	27.9884	2058.0520
74	89.64	79.67	29.0620	2087.1142
75	89.31	79.998	30.0644	2117.1788
76	90.09	80.6	29.1331	2146.3120
77	91.1	80.519	29.3847	2175.6969
78	91.03	80.349	27.8790	2203.5760
79	86.73	80.151	28.3477	2231.9239
80	89.99	78.922	28.6448	2260.5688
81	89.11	79.608	29.5712	2290.1402
82	90.59	79.674	28.7557	2318.8961
83	87.16	79.905	28.7975	2347.6937
84	87.08	78.615	28.9831	2376.6770
85	88.31	79.651	28.7134	2405.3906
86	91.27	80.552	28.6753	2434.0660
87	90.44	78.798	29.7099	2463.7761
88	91.03	79.124	29.1105	2492.8867
89	88.94	80.398	29.2636	2522.1504
90	90.17	79.587	29.5359	2551.6866
91	90.41	79.328	28.8559	2580.5427
92	89.35	77.729	29.8147	2610.3576
93	91.61	78.797	29.0570	2639.4147
94	91.36	78.333	27.8215	2667.2364
95	90.02	79.506	29.0508	2696.2873
96	89.66	78.746	29.8437	2726.1312
97	90.08	78.964	28.6243	2754.7557
98	88.95	78.191	28.8280	2783.5838
99	90.01	78.429	27.8577	2811.4417
