====================================================================================================
Training started at: 2026-03-15 06:20:45
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-062045.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-062045.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=69.930 | RoundTime=48.59s | TotalTime=48.59s | Method=feddenoise
[Round 002/100] Acc=39.140 | Pure=70.091 | RoundTime=48.45s | TotalTime=97.04s | Method=feddenoise
[Round 003/100] Acc=72.100 | Pure=70.029 | RoundTime=48.23s | TotalTime=145.27s | Method=feddenoise
[Round 004/100] Acc=80.820 | Pure=70.081 | RoundTime=49.11s | TotalTime=194.39s | Method=feddenoise
[Round 005/100] Acc=84.700 | Pure=70.018 | RoundTime=48.30s | TotalTime=242.69s | Method=feddenoise
[Round 006/100] Acc=89.060 | Pure=69.990 | RoundTime=48.52s | TotalTime=291.20s | Method=feddenoise
[Round 007/100] Acc=88.700 | Pure=70.073 | RoundTime=46.97s | TotalTime=338.17s | Method=feddenoise
[Round 008/100] Acc=92.640 | Pure=69.932 | RoundTime=48.68s | TotalTime=386.85s | Method=feddenoise
[Round 009/100] Acc=86.890 | Pure=70.031 | RoundTime=47.51s | TotalTime=434.35s | Method=feddenoise
[Round 010/100] Acc=85.890 | Pure=70.000 | RoundTime=48.59s | TotalTime=482.95s | Method=feddenoise
[Round 011/100] Acc=94.020 | Pure=78.185 | RoundTime=54.25s | TotalTime=537.20s | Method=feddenoise
[Round 012/100] Acc=92.540 | Pure=78.201 | RoundTime=55.39s | TotalTime=592.59s | Method=feddenoise
[Round 013/100] Acc=84.870 | Pure=78.532 | RoundTime=56.93s | TotalTime=649.52s | Method=feddenoise
[Round 014/100] Acc=86.520 | Pure=79.084 | RoundTime=55.04s | TotalTime=704.57s | Method=feddenoise
[Round 015/100] Acc=81.910 | Pure=80.197 | RoundTime=55.66s | TotalTime=760.22s | Method=feddenoise
[Round 016/100] Acc=87.460 | Pure=78.666 | RoundTime=56.03s | TotalTime=816.25s | Method=feddenoise
[Round 017/100] Acc=87.660 | Pure=79.394 | RoundTime=56.52s | TotalTime=872.77s | Method=feddenoise
[Round 018/100] Acc=87.670 | Pure=79.024 | RoundTime=56.28s | TotalTime=929.05s | Method=feddenoise
[Round 019/100] Acc=91.430 | Pure=78.259 | RoundTime=55.73s | TotalTime=984.78s | Method=feddenoise
[Round 020/100] Acc=92.590 | Pure=78.175 | RoundTime=56.07s | TotalTime=1040.85s | Method=feddenoise
