epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	70.029	51.2197	51.2198
1	43.27	69.979	51.4150	102.6351
2	77.77	70.089	48.6237	151.2591
3	82.08	70.01	50.5959	201.8554
4	88.93	70.042	50.0073	251.8630
5	73.89	70.023	50.5834	302.4467
6	82.08	69.966	50.9740	353.4210
7	78.39	70.086	51.5237	404.9450
8	82.17	69.966	51.9044	456.8497
9	81.28	70.021	52.4479	509.2979
10	94.6	73.782	63.1817	572.4799
11	85.21	77.65	65.3929	637.8731
12	87.95	80.514	66.9778	704.8512
13	86.86	79.881	67.0982	771.9499
14	87.84	75.109	67.6341	839.5844
15	89.43	75.164	65.7294	905.3141
16	92.47	75.012	65.6114	970.9259
17	85.04	76.933	64.8500	1035.7763
18	86.32	80.446	66.6204	1102.3972
19	88.3	79.043	66.0948	1168.4922
20	91.46	83.107	65.0963	1233.5889
21	89.94	87.541	66.7108	1300.2999
22	91.98	83.975	66.7758	1367.0761
23	92.98	83.001	65.3276	1432.4040
24	92.39	83.899	65.2850	1497.6894
25	91.97	86.082	65.1114	1562.8011
26	88.01	84.098	63.0484	1625.8497
27	92.47	81.72	64.5285	1690.3784
28	94.12	81.434	64.7502	1755.1290
29	89.84	84.821	65.3132	1820.4425
30	90.74	87.605	64.3780	1884.8208
31	94.89	82.755	64.2000	1949.0212
32	94.75	85.454	64.2123	2013.2338
33	94.21	86.114	63.6889	2076.9229
34	93.84	78.746	65.7307	2142.6540
35	92.81	83.839	65.3826	2208.0370
36	93.53	84.538	65.9360	2273.9733
37	94.18	83.825	64.8365	2338.8102
38	93.43	83.672	63.7323	2402.5428
39	92.96	87.511	64.2274	2466.7704
40	96.27	90.748	65.0424	2531.8131
41	95.41	93.623	65.3731	2597.1866
42	93.4	93.417	64.0791	2661.2660
43	94.05	92.564	64.7394	2726.0057
44	95.52	93.132	64.6477	2790.6538
45	95.74	92.08	64.7773	2855.4314
46	93.09	92.74	64.2813	2919.7130
47	94.83	93.726	65.8571	2985.5704
48	96.07	90.6	65.6075	3051.1783
49	95.36	93.65	66.4961	3117.6746
50	95.11	92.787	65.7424	3183.4174
51	96.31	92.254	64.7865	3248.2042
52	96.26	91.502	64.8062	3313.0106
53	96.46	92.385	66.0143	3379.0254
54	96.02	92.503	64.4293	3443.4550
55	96.92	92.163	65.0542	3508.5095
56	95.62	92.301	66.5984	3575.1081
57	96.37	92.938	65.5899	3640.6983
58	97.17	90.458	64.7564	3705.4550
59	96.85	91.94	65.2545	3770.7099
60	97.17	94.142	64.2659	3834.9761
61	97.12	93.726	65.2313	3900.2077
62	96.67	94.812	64.2458	3964.4538
63	96.65	95.006	64.7012	4029.1553
64	96.87	94.693	66.8479	4096.0035
65	97.15	94.57	65.7148	4161.7187
66	96.97	94.414	64.6733	4226.3922
67	97.08	94.163	66.0714	4292.4640
68	96.37	94.1	64.9490	4357.4135
69	97.11	93.76	64.5951	4422.0090
70	96.58	95.147	65.4557	4487.4651
71	97.66	95.33	64.9473	4552.4128
72	96.36	95.668	65.5743	4617.9875
73	96.99	95.23	64.6074	4682.5953
74	95.73	95.221	64.8039	4747.3994
75	96.31	95.6	64.0583	4811.4580
76	96.42	95.37	63.9333	4875.3917
77	96.63	95.712	65.6824	4941.0743
78	96.7	95.489	65.9515	5007.0261
79	96.64	95.261	65.7289	5072.7554
80	96.84	94.106	64.7846	5137.5404
81	96.73	95.43	65.1251	5202.6658
82	97.0	94.093	65.0379	5267.7039
83	96.71	94.645	63.5920	5331.2962
84	96.58	93.201	65.2929	5396.5894
85	96.9	94.828	64.9797	5461.5694
86	96.9	94.887	65.4063	5526.9760
87	96.48	94.576	64.5350	5591.5113
88	97.17	93.492	64.4110	5655.9226
89	96.8	94.678	63.9650	5719.8879
90	96.51	92.562	64.3313	5784.2195
91	97.04	91.301	63.6849	5847.9047
92	96.79	92.43	64.8369	5912.7419
93	95.99	91.943	65.1815	5977.9238
94	95.37	92.871	65.1996	6043.1237
95	94.62	92.867	65.0680	6108.1920
96	95.82	92.174	63.9658	6172.1581
97	95.33	91.597	64.7308	6236.8891
98	96.73	91.818	65.3534	6302.2428
99	96.61	91.653	65.3536	6367.5967
