====================================================================================================
Training started at: 2026-03-22 10:14:23
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.15
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.15/feddenoise_fl_mnist_20260322-101423-737546_pid3833620.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.15/feddenoise_fl_mnist_20260322-101423-737546_pid3833620.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.280 | Pure=70.062 | RoundTime=20.31s | TotalTime=20.31s | Method=feddenoise
[Round 002/100] Acc=30.870 | Pure=69.966 | RoundTime=19.55s | TotalTime=39.87s | Method=feddenoise
[Round 003/100] Acc=86.490 | Pure=70.068 | RoundTime=19.82s | TotalTime=59.69s | Method=feddenoise
[Round 004/100] Acc=94.090 | Pure=69.992 | RoundTime=20.07s | TotalTime=79.76s | Method=feddenoise
[Round 005/100] Acc=94.140 | Pure=70.003 | RoundTime=23.82s | TotalTime=103.58s | Method=feddenoise
[Round 006/100] Acc=94.060 | Pure=69.958 | RoundTime=29.38s | TotalTime=132.96s | Method=feddenoise
[Round 007/100] Acc=94.680 | Pure=70.109 | RoundTime=20.52s | TotalTime=153.49s | Method=feddenoise
[Round 008/100] Acc=87.870 | Pure=70.128 | RoundTime=21.01s | TotalTime=174.50s | Method=feddenoise
[Round 009/100] Acc=90.490 | Pure=69.992 | RoundTime=20.76s | TotalTime=195.26s | Method=feddenoise
[Round 010/100] Acc=86.180 | Pure=70.000 | RoundTime=20.38s | TotalTime=215.64s | Method=feddenoise
[Round 011/100] Acc=94.330 | Pure=78.657 | RoundTime=27.28s | TotalTime=242.92s | Method=feddenoise
[Round 012/100] Acc=95.080 | Pure=77.995 | RoundTime=28.44s | TotalTime=271.36s | Method=feddenoise
[Round 013/100] Acc=92.250 | Pure=79.136 | RoundTime=27.90s | TotalTime=299.26s | Method=feddenoise
[Round 014/100] Acc=95.970 | Pure=78.474 | RoundTime=27.22s | TotalTime=326.48s | Method=feddenoise
[Round 015/100] Acc=90.360 | Pure=78.689 | RoundTime=28.59s | TotalTime=355.07s | Method=feddenoise
[Round 016/100] Acc=95.060 | Pure=78.796 | RoundTime=28.04s | TotalTime=383.11s | Method=feddenoise
[Round 017/100] Acc=94.350 | Pure=79.110 | RoundTime=29.08s | TotalTime=412.19s | Method=feddenoise
[Round 018/100] Acc=94.040 | Pure=79.490 | RoundTime=28.49s | TotalTime=440.68s | Method=feddenoise
[Round 019/100] Acc=95.240 | Pure=78.604 | RoundTime=30.64s | TotalTime=471.32s | Method=feddenoise
[Round 020/100] Acc=94.660 | Pure=77.445 | RoundTime=28.35s | TotalTime=499.67s | Method=feddenoise
[Round 021/100] Acc=92.920 | Pure=79.553 | RoundTime=28.99s | TotalTime=528.66s | Method=feddenoise
[Round 022/100] Acc=95.460 | Pure=79.813 | RoundTime=27.87s | TotalTime=556.53s | Method=feddenoise
[Round 023/100] Acc=95.670 | Pure=80.291 | RoundTime=28.91s | TotalTime=585.43s | Method=feddenoise
[Round 024/100] Acc=94.510 | Pure=80.061 | RoundTime=28.82s | TotalTime=614.26s | Method=feddenoise
[Round 025/100] Acc=95.220 | Pure=80.131 | RoundTime=30.24s | TotalTime=644.49s | Method=feddenoise
[Round 026/100] Acc=92.400 | Pure=80.082 | RoundTime=28.93s | TotalTime=673.42s | Method=feddenoise
[Round 027/100] Acc=95.000 | Pure=80.012 | RoundTime=28.64s | TotalTime=702.06s | Method=feddenoise
[Round 028/100] Acc=94.300 | Pure=79.707 | RoundTime=28.26s | TotalTime=730.33s | Method=feddenoise
[Round 029/100] Acc=92.890 | Pure=79.555 | RoundTime=28.43s | TotalTime=758.75s | Method=feddenoise
[Round 030/100] Acc=95.710 | Pure=80.017 | RoundTime=29.25s | TotalTime=788.00s | Method=feddenoise
[Round 031/100] Acc=94.020 | Pure=81.255 | RoundTime=29.15s | TotalTime=817.15s | Method=feddenoise
[Round 032/100] Acc=96.240 | Pure=80.631 | RoundTime=30.41s | TotalTime=847.56s | Method=feddenoise
[Round 033/100] Acc=94.450 | Pure=80.860 | RoundTime=30.42s | TotalTime=877.97s | Method=feddenoise
[Round 034/100] Acc=93.710 | Pure=80.967 | RoundTime=28.43s | TotalTime=906.40s | Method=feddenoise
[Round 035/100] Acc=94.900 | Pure=80.991 | RoundTime=29.61s | TotalTime=936.01s | Method=feddenoise
[Round 036/100] Acc=95.460 | Pure=81.105 | RoundTime=29.53s | TotalTime=965.54s | Method=feddenoise
