====================================================================================================
Training started at: 2026-03-15 01:40:46
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-014046.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-014046.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=70.000 | RoundTime=48.43s | TotalTime=48.43s | Method=feddenoise
[Round 002/100] Acc=63.030 | Pure=69.945 | RoundTime=49.39s | TotalTime=97.82s | Method=feddenoise
[Round 003/100] Acc=88.200 | Pure=70.026 | RoundTime=48.10s | TotalTime=145.92s | Method=feddenoise
[Round 004/100] Acc=93.320 | Pure=69.995 | RoundTime=47.26s | TotalTime=193.19s | Method=feddenoise
[Round 005/100] Acc=95.780 | Pure=70.031 | RoundTime=47.88s | TotalTime=241.07s | Method=feddenoise
[Round 006/100] Acc=95.910 | Pure=69.904 | RoundTime=46.83s | TotalTime=287.90s | Method=feddenoise
[Round 007/100] Acc=96.470 | Pure=69.940 | RoundTime=46.15s | TotalTime=334.05s | Method=feddenoise
[Round 008/100] Acc=93.160 | Pure=70.049 | RoundTime=46.67s | TotalTime=380.72s | Method=feddenoise
[Round 009/100] Acc=95.300 | Pure=69.982 | RoundTime=46.84s | TotalTime=427.56s | Method=feddenoise
[Round 010/100] Acc=89.840 | Pure=70.018 | RoundTime=45.86s | TotalTime=473.43s | Method=feddenoise
[Round 011/100] Acc=94.940 | Pure=81.219 | RoundTime=51.55s | TotalTime=524.97s | Method=feddenoise
[Round 012/100] Acc=96.120 | Pure=81.231 | RoundTime=55.04s | TotalTime=580.01s | Method=feddenoise
[Round 013/100] Acc=95.800 | Pure=81.174 | RoundTime=55.24s | TotalTime=635.25s | Method=feddenoise
[Round 014/100] Acc=96.460 | Pure=81.413 | RoundTime=54.01s | TotalTime=689.26s | Method=feddenoise
[Round 015/100] Acc=94.640 | Pure=81.337 | RoundTime=53.80s | TotalTime=743.06s | Method=feddenoise
[Round 016/100] Acc=96.380 | Pure=81.108 | RoundTime=53.63s | TotalTime=796.69s | Method=feddenoise
[Round 017/100] Acc=94.850 | Pure=81.246 | RoundTime=54.45s | TotalTime=851.14s | Method=feddenoise
[Round 018/100] Acc=95.610 | Pure=81.288 | RoundTime=55.36s | TotalTime=906.50s | Method=feddenoise
[Round 019/100] Acc=94.170 | Pure=81.090 | RoundTime=55.08s | TotalTime=961.58s | Method=feddenoise
[Round 020/100] Acc=95.890 | Pure=81.254 | RoundTime=54.40s | TotalTime=1015.98s | Method=feddenoise
[Round 021/100] Acc=95.810 | Pure=81.263 | RoundTime=55.37s | TotalTime=1071.35s | Method=feddenoise
[Round 022/100] Acc=96.380 | Pure=81.295 | RoundTime=53.63s | TotalTime=1124.98s | Method=feddenoise
[Round 023/100] Acc=96.470 | Pure=81.376 | RoundTime=56.09s | TotalTime=1181.07s | Method=feddenoise
[Round 024/100] Acc=96.150 | Pure=81.216 | RoundTime=56.45s | TotalTime=1237.52s | Method=feddenoise
[Round 025/100] Acc=95.440 | Pure=81.394 | RoundTime=55.73s | TotalTime=1293.25s | Method=feddenoise
