====================================================================================================
Training started at: 2026-03-15 08:23:56
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-082356.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-082356.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.4
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=70.128 | RoundTime=65.83s | TotalTime=65.83s | Method=feddenoise
[Round 002/100] Acc=73.950 | Pure=70.086 | RoundTime=64.07s | TotalTime=129.90s | Method=feddenoise
[Round 003/100] Acc=95.240 | Pure=70.016 | RoundTime=62.50s | TotalTime=192.40s | Method=feddenoise
[Round 004/100] Acc=95.020 | Pure=69.966 | RoundTime=62.42s | TotalTime=254.82s | Method=feddenoise
[Round 005/100] Acc=95.610 | Pure=69.982 | RoundTime=63.66s | TotalTime=318.48s | Method=feddenoise
[Round 006/100] Acc=93.050 | Pure=69.997 | RoundTime=63.55s | TotalTime=382.03s | Method=feddenoise
[Round 007/100] Acc=96.020 | Pure=70.060 | RoundTime=62.85s | TotalTime=444.88s | Method=feddenoise
[Round 008/100] Acc=93.850 | Pure=70.023 | RoundTime=60.82s | TotalTime=505.70s | Method=feddenoise
[Round 009/100] Acc=91.190 | Pure=70.104 | RoundTime=62.30s | TotalTime=567.99s | Method=feddenoise
[Round 010/100] Acc=95.380 | Pure=69.966 | RoundTime=62.79s | TotalTime=630.78s | Method=feddenoise
[Round 011/100] Acc=92.380 | Pure=95.503 | RoundTime=83.19s | TotalTime=713.97s | Method=feddenoise
[Round 012/100] Acc=97.180 | Pure=93.299 | RoundTime=85.19s | TotalTime=799.15s | Method=feddenoise
[Round 013/100] Acc=90.500 | Pure=92.370 | RoundTime=84.35s | TotalTime=883.50s | Method=feddenoise
[Round 014/100] Acc=96.830 | Pure=93.124 | RoundTime=84.28s | TotalTime=967.78s | Method=feddenoise
[Round 015/100] Acc=96.890 | Pure=93.652 | RoundTime=83.99s | TotalTime=1051.77s | Method=feddenoise
[Round 016/100] Acc=97.180 | Pure=93.954 | RoundTime=84.06s | TotalTime=1135.84s | Method=feddenoise
[Round 017/100] Acc=97.460 | Pure=93.822 | RoundTime=84.10s | TotalTime=1219.93s | Method=feddenoise
[Round 018/100] Acc=97.110 | Pure=94.564 | RoundTime=84.90s | TotalTime=1304.83s | Method=feddenoise
[Round 019/100] Acc=96.690 | Pure=94.972 | RoundTime=83.94s | TotalTime=1388.77s | Method=feddenoise
[Round 020/100] Acc=96.690 | Pure=94.783 | RoundTime=83.79s | TotalTime=1472.56s | Method=feddenoise
[Round 021/100] Acc=97.670 | Pure=98.993 | RoundTime=84.88s | TotalTime=1557.44s | Method=feddenoise
[Round 022/100] Acc=98.050 | Pure=98.750 | RoundTime=84.46s | TotalTime=1641.90s | Method=feddenoise
[Round 023/100] Acc=98.350 | Pure=97.587 | RoundTime=85.12s | TotalTime=1727.02s | Method=feddenoise
[Round 024/100] Acc=98.240 | Pure=99.203 | RoundTime=86.08s | TotalTime=1813.10s | Method=feddenoise
[Round 025/100] Acc=98.610 | Pure=97.985 | RoundTime=85.37s | TotalTime=1898.47s | Method=feddenoise
[Round 026/100] Acc=98.610 | Pure=98.707 | RoundTime=85.30s | TotalTime=1983.78s | Method=feddenoise
[Round 027/100] Acc=98.510 | Pure=98.192 | RoundTime=84.71s | TotalTime=2068.49s | Method=feddenoise
[Round 028/100] Acc=98.350 | Pure=99.161 | RoundTime=85.21s | TotalTime=2153.70s | Method=feddenoise
[Round 029/100] Acc=98.660 | Pure=98.802 | RoundTime=87.17s | TotalTime=2240.87s | Method=feddenoise
[Round 030/100] Acc=97.990 | Pure=99.535 | RoundTime=83.69s | TotalTime=2324.56s | Method=feddenoise
[Round 031/100] Acc=98.080 | Pure=93.918 | RoundTime=85.31s | TotalTime=2409.86s | Method=feddenoise
[Round 032/100] Acc=98.500 | Pure=94.249 | RoundTime=83.69s | TotalTime=2493.56s | Method=feddenoise
[Round 033/100] Acc=98.410 | Pure=92.785 | RoundTime=83.76s | TotalTime=2577.31s | Method=feddenoise
[Round 034/100] Acc=98.430 | Pure=93.705 | RoundTime=84.71s | TotalTime=2662.02s | Method=feddenoise
[Round 035/100] Acc=98.230 | Pure=94.153 | RoundTime=83.89s | TotalTime=2745.91s | Method=feddenoise
[Round 036/100] Acc=98.200 | Pure=94.495 | RoundTime=83.66s | TotalTime=2829.57s | Method=feddenoise
[Round 037/100] Acc=98.430 | Pure=94.067 | RoundTime=86.21s | TotalTime=2915.78s | Method=feddenoise
[Round 038/100] Acc=98.610 | Pure=93.758 | RoundTime=83.95s | TotalTime=2999.73s | Method=feddenoise
[Round 039/100] Acc=98.350 | Pure=96.158 | RoundTime=82.63s | TotalTime=3082.36s | Method=feddenoise
[Round 040/100] Acc=98.520 | Pure=94.868 | RoundTime=83.74s | TotalTime=3166.10s | Method=feddenoise
[Round 041/100] Acc=98.570 | Pure=99.512 | RoundTime=83.62s | TotalTime=3249.71s | Method=feddenoise
[Round 042/100] Acc=98.690 | Pure=99.475 | RoundTime=85.04s | TotalTime=3334.75s | Method=feddenoise
[Round 043/100] Acc=98.760 | Pure=99.618 | RoundTime=84.20s | TotalTime=3418.96s | Method=feddenoise
[Round 044/100] Acc=98.860 | Pure=99.515 | RoundTime=83.23s | TotalTime=3502.19s | Method=feddenoise
[Round 045/100] Acc=98.850 | Pure=99.621 | RoundTime=84.52s | TotalTime=3586.71s | Method=feddenoise
[Round 046/100] Acc=98.840 | Pure=99.633 | RoundTime=82.95s | TotalTime=3669.67s | Method=feddenoise
[Round 047/100] Acc=98.870 | Pure=99.569 | RoundTime=85.00s | TotalTime=3754.67s | Method=feddenoise
[Round 048/100] Acc=98.930 | Pure=99.623 | RoundTime=84.98s | TotalTime=3839.65s | Method=feddenoise
[Round 049/100] Acc=98.900 | Pure=99.517 | RoundTime=84.17s | TotalTime=3923.82s | Method=feddenoise
[Round 050/100] Acc=98.840 | Pure=99.509 | RoundTime=84.44s | TotalTime=4008.25s | Method=feddenoise
[Round 051/100] Acc=98.830 | Pure=99.641 | RoundTime=83.90s | TotalTime=4092.15s | Method=feddenoise
[Round 052/100] Acc=98.880 | Pure=99.628 | RoundTime=83.98s | TotalTime=4176.13s | Method=feddenoise
[Round 053/100] Acc=98.930 | Pure=99.646 | RoundTime=83.36s | TotalTime=4259.49s | Method=feddenoise
[Round 054/100] Acc=98.860 | Pure=99.527 | RoundTime=84.95s | TotalTime=4344.44s | Method=feddenoise
[Round 055/100] Acc=98.890 | Pure=99.679 | RoundTime=85.05s | TotalTime=4429.50s | Method=feddenoise
[Round 056/100] Acc=98.940 | Pure=99.621 | RoundTime=83.05s | TotalTime=4512.54s | Method=feddenoise
[Round 057/100] Acc=98.930 | Pure=99.642 | RoundTime=83.39s | TotalTime=4595.94s | Method=feddenoise
[Round 058/100] Acc=98.970 | Pure=99.638 | RoundTime=84.58s | TotalTime=4680.51s | Method=feddenoise
[Round 059/100] Acc=98.940 | Pure=99.605 | RoundTime=84.71s | TotalTime=4765.22s | Method=feddenoise
[Round 060/100] Acc=98.920 | Pure=99.595 | RoundTime=84.37s | TotalTime=4849.59s | Method=feddenoise
[Round 061/100] Acc=98.860 | Pure=99.620 | RoundTime=85.26s | TotalTime=4934.85s | Method=feddenoise
[Round 062/100] Acc=98.960 | Pure=99.578 | RoundTime=86.04s | TotalTime=5020.89s | Method=feddenoise
[Round 063/100] Acc=98.920 | Pure=99.632 | RoundTime=83.93s | TotalTime=5104.82s | Method=feddenoise
[Round 064/100] Acc=98.960 | Pure=99.593 | RoundTime=83.70s | TotalTime=5188.51s | Method=feddenoise
[Round 065/100] Acc=98.910 | Pure=99.549 | RoundTime=85.09s | TotalTime=5273.61s | Method=feddenoise
[Round 066/100] Acc=98.890 | Pure=99.661 | RoundTime=83.76s | TotalTime=5357.37s | Method=feddenoise
[Round 067/100] Acc=98.970 | Pure=99.662 | RoundTime=84.68s | TotalTime=5442.05s | Method=feddenoise
[Round 068/100] Acc=98.860 | Pure=99.633 | RoundTime=83.66s | TotalTime=5525.71s | Method=feddenoise
[Round 069/100] Acc=99.000 | Pure=99.673 | RoundTime=83.71s | TotalTime=5609.42s | Method=feddenoise
[Round 070/100] Acc=99.000 | Pure=99.612 | RoundTime=83.67s | TotalTime=5693.10s | Method=feddenoise
[Round 071/100] Acc=99.010 | Pure=99.507 | RoundTime=85.09s | TotalTime=5778.19s | Method=feddenoise
[Round 072/100] Acc=99.070 | Pure=99.712 | RoundTime=85.15s | TotalTime=5863.34s | Method=feddenoise
[Round 073/100] Acc=99.020 | Pure=99.588 | RoundTime=83.47s | TotalTime=5946.81s | Method=feddenoise
[Round 074/100] Acc=99.140 | Pure=99.666 | RoundTime=83.41s | TotalTime=6030.23s | Method=feddenoise
[Round 075/100] Acc=99.000 | Pure=99.691 | RoundTime=83.93s | TotalTime=6114.16s | Method=feddenoise
[Round 076/100] Acc=99.000 | Pure=99.656 | RoundTime=78.97s | TotalTime=6193.13s | Method=feddenoise
[Round 077/100] Acc=99.050 | Pure=99.541 | RoundTime=67.65s | TotalTime=6260.78s | Method=feddenoise
[Round 078/100] Acc=98.910 | Pure=99.595 | RoundTime=62.54s | TotalTime=6323.32s | Method=feddenoise
[Round 079/100] Acc=98.900 | Pure=99.659 | RoundTime=63.55s | TotalTime=6386.87s | Method=feddenoise
[Round 080/100] Acc=99.030 | Pure=99.714 | RoundTime=63.99s | TotalTime=6450.86s | Method=feddenoise
[Round 081/100] Acc=99.010 | Pure=99.646 | RoundTime=65.23s | TotalTime=6516.09s | Method=feddenoise
[Round 082/100] Acc=98.950 | Pure=99.647 | RoundTime=64.03s | TotalTime=6580.11s | Method=feddenoise
[Round 083/100] Acc=99.000 | Pure=99.759 | RoundTime=65.21s | TotalTime=6645.33s | Method=feddenoise
[Round 084/100] Acc=99.040 | Pure=99.698 | RoundTime=66.39s | TotalTime=6711.71s | Method=feddenoise
[Round 085/100] Acc=99.010 | Pure=99.617 | RoundTime=65.71s | TotalTime=6777.42s | Method=feddenoise
[Round 086/100] Acc=98.960 | Pure=99.683 | RoundTime=64.37s | TotalTime=6841.79s | Method=feddenoise
[Round 087/100] Acc=99.030 | Pure=99.712 | RoundTime=65.82s | TotalTime=6907.62s | Method=feddenoise
[Round 088/100] Acc=99.030 | Pure=99.680 | RoundTime=65.07s | TotalTime=6972.68s | Method=feddenoise
[Round 089/100] Acc=99.080 | Pure=99.676 | RoundTime=64.27s | TotalTime=7036.96s | Method=feddenoise
[Round 090/100] Acc=99.030 | Pure=99.632 | RoundTime=66.42s | TotalTime=7103.37s | Method=feddenoise
[Round 091/100] Acc=98.940 | Pure=99.537 | RoundTime=65.18s | TotalTime=7168.56s | Method=feddenoise
[Round 092/100] Acc=98.880 | Pure=99.573 | RoundTime=65.92s | TotalTime=7234.48s | Method=feddenoise
[Round 093/100] Acc=98.990 | Pure=99.603 | RoundTime=64.20s | TotalTime=7298.68s | Method=feddenoise
[Round 094/100] Acc=99.010 | Pure=99.612 | RoundTime=64.89s | TotalTime=7363.57s | Method=feddenoise
[Round 095/100] Acc=98.980 | Pure=99.714 | RoundTime=63.99s | TotalTime=7427.56s | Method=feddenoise
[Round 096/100] Acc=98.950 | Pure=99.593 | RoundTime=63.81s | TotalTime=7491.37s | Method=feddenoise
[Round 097/100] Acc=99.010 | Pure=99.571 | RoundTime=64.64s | TotalTime=7556.01s | Method=feddenoise
[Round 098/100] Acc=99.040 | Pure=99.539 | RoundTime=65.25s | TotalTime=7621.25s | Method=feddenoise
[Round 099/100] Acc=98.960 | Pure=99.657 | RoundTime=61.15s | TotalTime=7682.41s | Method=feddenoise
[Round 100/100] Acc=99.080 | Pure=99.649 | RoundTime=48.76s | TotalTime=7731.17s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-15 10:32:47
Total elapsed time: 7731.17s
Final Acc: 99.080
Best Acc : 99.140
Final Pure: 99.649
Best Pure : 99.759
====================================================================================================
