====================================================================================================
Training started at: 2026-03-27 04:06:58
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.3/feddenoise_fl_mnist_20260327-040658-825231_pid2618145.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.3/feddenoise_fl_mnist_20260327-040658-825231_pid2618145.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.3
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=70.099 | RoundTime=28.02s | TotalTime=28.02s | Method=feddenoise
[Round 002/100] Acc=65.380 | Pure=69.997 | RoundTime=26.46s | TotalTime=54.48s | Method=feddenoise
[Round 003/100] Acc=97.000 | Pure=70.003 | RoundTime=27.60s | TotalTime=82.08s | Method=feddenoise
[Round 004/100] Acc=96.340 | Pure=69.969 | RoundTime=28.49s | TotalTime=110.57s | Method=feddenoise
[Round 005/100] Acc=95.080 | Pure=70.013 | RoundTime=30.49s | TotalTime=141.06s | Method=feddenoise
[Round 006/100] Acc=94.740 | Pure=70.026 | RoundTime=38.66s | TotalTime=179.72s | Method=feddenoise
[Round 007/100] Acc=95.340 | Pure=69.935 | RoundTime=28.56s | TotalTime=208.28s | Method=feddenoise
[Round 008/100] Acc=95.060 | Pure=69.943 | RoundTime=27.86s | TotalTime=236.14s | Method=feddenoise
[Round 009/100] Acc=94.240 | Pure=70.057 | RoundTime=28.70s | TotalTime=264.84s | Method=feddenoise
[Round 010/100] Acc=93.700 | Pure=69.995 | RoundTime=28.61s | TotalTime=293.45s | Method=feddenoise
[Round 011/100] Acc=96.680 | Pure=95.829 | RoundTime=35.54s | TotalTime=328.99s | Method=feddenoise
[Round 012/100] Acc=96.100 | Pure=95.838 | RoundTime=31.95s | TotalTime=360.95s | Method=feddenoise
[Round 013/100] Acc=97.930 | Pure=95.834 | RoundTime=33.81s | TotalTime=394.76s | Method=feddenoise
[Round 014/100] Acc=97.920 | Pure=95.775 | RoundTime=32.79s | TotalTime=427.54s | Method=feddenoise
[Round 015/100] Acc=97.620 | Pure=95.990 | RoundTime=34.44s | TotalTime=461.98s | Method=feddenoise
[Round 016/100] Acc=97.640 | Pure=95.930 | RoundTime=33.91s | TotalTime=495.89s | Method=feddenoise
[Round 017/100] Acc=98.100 | Pure=95.948 | RoundTime=36.01s | TotalTime=531.90s | Method=feddenoise
[Round 018/100] Acc=97.750 | Pure=95.959 | RoundTime=33.67s | TotalTime=565.57s | Method=feddenoise
[Round 019/100] Acc=97.940 | Pure=96.000 | RoundTime=36.77s | TotalTime=602.34s | Method=feddenoise
[Round 020/100] Acc=98.180 | Pure=96.153 | RoundTime=35.58s | TotalTime=637.93s | Method=feddenoise
[Round 021/100] Acc=98.110 | Pure=96.437 | RoundTime=35.74s | TotalTime=673.67s | Method=feddenoise
[Round 022/100] Acc=98.260 | Pure=96.382 | RoundTime=34.35s | TotalTime=708.02s | Method=feddenoise
[Round 023/100] Acc=98.240 | Pure=96.456 | RoundTime=33.70s | TotalTime=741.72s | Method=feddenoise
[Round 024/100] Acc=98.400 | Pure=96.312 | RoundTime=35.72s | TotalTime=777.44s | Method=feddenoise
