====================================================================================================
Training started at: 2026-03-27 04:19:13
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-most_sim_dr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-most_sim_dr-0.3/feddenoise_fl_mnist_20260327-041913-787491_pid2873089.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-most_sim_dr-0.3/feddenoise_fl_mnist_20260327-041913-787491_pid2873089.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.3
Denoise strategy: most_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=70.003 | RoundTime=30.15s | TotalTime=30.16s | Method=feddenoise
[Round 002/100] Acc=60.420 | Pure=70.104 | RoundTime=27.99s | TotalTime=58.14s | Method=feddenoise
[Round 003/100] Acc=91.710 | Pure=69.995 | RoundTime=28.37s | TotalTime=86.52s | Method=feddenoise
[Round 004/100] Acc=96.270 | Pure=70.052 | RoundTime=27.78s | TotalTime=114.30s | Method=feddenoise
[Round 005/100] Acc=92.900 | Pure=69.904 | RoundTime=35.95s | TotalTime=150.24s | Method=feddenoise
[Round 006/100] Acc=91.910 | Pure=69.971 | RoundTime=26.83s | TotalTime=177.07s | Method=feddenoise
[Round 007/100] Acc=95.770 | Pure=69.872 | RoundTime=27.60s | TotalTime=204.67s | Method=feddenoise
[Round 008/100] Acc=96.090 | Pure=69.974 | RoundTime=29.25s | TotalTime=233.91s | Method=feddenoise
[Round 009/100] Acc=95.080 | Pure=69.945 | RoundTime=29.12s | TotalTime=263.04s | Method=feddenoise
[Round 010/100] Acc=91.470 | Pure=69.865 | RoundTime=28.82s | TotalTime=291.86s | Method=feddenoise
[Round 011/100] Acc=97.020 | Pure=92.538 | RoundTime=38.58s | TotalTime=330.44s | Method=feddenoise
[Round 012/100] Acc=97.080 | Pure=92.792 | RoundTime=40.75s | TotalTime=371.19s | Method=feddenoise
[Round 013/100] Acc=97.240 | Pure=92.583 | RoundTime=40.65s | TotalTime=411.84s | Method=feddenoise
[Round 014/100] Acc=97.380 | Pure=92.099 | RoundTime=41.45s | TotalTime=453.29s | Method=feddenoise
[Round 015/100] Acc=95.660 | Pure=93.731 | RoundTime=38.70s | TotalTime=491.98s | Method=feddenoise
[Round 016/100] Acc=97.040 | Pure=93.213 | RoundTime=39.86s | TotalTime=531.85s | Method=feddenoise
[Round 017/100] Acc=97.320 | Pure=93.716 | RoundTime=40.88s | TotalTime=572.73s | Method=feddenoise
[Round 018/100] Acc=97.990 | Pure=92.769 | RoundTime=38.38s | TotalTime=611.11s | Method=feddenoise
[Round 019/100] Acc=97.810 | Pure=92.434 | RoundTime=39.79s | TotalTime=650.90s | Method=feddenoise
[Round 020/100] Acc=97.280 | Pure=92.910 | RoundTime=38.25s | TotalTime=689.16s | Method=feddenoise
