====================================================================================================
Training started at: 2026-03-15 02:00:17
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-020017.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-020017.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=70.021 | RoundTime=46.92s | TotalTime=46.92s | Method=feddenoise
[Round 002/100] Acc=75.990 | Pure=69.964 | RoundTime=48.09s | TotalTime=95.01s | Method=feddenoise
[Round 003/100] Acc=95.970 | Pure=69.997 | RoundTime=46.52s | TotalTime=141.52s | Method=feddenoise
[Round 004/100] Acc=96.800 | Pure=69.990 | RoundTime=47.53s | TotalTime=189.06s | Method=feddenoise
[Round 005/100] Acc=96.570 | Pure=69.932 | RoundTime=46.70s | TotalTime=235.76s | Method=feddenoise
[Round 006/100] Acc=96.900 | Pure=69.901 | RoundTime=46.22s | TotalTime=281.98s | Method=feddenoise
[Round 007/100] Acc=91.000 | Pure=69.977 | RoundTime=47.18s | TotalTime=329.16s | Method=feddenoise
[Round 008/100] Acc=95.160 | Pure=69.974 | RoundTime=48.21s | TotalTime=377.37s | Method=feddenoise
[Round 009/100] Acc=95.950 | Pure=70.029 | RoundTime=48.55s | TotalTime=425.92s | Method=feddenoise
[Round 010/100] Acc=94.590 | Pure=69.977 | RoundTime=48.30s | TotalTime=474.22s | Method=feddenoise
[Round 011/100] Acc=94.940 | Pure=81.012 | RoundTime=58.13s | TotalTime=532.35s | Method=feddenoise
[Round 012/100] Acc=94.740 | Pure=80.981 | RoundTime=63.93s | TotalTime=596.28s | Method=feddenoise
[Round 013/100] Acc=95.250 | Pure=80.805 | RoundTime=63.71s | TotalTime=660.00s | Method=feddenoise
[Round 014/100] Acc=96.440 | Pure=80.331 | RoundTime=64.00s | TotalTime=724.00s | Method=feddenoise
[Round 015/100] Acc=94.920 | Pure=80.412 | RoundTime=63.26s | TotalTime=787.25s | Method=feddenoise
[Round 016/100] Acc=96.320 | Pure=80.862 | RoundTime=62.66s | TotalTime=849.92s | Method=feddenoise
[Round 017/100] Acc=96.500 | Pure=80.509 | RoundTime=64.31s | TotalTime=914.22s | Method=feddenoise
[Round 018/100] Acc=96.960 | Pure=80.862 | RoundTime=65.51s | TotalTime=979.73s | Method=feddenoise
