epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	70.049	39.4383	39.4384
1	70.05	70.042	38.3126	77.7512
2	95.62	70.01	38.9980	116.7494
3	96.4	69.878	38.6766	155.4261
4	95.89	70.044	39.1207	194.5470
5	95.56	70.047	44.9154	239.4626
6	95.55	70.021	39.5059	278.9687
7	96.43	69.982	39.0313	318.0001
8	96.01	69.982	39.1371	357.1373
9	87.32	69.997	39.6848	396.8223
10	96.62	92.514	56.0231	452.8456
11	96.71	92.783	56.3532	509.1989
12	97.03	92.852	55.5592	564.7583
13	96.46	92.914	56.6747	621.4332
14	97.72	89.486	57.0329	678.4664
15	97.59	92.248	55.7299	734.1965
16	97.45	91.524	58.2021	792.3988
17	96.96	92.43	56.2793	848.6782
18	97.57	93.045	57.8797	906.5582
19	97.39	93.301	56.8205	963.3789
20	97.69	95.806	55.8536	1019.2327
21	98.25	95.571	56.8898	1076.1226
