epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	70.002	41.7265	41.7267
1	51.45	70.002	40.3970	82.1241
2	92.48	69.994	41.5129	123.6374
3	89.19	70.004	40.2021	163.8398
4	93.27	70.007	40.7378	204.5778
5	94.96	69.993	40.4720	245.0501
6	90.25	70.002	41.5072	286.5576
7	95.46	69.983	41.3061	327.8640
8	93.39	70.005	40.9043	368.7686
9	94.21	70.003	42.1753	410.9442
10	95.93	97.21	79.2721	490.2167
11	97.26	96.799	78.8941	569.1110
12	97.57	97.169	78.1039	647.2153
13	97.87	96.802	78.4622	725.6778
14	97.65	97.358	78.3549	804.0330
15	97.42	97.354	79.3850	883.4183
16	97.74	97.135	78.8564	962.2749
17	97.89	96.525	76.8498	1039.1252
18	98.07	97.231	78.7471	1117.8726
19	98.02	97.088	80.1545	1198.0274
20	98.08	97.591	69.0312	1267.0590
21	98.11	97.578	68.4551	1335.5144
22	98.21	97.663	69.1821	1404.6968
23	98.3	97.499	69.3919	1474.0889
24	98.19	97.616	69.9802	1544.0695
25	98.43	97.532	70.5915	1614.6614
26	98.42	97.527	70.5812	1685.2430
27	98.33	97.602	70.3256	1755.5691
28	98.43	97.429	70.6797	1826.2490
29	98.24	97.643	71.4646	1897.7142
30	98.33	97.725	60.4530	1958.1675
31	98.39	97.675	61.4436	2019.6115
32	98.45	97.695	60.6950	2080.3070
33	98.4	97.565	61.6571	2141.9644
34	98.49	97.691	61.7676	2203.7324
35	98.45	97.636	60.2699	2264.0027
36	98.5	97.775	61.8688	2325.8719
37	98.27	97.612	61.6874	2387.5596
38	98.44	97.573	61.8215	2449.3814
39	98.48	97.532	61.1167	2510.4985
40	98.4	97.684	52.0581	2562.5570
41	98.48	97.568	51.8511	2614.4084
42	98.21	97.42	52.6425	2667.0512
43	98.34	97.608	50.8479	2717.8993
44	98.3	97.684	51.7947	2769.6943
45	98.45	97.54	53.0909	2822.7855
46	98.15	97.589	52.0864	2874.8723
47	98.52	97.539	52.7511	2927.6236
48	98.61	97.563	51.6047	2979.2286
49	98.52	97.456	51.2817	3030.5106
50	98.48	97.727	51.2747	3081.7856
51	98.39	97.485	51.2965	3133.0825
52	98.2	97.608	51.2294	3184.3121
53	98.39	97.524	53.1830	3237.4955
54	98.45	97.541	52.3558	3289.8516
55	98.49	97.409	52.7110	3342.5630
56	98.46	97.522	51.5107	3394.0741
57	98.39	97.355	51.9901	3446.0646
58	98.54	97.482	51.7185	3497.7835
59	98.47	97.549	52.5857	3550.3696
60	98.46	97.587	51.7309	3602.1009
61	98.44	97.548	51.2516	3653.3528
62	98.48	97.492	51.3348	3704.6879
63	98.58	97.479	52.4347	3757.1236
64	98.44	97.422	53.4074	3810.5314
65	98.32	97.54	50.8816	3861.4133
66	98.25	97.58	52.0979	3913.5115
67	98.36	97.538	52.7735	3966.2853
68	98.35	97.588	52.1366	4018.4222
69	98.33	97.689	52.2644	4070.6870
70	98.44	97.287	52.7344	4123.4217
71	98.38	97.561	52.0365	4175.4584
72	98.19	97.5	53.6111	4229.0698
73	98.35	97.451	51.9207	4280.9910
74	98.34	97.519	52.0171	4333.0086
75	98.18	97.648	50.9420	4383.9510
76	98.39	97.506	51.7031	4435.6544
77	98.32	97.356	52.3984	4488.0532
78	98.22	97.481	51.7435	4539.7970
79	98.24	97.504	52.8530	4592.6503
80	98.55	97.507	52.9337	4645.5843
81	98.5	97.496	52.4862	4698.0708
82	98.37	97.272	52.1624	4750.2335
83	98.15	97.654	52.3339	4802.5677
84	98.2	97.693	51.6364	4854.2045
85	98.11	97.599	51.3971	4905.6020
86	98.35	97.488	52.0660	4957.6683
87	98.35	97.486	52.4918	5010.1605
88	98.28	97.547	52.7596	5062.9204
89	98.57	97.37	52.9297	5115.8505
90	98.44	97.444	53.7380	5169.5889
91	98.58	97.465	52.4935	5222.0827
92	98.5	97.491	52.6602	5274.7432
93	98.6	97.493	52.0768	5326.8203
94	98.4	97.547	52.2469	5379.0676
95	98.38	97.351	51.8444	5430.9125
96	98.34	97.37	50.9217	5481.8346
97	98.36	97.222	51.0221	5532.8570
98	98.38	97.458	51.8137	5584.6710
99	98.13	97.479	51.5687	5636.2400
