epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	11.35	None	None	None	None	None	None	None	48.0142	48.0259
1	warmup	warmup	38.89	None	None	None	None	None	None	None	44.6558	92.6959
2	warmup	warmup	81.56	None	None	None	None	None	None	None	46.2571	138.9744
3	warmup	warmup	88.77	None	None	None	None	None	None	None	45.6821	184.6754
4	warmup	warmup	93.1	None	None	None	None	None	None	None	46.4859	231.1866
5	warmup	warmup	93.96	None	None	None	None	None	None	None	45.9077	277.1050
6	warmup	warmup	95.22	None	None	None	None	None	None	None	46.0559	323.1784
7	warmup	warmup	95.77	None	None	None	None	None	None	None	169.5631	492.7516
8	stage_1	0	85.06	99.161	99.161	84.995	73.742	98.322	60.0	0.985	39.5441	532.3300
9	stage_1	0	87.35	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.6494	571.0058
10	stage_1	0	88.12	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.3876	609.4099
11	stage_1	0	90.16	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.4433	647.8639
12	stage_1	0	90.67	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.2848	686.1740
13	stage_1	0	92.13	99.161	99.161	84.995	73.742	98.322	60.0	0.985	37.8886	724.0777
14	stage_1	0	93.06	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.5875	762.6878
15	stage_1	0	94.67	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.6018	801.3105
16	stage_1	0	95.38	99.161	99.161	84.995	73.742	98.322	60.0	0.985	37.2991	838.6415
17	stage_1	0	96.25	99.161	99.161	84.995	73.742	98.322	60.0	0.985	33.4044	872.0599
18	stage_1	0	96.32	99.161	99.161	84.995	73.742	98.322	60.0	0.985	35.9746	908.0412
19	stage_1	0	96.0	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.1192	946.1833
20	stage_1	0	96.83	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.6071	984.8113
21	stage_1	0	97.02	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.3806	1023.2084
22	stage_1	0	96.77	99.161	99.161	84.995	73.742	98.322	60.0	0.985	39.1311	1062.3592
23	stage_1	0	96.91	99.161	99.161	84.995	73.742	98.322	60.0	0.985	39.0988	1101.5007
24	stage_1	0	96.81	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.2515	1139.7830
25	stage_1	0	96.83	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.0759	1177.8774
26	stage_1	0	96.49	99.161	99.161	84.995	73.742	98.322	60.0	0.985	36.2797	1214.1701
27	stage_1	0	97.07	99.161	99.161	84.995	73.742	98.322	60.0	0.985	35.7139	1249.9637
28	stage_1	0	97.24	99.161	99.161	84.995	73.742	98.322	60.0	0.985	38.0521	1288.0338
29	stage_1	0	97.42	99.161	99.161	84.995	73.742	98.322	60.0	0.985	168.7807	1456.8394
30	stage_2	1	97.92	99.739	99.739	85.49	74.608	99.478	60.0	0.985	38.3411	1495.2050
31	stage_2	1	98.02	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.7451	1532.9779
32	stage_2	1	98.15	99.739	99.739	85.49	74.608	99.478	60.0	0.985	38.4770	1571.4685
33	stage_2	1	97.99	99.739	99.739	85.49	74.608	99.478	60.0	0.985	38.3541	1609.8543
34	stage_2	1	98.08	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.2126	1647.0825
35	stage_2	1	98.24	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.4726	1684.5680
36	stage_2	1	98.23	99.739	99.739	85.49	74.608	99.478	60.0	0.985	36.5535	1721.1372
37	stage_2	1	98.15	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.1943	1758.3609
38	stage_2	1	98.22	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.2596	1795.6601
39	stage_2	1	98.19	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.5268	1833.1958
40	stage_2	1	98.23	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.8821	1871.1031
41	stage_2	1	98.27	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.6739	1908.7925
42	stage_2	1	98.29	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.8676	1946.6745
43	stage_2	1	98.15	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.0645	1983.7525
44	stage_2	1	98.25	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.5714	2021.3384
45	stage_2	1	98.24	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.4091	2058.7898
46	stage_2	1	98.28	99.739	99.739	85.49	74.608	99.478	60.0	0.985	38.3180	2097.1358
47	stage_2	1	98.29	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.7541	2134.9178
48	stage_2	1	98.31	99.739	99.739	85.49	74.608	99.478	60.0	0.985	36.3880	2171.3177
49	stage_2	1	98.32	99.739	99.739	85.49	74.608	99.478	60.0	0.985	37.3557	2208.6943
50	stage_2	1	98.35	99.739	99.739	85.49	74.608	99.478	60.0	0.985	38.2712	2246.9761
51	stage_2	1	98.31	99.739	99.739	85.49	74.608	99.478	60.0	0.985	165.9808	2412.9806
52	stage_3	2	98.3	99.9	99.9	85.629	74.85	99.8	60.0	0.991	38.1691	2451.1715
53	stage_3	2	98.29	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.5456	2488.7304
54	stage_3	2	98.46	99.9	99.9	85.629	74.85	99.8	60.0	0.991	36.6003	2525.3768
55	stage_3	2	98.29	99.9	99.9	85.629	74.85	99.8	60.0	0.991	36.9371	2562.3396
56	stage_3	2	98.37	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.0116	2599.3597
57	stage_3	2	98.38	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.1050	2636.4816
58	stage_3	2	98.48	99.9	99.9	85.629	74.85	99.8	60.0	0.991	32.9606	2669.4732
59	stage_3	2	98.45	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.5513	2707.0359
60	stage_3	2	98.31	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.5050	2744.5654
61	stage_3	2	98.38	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.2679	2781.8725
62	stage_3	2	98.45	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.5966	2819.4855
63	stage_3	2	98.49	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.3628	2856.8658
64	stage_3	2	98.47	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.2047	2894.0927
65	stage_3	2	98.35	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.8841	2931.9867
66	stage_3	2	98.54	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.7373	2969.7359
67	stage_3	2	98.37	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.3510	3007.1097
68	stage_3	2	98.39	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.0126	3044.1527
69	stage_3	2	98.46	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.0861	3081.2469
70	stage_3	2	98.46	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.6252	3118.8906
71	stage_3	2	98.47	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.6594	3156.5639
72	stage_3	2	98.51	99.9	99.9	85.629	74.85	99.8	60.0	0.991	37.8302	3194.4164
73	stage_3	2	98.45	99.9	99.9	85.629	74.85	99.8	60.0	0.991	165.4626	3359.9109
74	stage_4	3	98.55	99.917	99.917	85.643	74.875	99.833	60.0	0.992	37.0983	3397.0561
75	stage_4	3	98.54	99.917	99.917	85.643	74.875	99.833	60.0	0.992	36.1652	3433.2448
76	stage_4	3	98.51	99.917	99.917	85.643	74.875	99.833	60.0	0.992	36.7635	3470.0366
77	stage_4	3	98.58	99.917	99.917	85.643	74.875	99.833	60.0	0.992	38.3209	3508.3798
78	stage_4	3	98.6	99.917	99.917	85.643	74.875	99.833	60.0	0.992	32.5274	3540.9322
79	stage_4	3	98.58	99.917	99.917	85.643	74.875	99.833	60.0	0.992	36.7361	3577.6909
80	stage_4	3	98.6	99.917	99.917	85.643	74.875	99.833	60.0	0.992	38.1153	3615.8500
81	stage_4	3	98.7	99.917	99.917	85.643	74.875	99.833	60.0	0.992	37.8299	3653.6903
82	stage_4	3	98.52	99.917	99.917	85.643	74.875	99.833	60.0	0.992	38.2922	3692.0014
83	stage_4	3	98.57	99.917	99.917	85.643	74.875	99.833	60.0	0.992	37.7569	3729.7786
84	stage_4	3	98.62	99.917	99.917	85.643	74.875	99.833	60.0	0.992	37.8225	3767.6635
85	stage_4	3	98.57	99.917	99.917	85.643	74.875	99.833	60.0	0.992	38.6597	3806.3754
