epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	11.35	None	None	None	None	None	None	None	54.8008	54.8484
1	warmup	warmup	44.03	None	None	None	None	None	None	None	62.4320	117.3057
2	warmup	warmup	83.46	None	None	None	None	None	None	None	59.6326	176.9801
3	warmup	warmup	90.22	None	None	None	None	None	None	None	59.5259	236.5199
4	warmup	warmup	93.08	None	None	None	None	None	None	None	59.1519	295.6879
5	warmup	warmup	94.11	None	None	None	None	None	None	None	59.2860	355.0335
6	warmup	warmup	95.36	None	None	None	None	None	None	None	56.7048	411.7658
7	warmup	warmup	95.65	None	None	None	None	None	None	None	124.6318	536.4291
8	stage_1	0	85.75	98.781	98.781	84.669	73.171	97.561	60.0	0.983	48.0246	584.4722
9	stage_1	0	88.36	98.781	98.781	84.669	73.171	97.561	60.0	0.983	47.4541	631.9678
10	stage_1	0	92.5	98.781	98.781	84.669	73.171	97.561	60.0	0.983	47.3914	679.3903
11	stage_1	0	95.02	98.781	98.781	84.669	73.171	97.561	60.0	0.983	48.5287	727.9358
12	stage_1	0	95.33	98.781	98.781	84.669	73.171	97.561	60.0	0.983	47.3198	775.2852
13	stage_1	0	96.05	98.781	98.781	84.669	73.171	97.561	60.0	0.983	47.6717	822.9642
14	stage_1	0	96.0	98.781	98.781	84.669	73.171	97.561	60.0	0.983	47.2974	870.2833
15	stage_1	0	96.35	98.781	98.781	84.669	73.171	97.561	60.0	0.983	47.1727	917.4843
16	stage_1	0	97.0	98.781	98.781	84.669	73.171	97.561	60.0	0.983	43.4353	960.9325
17	stage_1	0	96.93	98.781	98.781	84.669	73.171	97.561	60.0	0.983	42.3713	1003.3289
18	stage_1	0	97.15	98.781	98.781	84.669	73.171	97.561	60.0	0.983	43.0435	1046.3941
19	stage_1	0	96.95	98.781	98.781	84.669	73.171	97.561	60.0	0.983	42.7347	1089.1687
20	stage_1	0	97.24	98.781	98.781	84.669	73.171	97.561	60.0	0.983	43.4595	1132.6512
21	stage_1	0	97.04	98.781	98.781	84.669	73.171	97.561	60.0	0.983	43.1303	1175.8027
22	stage_1	0	97.46	98.781	98.781	84.669	73.171	97.561	60.0	0.983	43.6213	1219.4688
23	stage_1	0	97.35	98.781	98.781	84.669	73.171	97.561	60.0	0.983	43.7086	1263.2142
