epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	11.35	None	None	None	None	None	None	None	153.3859	153.3924
1	warmup	warmup	59.4	None	None	None	None	None	None	None	148.6249	302.0250
2	warmup	warmup	85.93	None	None	None	None	None	None	None	149.1802	451.2125
3	warmup	warmup	93.58	None	None	None	None	None	None	None	149.7685	600.9887
4	warmup	warmup	93.84	None	None	None	None	None	None	None	147.9218	748.9185
5	warmup	warmup	95.64	None	None	None	None	None	None	None	151.0077	899.9338
6	warmup	warmup	95.91	None	None	None	None	None	None	None	149.3859	1049.3272
7	warmup	warmup	94.67	None	None	None	None	None	None	None	148.0761	1197.4111
8	warmup	warmup	94.1	None	None	None	None	None	None	None	148.3006	1345.7207
9	warmup	warmup	90.58	None	None	None	None	None	None	None	148.4045	1494.1329
10	warmup	warmup	85.24	None	None	None	None	None	None	None	149.4263	1643.5669
11	warmup	warmup	81.06	None	None	None	None	None	None	None	149.5143	1793.0886
12	warmup	warmup	78.71	None	None	None	None	None	None	None	150.0745	1943.1728
13	warmup	warmup	77.49	None	None	None	None	None	None	None	147.7854	2090.9668
14	warmup	warmup	74.65	None	None	None	None	None	None	None	147.9064	2238.8817
15	warmup	warmup	73.19	None	None	None	None	None	None	None	149.5314	2388.4220
16	warmup	warmup	73.11	None	None	None	None	None	None	None	148.5149	2536.9445
17	warmup	warmup	72.52	None	None	None	None	None	None	None	150.4726	2687.4247
18	warmup	warmup	71.66	None	None	None	None	None	None	None	147.8406	2835.2790
19	warmup	warmup	71.12	None	None	None	None	None	None	None	182.4351	3017.7268
20	stage_1	0	86.68	80.412	80.412	61.113	68.64	85.113	38.0	0.96	80.1172	3097.8556
21	stage_1	0	87.0	80.412	80.412	61.113	68.64	85.113	38.0	0.96	78.2637	3176.1274
22	stage_1	0	87.38	80.412	80.412	61.113	68.64	85.113	38.0	0.96	76.5985	3252.7339
23	stage_1	0	86.48	80.412	80.412	61.113	68.64	85.113	38.0	0.96	80.3770	3333.1188
24	stage_1	0	86.37	80.412	80.412	61.113	68.64	85.113	38.0	0.96	77.3873	3410.5144
25	stage_1	0	85.64	80.412	80.412	61.113	68.64	85.113	38.0	0.96	78.5509	3489.0745
26	stage_1	0	85.96	80.412	80.412	61.113	68.64	85.113	38.0	0.96	75.9959	3565.0799
