epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	11.35	None	None	None	None	None	None	None	40.8813	40.8892
1	warmup	warmup	45.75	None	None	None	None	None	None	None	35.5490	76.4487
2	warmup	warmup	91.14	None	None	None	None	None	None	None	39.1446	115.6003
3	warmup	warmup	96.15	None	None	None	None	None	None	None	41.4779	157.0886
4	warmup	warmup	96.48	None	None	None	None	None	None	None	39.3853	196.4809
5	warmup	warmup	97.19	None	None	None	None	None	None	None	34.9617	231.4507
6	warmup	warmup	97.66	None	None	None	None	None	None	None	40.0260	271.4834
7	warmup	warmup	97.84	None	None	None	None	None	None	None	40.3131	311.8031
8	warmup	warmup	98.02	None	None	None	None	None	None	None	39.1491	350.9587
9	warmup	warmup	98.24	None	None	None	None	None	None	None	78.0434	429.0088
10	stage_1	0	98.15	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.4803	460.4972
11	stage_1	0	98.66	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.3543	491.8584
12	stage_1	0	98.93	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.3663	523.2331
13	stage_1	0	98.97	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.4222	554.6647
14	stage_1	0	98.92	98.912	98.912	98.912	97.461	97.461	70.0	0.988	29.4727	584.1465
15	stage_1	0	99.04	98.912	98.912	98.912	97.461	97.461	70.0	0.988	28.3539	612.5109
16	stage_1	0	99.03	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.9122	643.4358
17	stage_1	0	99.11	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.8734	674.3178
18	stage_1	0	99.13	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.6522	705.9785
19	stage_1	0	99.19	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.4221	737.4090
20	stage_1	0	99.07	98.912	98.912	98.912	97.461	97.461	70.0	0.988	29.4828	766.8994
21	stage_1	0	99.19	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.2827	798.1907
22	stage_1	0	99.18	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.0132	829.2112
23	stage_1	0	99.19	98.912	98.912	98.912	97.461	97.461	70.0	0.988	28.7657	857.9881
24	stage_1	0	99.26	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.7534	889.7512
25	stage_1	0	99.17	98.912	98.912	98.912	97.461	97.461	70.0	0.988	32.0095	921.7694
26	stage_1	0	99.24	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.5279	953.3057
27	stage_1	0	99.3	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.8597	985.1739
28	stage_1	0	99.23	98.912	98.912	98.912	97.461	97.461	70.0	0.988	29.9750	1015.1584
29	stage_1	0	99.23	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.6722	1045.8426
30	stage_1	0	99.25	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.0399	1076.8909
31	stage_1	0	99.29	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.4084	1108.3082
32	stage_1	0	99.29	98.912	98.912	98.912	97.461	97.461	70.0	0.988	32.1877	1140.5035
33	stage_1	0	99.3	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.8150	1172.3271
34	stage_1	0	99.31	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.7697	1204.1064
35	stage_1	0	99.36	98.912	98.912	98.912	97.461	97.461	70.0	0.988	27.1794	1231.3170
36	stage_1	0	99.35	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.1499	1262.4740
37	stage_1	0	99.31	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.0933	1293.5752
38	stage_1	0	99.32	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.4982	1325.0807
39	stage_1	0	99.37	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.9093	1356.9973
40	stage_1	0	99.38	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.3221	1388.3280
41	stage_1	0	99.32	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.0591	1419.3969
42	stage_1	0	99.33	98.912	98.912	98.912	97.461	97.461	70.0	0.988	29.9779	1449.3826
43	stage_1	0	99.33	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.4156	1480.8086
44	stage_1	0	99.38	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.7330	1512.5486
45	stage_1	0	99.33	98.912	98.912	98.912	97.461	97.461	70.0	0.988	32.2768	1544.8340
46	stage_1	0	99.4	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.4092	1575.2503
47	stage_1	0	99.37	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.8882	1606.1496
48	stage_1	0	99.37	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.5578	1636.7160
49	stage_1	0	99.42	98.912	98.912	98.912	97.461	97.461	70.0	0.988	26.8509	1663.5781
50	stage_1	0	99.35	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.9301	1694.5196
51	stage_1	0	99.38	98.912	98.912	98.912	97.461	97.461	70.0	0.988	30.9685	1725.4978
52	stage_1	0	99.36	98.912	98.912	98.912	97.461	97.461	70.0	0.988	27.1932	1752.7080
53	stage_1	0	99.35	98.912	98.912	98.912	97.461	97.461	70.0	0.988	27.7330	1780.4486
54	stage_1	0	99.36	98.912	98.912	98.912	97.461	97.461	70.0	0.988	32.0175	1812.4752
55	stage_1	0	99.43	98.912	98.912	98.912	97.461	97.461	70.0	0.988	29.1391	1841.6222
56	stage_1	0	99.42	98.912	98.912	98.912	97.461	97.461	70.0	0.988	27.1882	1868.8182
57	stage_1	0	99.36	98.912	98.912	98.912	97.461	97.461	70.0	0.988	31.0305	1899.8567
58	stage_1	0	99.4	98.912	98.912	98.912	97.461	97.461	70.0	0.988	29.3933	1929.2578
59	stage_1	0	99.39	98.912	98.912	98.912	97.461	97.461	70.0	0.988	64.9810	1994.2465
60	stage_2	1	99.48	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.1416	2022.3960
61	stage_2	1	99.43	99.645	99.645	99.645	99.172	99.172	70.0	0.991	27.6222	2050.0264
62	stage_2	1	99.44	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.4421	2078.4809
63	stage_2	1	99.44	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.4057	2109.8970
64	stage_2	1	99.46	99.645	99.645	99.645	99.172	99.172	70.0	0.991	32.1012	2142.0059
65	stage_2	1	99.44	99.645	99.645	99.645	99.172	99.172	70.0	0.991	32.9254	2174.9392
66	stage_2	1	99.52	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.3712	2206.3187
67	stage_2	1	99.44	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.6981	2237.0268
68	stage_2	1	99.43	99.645	99.645	99.645	99.172	99.172	70.0	0.991	29.1210	2266.1580
69	stage_2	1	99.42	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.4189	2297.5843
70	stage_2	1	99.46	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.0064	2328.6004
71	stage_2	1	99.46	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.6685	2359.2793
72	stage_2	1	99.41	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.3246	2390.6177
73	stage_2	1	99.46	99.645	99.645	99.645	99.172	99.172	70.0	0.991	29.8257	2420.4564
74	stage_2	1	99.5	99.645	99.645	99.645	99.172	99.172	70.0	0.991	26.3055	2446.7713
75	stage_2	1	99.52	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.3545	2478.1339
76	stage_2	1	99.45	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.5272	2506.6692
77	stage_2	1	99.49	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.1090	2534.7889
78	stage_2	1	99.4	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.9275	2563.7245
79	stage_2	1	99.48	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.0349	2591.7673
80	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	27.5798	2619.3546
81	stage_2	1	99.49	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.1788	2649.5431
82	stage_2	1	99.49	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.4349	2679.9885
83	stage_2	1	99.54	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.1639	2710.1602
84	stage_2	1	99.41	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.2108	2740.3820
85	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.8090	2771.1988
86	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.3553	2801.5659
87	stage_2	1	99.48	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.7432	2832.3167
88	stage_2	1	99.45	99.645	99.645	99.645	99.172	99.172	70.0	0.991	27.8922	2860.2211
89	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	26.4257	2886.6541
90	stage_2	1	99.5	99.645	99.645	99.645	99.172	99.172	70.0	0.991	26.5978	2913.2612
91	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.2532	2944.5230
92	stage_2	1	99.49	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.4095	2975.9418
93	stage_2	1	99.48	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.0763	3004.0267
94	stage_2	1	99.49	99.645	99.645	99.645	99.172	99.172	70.0	0.991	26.2139	3030.2495
95	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.7324	3060.9944
96	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	31.2682	3092.2713
97	stage_2	1	99.51	99.645	99.645	99.645	99.172	99.172	70.0	0.991	29.2762	3121.5602
98	stage_2	1	99.46	99.645	99.645	99.645	99.172	99.172	70.0	0.991	27.7226	3149.2903
99	stage_2	1	99.47	99.645	99.645	99.645	99.172	99.172	70.0	0.991	26.2790	3175.5836
100	stage_2	1	99.51	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.3373	3205.9295
101	stage_2	1	99.52	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.2359	3236.1748
102	stage_2	1	99.5	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.0689	3266.2510
103	stage_2	1	99.45	99.645	99.645	99.645	99.172	99.172	70.0	0.991	27.7963	3294.0562
104	stage_2	1	99.49	99.645	99.645	99.645	99.172	99.172	70.0	0.991	26.7455	3320.8095
105	stage_2	1	99.49	99.645	99.645	99.645	99.172	99.172	70.0	0.991	32.1685	3352.9882
106	stage_2	1	99.5	99.645	99.645	99.645	99.172	99.172	70.0	0.991	30.4063	3383.4068
107	stage_2	1	99.48	99.645	99.645	99.645	99.172	99.172	70.0	0.991	28.7499	3412.1645
108	stage_2	1	99.5	99.645	99.645	99.645	99.172	99.172	70.0	0.991	24.5520	3436.7236
109	stage_2	1	99.51	99.645	99.645	99.645	99.172	99.172	70.0	0.991	57.7997	3494.5317
110	stage_3	2	99.5	99.643	99.643	99.643	99.167	99.167	70.0	0.995	29.4321	3523.9727
111	stage_3	2	99.48	99.643	99.643	99.643	99.167	99.167	70.0	0.995	28.6482	3552.6296
112	stage_3	2	99.49	99.643	99.643	99.643	99.167	99.167	70.0	0.995	28.5478	3581.1869
113	stage_3	2	99.48	99.643	99.643	99.643	99.167	99.167	70.0	0.995	30.8032	3611.9992
114	stage_3	2	99.51	99.643	99.643	99.643	99.167	99.167	70.0	0.995	32.5575	3644.5658
115	stage_3	2	99.5	99.643	99.643	99.643	99.167	99.167	70.0	0.995	27.2152	3671.7899
116	stage_3	2	99.5	99.643	99.643	99.643	99.167	99.167	70.0	0.995	26.7388	3698.5363
117	stage_3	2	99.53	99.643	99.643	99.643	99.167	99.167	70.0	0.995	31.9243	3730.4694
118	stage_3	2	99.55	99.643	99.643	99.643	99.167	99.167	70.0	0.995	32.0415	3762.5183
119	stage_3	2	99.51	99.643	99.643	99.643	99.167	99.167	70.0	0.995	32.2609	3794.7865
120	stage_3	2	99.52	99.643	99.643	99.643	99.167	99.167	70.0	0.995	31.1897	3825.9851
121	stage_3	2	99.53	99.643	99.643	99.643	99.167	99.167	70.0	0.995	26.1294	3852.1234
122	stage_3	2	99.51	99.643	99.643	99.643	99.167	99.167	70.0	0.995	24.2621	3876.3930
123	stage_3	2	99.52	99.643	99.643	99.643	99.167	99.167	70.0	0.995	24.0990	3900.5067
124	stage_3	2	99.51	99.643	99.643	99.643	99.167	99.167	70.0	0.995	28.6365	3929.1526
125	stage_3	2	99.51	99.643	99.643	99.643	99.167	99.167	70.0	0.995	24.8435	3954.0051
126	stage_3	2	99.52	99.643	99.643	99.643	99.167	99.167	70.0	0.995	28.2770	3982.2922
127	stage_3	2	99.52	99.643	99.643	99.643	99.167	99.167	70.0	0.995	31.5315	4013.8312
128	stage_3	2	99.5	99.643	99.643	99.643	99.167	99.167	70.0	0.995	31.9613	4045.8001
129	stage_3	2	99.51	99.643	99.643	99.643	99.167	99.167	70.0	0.995	29.9556	4075.7634
130	stage_3	2	99.5	99.643	99.643	99.643	99.167	99.167	70.0	0.995	27.5711	4103.3421
131	stage_3	2	99.53	99.643	99.643	99.643	99.167	99.167	70.0	0.995	29.4595	4132.8091
132	stage_3	2	99.53	99.643	99.643	99.643	99.167	99.167	70.0	0.995	31.1311	4163.9492
133	stage_3	2	99.57	99.643	99.643	99.643	99.167	99.167	70.0	0.995	32.5143	4196.4712
134	stage_3	2	99.55	99.643	99.643	99.643	99.167	99.167	70.0	0.995	29.7149	4226.1951
135	stage_3	2	99.48	99.643	99.643	99.643	99.167	99.167	70.0	0.995	29.6627	4255.9761
136	stage_3	2	99.53	99.643	99.643	99.643	99.167	99.167	70.0	0.995	25.2181	4281.2016
137	stage_3	2	99.52	99.643	99.643	99.643	99.167	99.167	70.0	0.995	29.1686	4310.3787
138	stage_3	2	99.53	99.643	99.643	99.643	99.167	99.167	70.0	0.995	31.3223	4341.7103
