epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	11.35	None	None	None	None	None	None	None	42.7295	42.7360
1	warmup	warmup	46.57	None	None	None	None	None	None	None	41.1164	83.8603
2	warmup	warmup	91.89	None	None	None	None	None	None	None	41.3293	125.1996
3	warmup	warmup	96.23	None	None	None	None	None	None	None	40.2792	165.4866
4	warmup	warmup	96.54	None	None	None	None	None	None	None	38.8924	204.3871
5	warmup	warmup	97.34	None	None	None	None	None	None	None	39.4861	243.8795
6	warmup	warmup	97.89	None	None	None	None	None	None	None	27.8651	271.7520
7	warmup	warmup	97.79	None	None	None	None	None	None	None	82.2289	353.9908
8	stage_1	0	96.55	98.867	98.867	84.743	73.3	97.733	60.0	0.985	26.0594	380.0578
9	stage_1	0	97.73	98.867	98.867	84.743	73.3	97.733	60.0	0.985	34.0136	414.0800
10	stage_1	0	98.06	98.867	98.867	84.743	73.3	97.733	60.0	0.985	23.9301	438.0203
11	stage_1	0	98.2	98.867	98.867	84.743	73.3	97.733	60.0	0.985	23.5918	461.6188
12	stage_1	0	98.33	98.867	98.867	84.743	73.3	97.733	60.0	0.985	32.0545	493.6795
13	stage_1	0	98.37	98.867	98.867	84.743	73.3	97.733	60.0	0.985	28.4765	522.1638
14	stage_1	0	98.29	98.867	98.867	84.743	73.3	97.733	60.0	0.985	23.4931	545.6655
15	stage_1	0	98.55	98.867	98.867	84.743	73.3	97.733	60.0	0.985	31.9257	577.6041
16	stage_1	0	98.64	98.867	98.867	84.743	73.3	97.733	60.0	0.985	30.4771	608.0892
17	stage_1	0	98.54	98.867	98.867	84.743	73.3	97.733	60.0	0.985	22.3071	630.4042
18	stage_1	0	98.54	98.867	98.867	84.743	73.3	97.733	60.0	0.985	27.5272	657.9379
19	stage_1	0	98.61	98.867	98.867	84.743	73.3	97.733	60.0	0.985	33.4503	691.3962
20	stage_1	0	98.6	98.867	98.867	84.743	73.3	97.733	60.0	0.985	18.8035	710.2065
21	stage_1	0	98.5	98.867	98.867	84.743	73.3	97.733	60.0	0.985	19.9564	730.1707
22	stage_1	0	98.6	98.867	98.867	84.743	73.3	97.733	60.0	0.985	33.9090	764.0898
23	stage_1	0	98.61	98.867	98.867	84.743	73.3	97.733	60.0	0.985	23.6479	787.7445
24	stage_1	0	98.57	98.867	98.867	84.743	73.3	97.733	60.0	0.985	17.3861	805.1425
25	stage_1	0	98.53	98.867	98.867	84.743	73.3	97.733	60.0	0.985	32.2534	837.4066
26	stage_1	0	98.54	98.867	98.867	84.743	73.3	97.733	60.0	0.985	26.5836	863.9976
27	stage_1	0	98.55	98.867	98.867	84.743	73.3	97.733	60.0	0.985	16.8203	880.8255
28	stage_1	0	98.58	98.867	98.867	84.743	73.3	97.733	60.0	0.985	30.8233	911.6569
29	stage_1	0	98.52	98.867	98.867	84.743	73.3	97.733	60.0	0.985	53.5018	965.1652
30	stage_2	1	98.71	99.992	99.992	85.707	74.987	99.983	60.0	0.986	32.7621	997.9431
31	stage_2	1	98.85	99.992	99.992	85.707	74.987	99.983	60.0	0.986	27.6419	1025.5918
32	stage_2	1	98.73	99.992	99.992	85.707	74.987	99.983	60.0	0.986	17.1271	1042.7273
33	stage_2	1	98.78	99.992	99.992	85.707	74.987	99.983	60.0	0.986	30.0856	1072.8232
34	stage_2	1	98.81	99.992	99.992	85.707	74.987	99.983	60.0	0.986	28.4323	1101.2697
35	stage_2	1	98.84	99.992	99.992	85.707	74.987	99.983	60.0	0.986	17.5900	1118.8677
36	stage_2	1	98.85	99.992	99.992	85.707	74.987	99.983	60.0	0.986	28.0982	1146.9729
37	stage_2	1	98.87	99.992	99.992	85.707	74.987	99.983	60.0	0.986	32.8337	1179.8143
38	stage_2	1	98.84	99.992	99.992	85.707	74.987	99.983	60.0	0.986	17.2373	1197.0644
39	stage_2	1	98.95	99.992	99.992	85.707	74.987	99.983	60.0	0.986	23.5808	1220.6547
40	stage_2	1	98.82	99.992	99.992	85.707	74.987	99.983	60.0	0.986	34.5544	1255.2158
41	stage_2	1	98.89	99.992	99.992	85.707	74.987	99.983	60.0	0.986	20.4492	1275.6731
42	stage_2	1	98.86	99.992	99.992	85.707	74.987	99.983	60.0	0.986	23.0613	1298.7450
43	stage_2	1	98.9	99.992	99.992	85.707	74.987	99.983	60.0	0.986	34.2053	1332.9594
44	stage_2	1	98.87	99.992	99.992	85.707	74.987	99.983	60.0	0.986	20.9371	1353.9048
