epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	11.35	None	None	None	None	None	None	None	60.9522	60.9956
1	warmup	warmup	62.5	None	None	None	None	None	None	None	58.1588	119.1756
2	warmup	warmup	92.95	None	None	None	None	None	None	None	57.0083	176.2200
3	warmup	warmup	96.67	None	None	None	None	None	None	None	57.4148	233.6625
4	warmup	warmup	97.34	None	None	None	None	None	None	None	57.1391	290.8216
5	warmup	warmup	97.9	None	None	None	None	None	None	None	57.7117	348.5861
6	warmup	warmup	98.24	None	None	None	None	None	None	None	57.3931	406.0045
7	warmup	warmup	98.38	None	None	None	None	None	None	None	129.2613	535.2794
8	stage_1	0	97.14	99.731	99.731	85.483	74.596	99.461	60.0	0.984	43.9303	579.2512
9	stage_1	0	98.31	99.731	99.731	85.483	74.596	99.461	60.0	0.984	43.2708	622.5486
10	stage_1	0	98.35	99.731	99.731	85.483	74.596	99.461	60.0	0.984	43.1520	665.7342
11	stage_1	0	98.5	99.731	99.731	85.483	74.596	99.461	60.0	0.984	43.0850	708.8365
12	stage_1	0	98.53	99.731	99.731	85.483	74.596	99.461	60.0	0.984	43.5631	752.4109
13	stage_1	0	98.6	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.7518	795.1897
14	stage_1	0	98.61	99.731	99.731	85.483	74.596	99.461	60.0	0.984	41.9345	837.1514
15	stage_1	0	98.61	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.7665	879.9941
16	stage_1	0	98.64	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.7050	922.7236
17	stage_1	0	98.7	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.8699	965.6177
18	stage_1	0	98.62	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.7264	1008.3575
19	stage_1	0	98.61	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.4263	1050.8178
20	stage_1	0	98.63	99.731	99.731	85.483	74.596	99.461	60.0	0.984	41.7221	1092.5736
21	stage_1	0	98.64	99.731	99.731	85.483	74.596	99.461	60.0	0.984	40.8372	1133.4519
22	stage_1	0	98.69	99.731	99.731	85.483	74.596	99.461	60.0	0.984	41.9599	1175.4488
23	stage_1	0	98.69	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.8262	1218.2955
24	stage_1	0	98.72	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.4873	1260.8359
25	stage_1	0	98.76	99.731	99.731	85.483	74.596	99.461	60.0	0.984	42.4242	1303.2821
26	stage_1	0	98.68	99.731	99.731	85.483	74.596	99.461	60.0	0.984	41.8992	1345.1999
27	stage_1	0	98.75	99.731	99.731	85.483	74.596	99.461	60.0	0.984	46.5372	1391.7851
28	stage_1	0	98.71	99.731	99.731	85.483	74.596	99.461	60.0	0.984	46.5606	1438.3686
