epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	11.35	None	None	None	None	None	None	None	174.1143	174.1204
1	warmup	warmup	70.89	None	None	None	None	None	None	None	173.8279	347.9581
2	warmup	warmup	96.03	None	None	None	None	None	None	None	175.0638	523.0316
3	warmup	warmup	97.71	None	None	None	None	None	None	None	175.9159	698.9572
4	warmup	warmup	98.28	None	None	None	None	None	None	None	176.0384	875.0044
5	warmup	warmup	98.19	None	None	None	None	None	None	None	174.2667	1049.2798
6	warmup	warmup	98.13	None	None	None	None	None	None	None	174.4146	1223.7046
7	warmup	warmup	97.42	None	None	None	None	None	None	None	175.8161	1399.5306
8	warmup	warmup	96.26	None	None	None	None	None	None	None	176.2224	1575.7642
9	warmup	warmup	94.69	None	None	None	None	None	None	None	173.5676	1749.3416
10	warmup	warmup	92.15	None	None	None	None	None	None	None	174.5535	1923.9039
11	warmup	warmup	88.94	None	None	None	None	None	None	None	178.4080	2102.3206
12	warmup	warmup	86.88	None	None	None	None	None	None	None	177.8041	2280.1335
13	warmup	warmup	84.48	None	None	None	None	None	None	None	173.9602	2454.1025
14	warmup	warmup	82.94	None	None	None	None	None	None	None	176.3707	2630.4846
15	warmup	warmup	80.9	None	None	None	None	None	None	None	176.1894	2806.6838
16	warmup	warmup	80.37	None	None	None	None	None	None	None	174.3432	2981.0372
17	warmup	warmup	80.39	None	None	None	None	None	None	None	177.2666	3158.3124
18	warmup	warmup	79.03	None	None	None	None	None	None	None	175.3575	3333.6813
19	warmup	warmup	79.29	None	None	None	None	None	None	None	214.3358	3548.0301
20	stage_1	0	81.76	55.328	55.328	99.59	97.95	19.59	90.0	0.965	177.5157	3725.5553
21	stage_1	0	82.27	55.328	55.328	99.59	97.95	19.59	90.0	0.965	174.8978	3900.4609
22	stage_1	0	82.12	55.328	55.328	99.59	97.95	19.59	90.0	0.965	175.7207	4076.1893
23	stage_1	0	81.41	55.328	55.328	99.59	97.95	19.59	90.0	0.965	175.7642	4251.9612
24	stage_1	0	81.99	55.328	55.328	99.59	97.95	19.59	90.0	0.965	176.9935	4428.9624
25	stage_1	0	80.84	55.328	55.328	99.59	97.95	19.59	90.0	0.965	177.3484	4606.3185
26	stage_1	0	80.24	55.328	55.328	99.59	97.95	19.59	90.0	0.965	175.3207	4781.6469
27	stage_1	0	80.46	55.328	55.328	99.59	97.95	19.59	90.0	0.965	176.3017	4957.9563
28	stage_1	0	80.06	55.328	55.328	99.59	97.95	19.59	90.0	0.965	177.8539	5135.8183
29	stage_1	0	79.66	55.328	55.328	99.59	97.95	19.59	90.0	0.965	175.5462	5311.3739
30	stage_1	0	78.74	55.328	55.328	99.59	97.95	19.59	90.0	0.965	175.2046	5486.5880
31	stage_1	0	78.68	55.328	55.328	99.59	97.95	19.59	90.0	0.965	177.6615	5664.2575
32	stage_1	0	78.82	55.328	55.328	99.59	97.95	19.59	90.0	0.965	176.2298	5840.4991
33	stage_1	0	77.53	55.328	55.328	99.59	97.95	19.59	90.0	0.965	175.4006	6015.9104
34	stage_1	0	77.85	55.328	55.328	99.59	97.95	19.59	90.0	0.965	177.3219	6193.2404
35	stage_1	0	77.12	55.328	55.328	99.59	97.95	19.59	90.0	0.965	176.4157	6369.6667
36	stage_1	0	77.57	55.328	55.328	99.59	97.95	19.59	90.0	0.965	175.6540	6545.3287
37	stage_1	0	76.59	55.328	55.328	99.59	97.95	19.59	90.0	0.965	171.4643	6716.8024
38	stage_1	0	76.59	55.328	55.328	99.59	97.95	19.59	90.0	0.965	196.5391	6913.3496
39	stage_2	1	83.49	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.8905	7056.2489
40	stage_2	1	79.73	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.0985	7198.3555
41	stage_2	1	80.76	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.5222	7340.8860
42	stage_2	1	79.91	63.038	63.038	88.253	80.422	48.253	70.0	0.983	144.6906	7485.5859
43	stage_2	1	80.33	63.038	63.038	88.253	80.422	48.253	70.0	0.983	141.7965	7627.3903
44	stage_2	1	79.85	63.038	63.038	88.253	80.422	48.253	70.0	0.983	141.1659	7768.5658
45	stage_2	1	80.05	63.038	63.038	88.253	80.422	48.253	70.0	0.983	141.8042	7910.3782
46	stage_2	1	79.22	63.038	63.038	88.253	80.422	48.253	70.0	0.983	141.5992	8051.9852
47	stage_2	1	79.46	63.038	63.038	88.253	80.422	48.253	70.0	0.983	141.2774	8193.2705
48	stage_2	1	79.5	63.038	63.038	88.253	80.422	48.253	70.0	0.983	140.7727	8334.0536
49	stage_2	1	80.03	63.038	63.038	88.253	80.422	48.253	70.0	0.983	140.5328	8474.5964
50	stage_2	1	80.2	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.5187	8617.1239
51	stage_2	1	80.07	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.8975	8760.0321
52	stage_2	1	79.46	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.8455	8902.8859
53	stage_2	1	79.0	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.3175	9045.2114
54	stage_2	1	79.07	63.038	63.038	88.253	80.422	48.253	70.0	0.983	141.4708	9186.6908
55	stage_2	1	79.7	63.038	63.038	88.253	80.422	48.253	70.0	0.983	142.7928	9329.4918
56	stage_2	1	79.33	63.038	63.038	88.253	80.422	48.253	70.0	0.983	138.6750	9468.1786
57	stage_2	1	80.18	63.038	63.038	88.253	80.422	48.253	70.0	0.983	163.4858	9631.6742
58	stage_3	2	87.67	67.258	67.258	80.71	75.888	60.71	60.0	0.994	132.8599	9764.5427
