epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	8.92	None	None	None	None	None	None	None	76.0386	76.0454
1	warmup	warmup	8.92	None	None	None	None	None	None	None	73.2710	149.4092
2	warmup	warmup	8.92	None	None	None	None	None	None	None	73.9110	223.3279
3	warmup	warmup	8.92	None	None	None	None	None	None	None	75.6762	299.0148
4	warmup	warmup	8.92	None	None	None	None	None	None	None	73.7386	372.7613
5	warmup	warmup	8.92	None	None	None	None	None	None	None	73.4783	446.2463
6	warmup	warmup	8.92	None	None	None	None	None	None	None	74.7708	521.0248
7	warmup	warmup	8.92	None	None	None	None	None	None	None	70.5383	591.5718
8	warmup	warmup	8.92	None	None	None	None	None	None	None	75.8001	667.3794
9	warmup	warmup	8.92	None	None	None	None	None	None	None	74.0647	741.4519
10	warmup	warmup	8.92	None	None	None	None	None	None	None	74.6089	816.0696
11	warmup	warmup	8.92	None	None	None	None	None	None	None	70.7285	886.8064
12	warmup	warmup	8.92	None	None	None	None	None	None	None	77.2980	964.1120
13	warmup	warmup	8.92	None	None	None	None	None	None	None	74.9139	1039.0358
14	warmup	warmup	8.92	None	None	None	None	None	None	None	75.3159	1114.3603
15	warmup	warmup	8.92	None	None	None	None	None	None	None	77.3561	1191.7242
16	warmup	warmup	8.92	None	None	None	None	None	None	None	74.4249	1266.1567
17	warmup	warmup	8.92	None	None	None	None	None	None	None	73.1056	1339.2705
18	warmup	warmup	8.92	None	None	None	None	None	None	None	75.3132	1414.5916
19	warmup	warmup	12.51	None	None	None	None	None	None	None	175.4025	1590.0024
20	stage_1	0	91.17	98.172	98.172	91.16	82.319	96.039	65.0	0.894	60.4791	1650.4959
21	stage_1	0	97.39	98.172	98.172	91.16	82.319	96.039	65.0	0.894	58.2322	1708.7376
22	stage_1	0	97.83	98.172	98.172	91.16	82.319	96.039	65.0	0.894	62.4428	1771.1876
23	stage_1	0	98.29	98.172	98.172	91.16	82.319	96.039	65.0	0.894	57.8171	1829.0131
24	stage_1	0	98.38	98.172	98.172	91.16	82.319	96.039	65.0	0.894	59.0866	1888.1066
25	stage_1	0	98.53	98.172	98.172	91.16	82.319	96.039	65.0	0.894	60.9054	1949.0184
26	stage_1	0	98.54	98.172	98.172	91.16	82.319	96.039	65.0	0.894	58.5642	2007.5924
27	stage_1	0	98.68	98.172	98.172	91.16	82.319	96.039	65.0	0.894	61.1617	2068.7606
28	stage_1	0	98.72	98.172	98.172	91.16	82.319	96.039	65.0	0.894	57.0438	2125.8126
29	stage_1	0	98.74	98.172	98.172	91.16	82.319	96.039	65.0	0.894	57.3050	2183.1242
30	stage_1	0	98.79	98.172	98.172	91.16	82.319	96.039	65.0	0.894	60.6114	2243.7438
31	stage_1	0	98.86	98.172	98.172	91.16	82.319	96.039	65.0	0.894	58.0356	2301.7876
32	stage_1	0	98.81	98.172	98.172	91.16	82.319	96.039	65.0	0.894	59.2281	2361.0260
33	stage_1	0	98.87	98.172	98.172	91.16	82.319	96.039	65.0	0.894	58.4929	2419.5287
34	stage_1	0	98.94	98.172	98.172	91.16	82.319	96.039	65.0	0.894	55.6787	2475.2141
35	stage_1	0	98.84	98.172	98.172	91.16	82.319	96.039	65.0	0.894	60.6426	2535.8647
36	stage_1	0	98.9	98.172	98.172	91.16	82.319	96.039	65.0	0.894	56.7980	2592.6708
37	stage_1	0	98.86	98.172	98.172	91.16	82.319	96.039	65.0	0.894	57.7611	2650.4400
38	stage_1	0	98.92	98.172	98.172	91.16	82.319	96.039	65.0	0.894	133.3283	2783.7765
39	stage_2	1	99.07	99.974	99.974	92.833	85.667	99.944	65.0	0.99	56.5614	2840.3456
40	stage_2	1	99.16	99.974	99.974	92.833	85.667	99.944	65.0	0.99	57.7929	2898.1508
41	stage_2	1	99.2	99.974	99.974	92.833	85.667	99.944	65.0	0.99	55.0464	2953.2061
42	stage_2	1	99.23	99.974	99.974	92.833	85.667	99.944	65.0	0.99	56.8667	3010.0799
43	stage_2	1	99.26	99.974	99.974	92.833	85.667	99.944	65.0	0.99	55.1618	3065.2498
44	stage_2	1	99.26	99.974	99.974	92.833	85.667	99.944	65.0	0.99	57.9822	3123.2389
45	stage_2	1	99.24	99.974	99.974	92.833	85.667	99.944	65.0	0.99	54.9476	3178.1946
46	stage_2	1	99.28	99.974	99.974	92.833	85.667	99.944	65.0	0.99	56.4780	3234.6797
47	stage_2	1	99.25	99.974	99.974	92.833	85.667	99.944	65.0	0.99	54.9750	3289.6629
48	stage_2	1	99.28	99.974	99.974	92.833	85.667	99.944	65.0	0.99	56.6771	3346.3469
49	stage_2	1	99.27	99.974	99.974	92.833	85.667	99.944	65.0	0.99	55.5487	3401.9216
50	stage_2	1	99.28	99.974	99.974	92.833	85.667	99.944	65.0	0.99	55.7014	3457.6314
51	stage_2	1	99.31	99.974	99.974	92.833	85.667	99.944	65.0	0.99	55.7401	3513.3809
52	stage_2	1	99.27	99.974	99.974	92.833	85.667	99.944	65.0	0.99	55.6528	3569.0416
53	stage_2	1	99.28	99.974	99.974	92.833	85.667	99.944	65.0	0.99	54.3684	3623.4205
54	stage_2	1	99.28	99.974	99.974	92.833	85.667	99.944	65.0	0.99	54.6462	3678.0741
55	stage_2	1	99.3	99.974	99.974	92.833	85.667	99.944	65.0	0.99	56.2464	3734.3279
56	stage_2	1	99.3	99.974	99.974	92.833	85.667	99.944	65.0	0.99	55.6460	3789.9833
57	stage_2	1	99.31	99.974	99.974	92.833	85.667	99.944	65.0	0.99	107.5015	3897.4920
58	stage_3	2	99.34	99.987	99.987	92.845	85.69	99.972	65.0	0.996	56.0091	3953.5099
