========================================================================================================================
Training started at: 2026-04-09 07:01:56
Result directory: results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.txt
Result log file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 001/210] Phase=standard | Stage=warmup | Acc=11.350 | RoundTime=33.77s | TotalTime=33.78s | Method=fedgloss
[Round 002/210] Phase=standard | Stage=warmup | Acc=70.540 | RoundTime=26.30s | TotalTime=60.09s | Method=fedgloss
[Round 003/210] Phase=standard | Stage=warmup | Acc=94.330 | RoundTime=29.32s | TotalTime=89.42s | Method=fedgloss
[Round 004/210] Phase=standard | Stage=warmup | Acc=96.900 | RoundTime=31.29s | TotalTime=120.72s | Method=fedgloss
[Round 005/210] Phase=standard | Stage=warmup | Acc=97.460 | RoundTime=31.49s | TotalTime=152.21s | Method=fedgloss
[Round 006/210] Phase=standard | Stage=warmup | Acc=97.950 | RoundTime=32.82s | TotalTime=185.04s | Method=fedgloss
[Round 007/210] Phase=standard | Stage=warmup | Acc=98.160 | RoundTime=30.90s | TotalTime=215.94s | Method=fedgloss
[Round 008/210] Phase=standard | Stage=warmup | Acc=98.330 | RoundTime=32.57s | TotalTime=248.52s | Method=fedgloss
[Round 009/210] Phase=standard | Stage=warmup | Acc=98.180 | RoundTime=31.70s | TotalTime=280.23s | Method=fedgloss
[Round 010/210] Phase=standard | Stage=warmup | Acc=98.550 | RoundTime=31.01s | TotalTime=311.25s | Method=fedgloss
[Round 011/210] Phase=standard | Stage=warmup | Acc=98.650 | RoundTime=32.22s | TotalTime=343.48s | Method=fedgloss
[Round 012/210] Phase=standard | Stage=warmup | Acc=98.890 | RoundTime=30.31s | TotalTime=373.80s | Method=fedgloss
[Round 013/210] Phase=standard | Stage=warmup | Acc=98.770 | RoundTime=31.76s | TotalTime=405.57s | Method=fedgloss
[Round 014/210] Phase=standard | Stage=warmup | Acc=98.970 | RoundTime=31.71s | TotalTime=437.29s | Method=fedgloss
[Round 015/210] Phase=standard | Stage=warmup | Acc=98.930 | RoundTime=31.39s | TotalTime=468.69s | Method=fedgloss
[Round 016/210] Phase=standard | Stage=warmup | Acc=98.960 | RoundTime=32.22s | TotalTime=500.91s | Method=fedgloss
[Round 017/210] Phase=standard | Stage=warmup | Acc=99.060 | RoundTime=30.73s | TotalTime=531.66s | Method=fedgloss
