epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	None	56.9195	56.9198
1	27.26	None	56.8646	113.7847
2	77.73	None	56.8734	170.6583
3	94.34	None	56.9426	227.6012
4	92.11	None	55.8726	283.4743
5	91.06	None	57.8287	341.3033
6	85.4	None	57.4447	398.7483
7	91.14	None	57.3002	456.0488
8	87.08	None	58.0398	514.0889
9	91.34	None	55.1490	569.2383
10	93.83	None	55.6949	624.9348
11	86.83	None	56.0352	680.9703
12	92.29	None	55.5677	736.5383
13	90.3	None	57.1618	793.7003
14	91.43	None	55.6542	849.3549
15	90.67	None	55.7137	905.0689
16	91.8	None	57.4686	962.5379
17	93.73	None	57.8207	1020.3590
18	93.26	None	57.1151	1077.4744
19	90.89	None	54.9837	1132.4584
20	92.16	None	56.1208	1188.5794
21	88.4	None	57.3018	1245.8814
22	92.55	None	55.8010	1301.6827
23	90.54	None	55.3663	1357.0492
24	89.05	None	54.5550	1411.6046
25	91.13	None	54.5473	1466.1523
26	95.17	None	54.5332	1520.6858
27	89.32	None	56.4497	1577.1358
28	93.76	None	55.1229	1632.2591
29	93.49	None	55.0514	1687.3109
30	91.82	None	55.2855	1742.5966
31	91.92	None	56.0330	1798.6299
32	92.83	None	55.2984	1853.9287
33	93.31	None	56.9820	1910.9110
34	92.02	None	56.1473	1967.0587
35	93.79	None	57.0670	2024.1260
36	92.64	None	55.4148	2079.5410
37	94.24	None	54.9344	2134.4758
38	91.24	None	56.3972	2190.8733
39	89.17	None	55.3476	2246.2211
40	92.74	None	56.5117	2302.7331
41	90.64	None	57.3272	2360.0606
42	94.36	None	57.1064	2417.1672
43	93.2	None	56.6912	2473.8588
44	92.57	None	56.2588	2530.1179
45	92.84	None	57.0219	2587.1402
46	93.77	None	57.0706	2644.2110
47	93.07	None	56.7135	2700.9247
48	93.62	None	57.1182	2758.0432
49	93.97	None	58.8290	2816.8726
50	93.12	None	57.6830	2874.5559
51	90.73	None	57.0291	2931.5853
52	92.09	None	56.5210	2988.1065
53	92.26	None	59.7146	3047.8214
54	92.15	None	58.7564	3106.5817
55	93.32	None	58.4951	3165.0772
56	87.33	None	58.0250	3223.1025
57	92.06	None	57.2578	3280.3606
58	93.36	None	57.2321	3337.5929
59	93.14	None	55.9903	3393.5835
60	93.0	None	57.2238	3450.8080
61	93.1	None	55.8773	3506.6856
62	93.65	None	55.5642	3562.2501
63	92.09	None	56.0466	3618.2969
64	92.18	None	56.3607	3674.6580
65	90.49	None	56.3993	3731.0576
66	93.31	None	56.8355	3787.8934
67	93.27	None	55.8433	3843.7370
68	93.08	None	55.3589	3899.0961
69	93.51	None	55.6825	3954.7789
70	91.71	None	55.2027	4009.9833
71	93.83	None	53.6829	4063.6664
72	94.02	None	55.6229	4119.2896
73	91.84	None	54.7668	4174.0567
74	93.23	None	53.8385	4227.8954
75	93.62	None	54.3112	4282.2069
76	92.74	None	51.4677	4333.6749
77	92.91	None	43.4176	4377.0927
78	92.02	None	43.4401	4420.5330
79	91.99	None	44.8028	4465.3361
80	92.76	None	43.8805	4509.2169
81	93.99	None	44.3028	4553.5200
82	92.52	None	44.1850	4597.7054
83	92.74	None	44.5736	4642.2793
84	94.31	None	45.1313	4687.4108
85	94.24	None	45.1117	4732.5227
86	92.89	None	45.3496	4777.8726
87	93.08	None	44.5897	4822.4627
88	93.71	None	45.0789	4867.5419
89	93.78	None	45.0812	4912.6234
90	93.28	None	44.0673	4956.6910
91	93.09	None	44.1809	5000.8722
92	92.63	None	45.7200	5046.5925
93	92.61	None	46.3226	5092.9154
94	93.65	None	44.8814	5137.7971
95	92.8	None	45.4085	5183.2058
96	93.59	None	48.0561	5231.2636
97	92.78	None	47.5176	5278.7814
98	92.34	None	48.8870	5327.6687
99	92.01	None	47.6278	5375.2968
