====================================================================================================
Training started at: 2026-03-13 12:30:56
Result directory: results/fl_mnist/fedprox
Result txt file : results/fl_mnist/fedprox/model=fedprox_dataset=fl_mnist_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.8_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-123056.txt
Result log file : results/fl_mnist/fedprox/model=fedprox_dataset=fl_mnist_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.8_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-123056.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | RoundTime=61.16s | TotalTime=61.16s | Method=fedprox
[Round 002/100] Acc=69.840 | RoundTime=62.00s | TotalTime=123.15s | Method=fedprox
[Round 003/100] Acc=93.090 | RoundTime=62.99s | TotalTime=186.15s | Method=fedprox
[Round 004/100] Acc=92.590 | RoundTime=62.98s | TotalTime=249.13s | Method=fedprox
[Round 005/100] Acc=94.870 | RoundTime=65.17s | TotalTime=314.30s | Method=fedprox
[Round 006/100] Acc=95.950 | RoundTime=64.14s | TotalTime=378.44s | Method=fedprox
[Round 007/100] Acc=96.380 | RoundTime=63.58s | TotalTime=442.03s | Method=fedprox
[Round 008/100] Acc=93.350 | RoundTime=64.79s | TotalTime=506.81s | Method=fedprox
[Round 009/100] Acc=95.890 | RoundTime=63.08s | TotalTime=569.89s | Method=fedprox
[Round 010/100] Acc=95.110 | RoundTime=63.77s | TotalTime=633.67s | Method=fedprox
[Round 011/100] Acc=90.650 | RoundTime=63.18s | TotalTime=696.85s | Method=fedprox
[Round 012/100] Acc=95.170 | RoundTime=62.39s | TotalTime=759.23s | Method=fedprox
[Round 013/100] Acc=94.340 | RoundTime=64.20s | TotalTime=823.44s | Method=fedprox
[Round 014/100] Acc=95.130 | RoundTime=63.30s | TotalTime=886.74s | Method=fedprox
[Round 015/100] Acc=95.060 | RoundTime=63.45s | TotalTime=950.18s | Method=fedprox
[Round 016/100] Acc=93.560 | RoundTime=63.89s | TotalTime=1014.08s | Method=fedprox
[Round 017/100] Acc=94.580 | RoundTime=62.91s | TotalTime=1076.98s | Method=fedprox
[Round 018/100] Acc=93.630 | RoundTime=62.90s | TotalTime=1139.88s | Method=fedprox
[Round 019/100] Acc=93.820 | RoundTime=64.35s | TotalTime=1204.23s | Method=fedprox
[Round 020/100] Acc=92.510 | RoundTime=62.53s | TotalTime=1266.76s | Method=fedprox
[Round 021/100] Acc=92.390 | RoundTime=62.89s | TotalTime=1329.65s | Method=fedprox
[Round 022/100] Acc=94.100 | RoundTime=64.80s | TotalTime=1394.45s | Method=fedprox
[Round 023/100] Acc=95.910 | RoundTime=63.79s | TotalTime=1458.24s | Method=fedprox
[Round 024/100] Acc=95.180 | RoundTime=63.67s | TotalTime=1521.91s | Method=fedprox
[Round 025/100] Acc=94.720 | RoundTime=63.57s | TotalTime=1585.48s | Method=fedprox
[Round 026/100] Acc=95.200 | RoundTime=63.49s | TotalTime=1648.97s | Method=fedprox
[Round 027/100] Acc=95.070 | RoundTime=63.80s | TotalTime=1712.77s | Method=fedprox
[Round 028/100] Acc=93.590 | RoundTime=63.20s | TotalTime=1775.97s | Method=fedprox
[Round 029/100] Acc=95.760 | RoundTime=64.88s | TotalTime=1840.86s | Method=fedprox
[Round 030/100] Acc=95.910 | RoundTime=62.53s | TotalTime=1903.39s | Method=fedprox
[Round 031/100] Acc=96.020 | RoundTime=64.28s | TotalTime=1967.66s | Method=fedprox
[Round 032/100] Acc=95.460 | RoundTime=63.30s | TotalTime=2030.97s | Method=fedprox
[Round 033/100] Acc=95.640 | RoundTime=62.63s | TotalTime=2093.60s | Method=fedprox
[Round 034/100] Acc=95.800 | RoundTime=63.13s | TotalTime=2156.73s | Method=fedprox
[Round 035/100] Acc=95.430 | RoundTime=62.66s | TotalTime=2219.39s | Method=fedprox
[Round 036/100] Acc=95.320 | RoundTime=62.70s | TotalTime=2282.09s | Method=fedprox
[Round 037/100] Acc=95.920 | RoundTime=64.02s | TotalTime=2346.11s | Method=fedprox
[Round 038/100] Acc=95.130 | RoundTime=63.18s | TotalTime=2409.29s | Method=fedprox
[Round 039/100] Acc=94.700 | RoundTime=64.17s | TotalTime=2473.46s | Method=fedprox
[Round 040/100] Acc=95.300 | RoundTime=62.47s | TotalTime=2535.93s | Method=fedprox
[Round 041/100] Acc=95.160 | RoundTime=62.04s | TotalTime=2597.98s | Method=fedprox
[Round 042/100] Acc=95.340 | RoundTime=62.95s | TotalTime=2660.93s | Method=fedprox
[Round 043/100] Acc=94.560 | RoundTime=63.53s | TotalTime=2724.46s | Method=fedprox
[Round 044/100] Acc=95.850 | RoundTime=63.63s | TotalTime=2788.08s | Method=fedprox
[Round 045/100] Acc=95.120 | RoundTime=62.26s | TotalTime=2850.34s | Method=fedprox
[Round 046/100] Acc=95.090 | RoundTime=61.74s | TotalTime=2912.08s | Method=fedprox
[Round 047/100] Acc=95.650 | RoundTime=62.54s | TotalTime=2974.63s | Method=fedprox
[Round 048/100] Acc=94.850 | RoundTime=62.90s | TotalTime=3037.54s | Method=fedprox
[Round 049/100] Acc=94.290 | RoundTime=63.28s | TotalTime=3100.82s | Method=fedprox
[Round 050/100] Acc=95.930 | RoundTime=62.57s | TotalTime=3163.39s | Method=fedprox
[Round 051/100] Acc=95.130 | RoundTime=64.19s | TotalTime=3227.59s | Method=fedprox
[Round 052/100] Acc=95.410 | RoundTime=63.29s | TotalTime=3290.88s | Method=fedprox
[Round 053/100] Acc=95.490 | RoundTime=62.60s | TotalTime=3353.48s | Method=fedprox
[Round 054/100] Acc=94.990 | RoundTime=61.78s | TotalTime=3415.27s | Method=fedprox
[Round 055/100] Acc=95.290 | RoundTime=63.23s | TotalTime=3478.49s | Method=fedprox
[Round 056/100] Acc=94.730 | RoundTime=62.06s | TotalTime=3540.55s | Method=fedprox
[Round 057/100] Acc=94.980 | RoundTime=62.81s | TotalTime=3603.36s | Method=fedprox
[Round 058/100] Acc=94.220 | RoundTime=62.65s | TotalTime=3666.01s | Method=fedprox
[Round 059/100] Acc=94.910 | RoundTime=62.26s | TotalTime=3728.27s | Method=fedprox
[Round 060/100] Acc=93.910 | RoundTime=62.87s | TotalTime=3791.13s | Method=fedprox
[Round 061/100] Acc=94.010 | RoundTime=63.23s | TotalTime=3854.36s | Method=fedprox
[Round 062/100] Acc=95.390 | RoundTime=63.71s | TotalTime=3918.08s | Method=fedprox
[Round 063/100] Acc=94.960 | RoundTime=63.55s | TotalTime=3981.63s | Method=fedprox
[Round 064/100] Acc=95.010 | RoundTime=62.08s | TotalTime=4043.71s | Method=fedprox
[Round 065/100] Acc=94.050 | RoundTime=63.96s | TotalTime=4107.67s | Method=fedprox
[Round 066/100] Acc=95.240 | RoundTime=64.21s | TotalTime=4171.88s | Method=fedprox
[Round 067/100] Acc=94.530 | RoundTime=63.10s | TotalTime=4234.98s | Method=fedprox
[Round 068/100] Acc=95.080 | RoundTime=63.06s | TotalTime=4298.04s | Method=fedprox
[Round 069/100] Acc=94.970 | RoundTime=63.26s | TotalTime=4361.30s | Method=fedprox
[Round 070/100] Acc=95.100 | RoundTime=62.13s | TotalTime=4423.43s | Method=fedprox
[Round 071/100] Acc=94.580 | RoundTime=63.38s | TotalTime=4486.81s | Method=fedprox
[Round 072/100] Acc=95.640 | RoundTime=63.42s | TotalTime=4550.23s | Method=fedprox
[Round 073/100] Acc=94.530 | RoundTime=63.84s | TotalTime=4614.07s | Method=fedprox
[Round 074/100] Acc=94.760 | RoundTime=62.98s | TotalTime=4677.05s | Method=fedprox
[Round 075/100] Acc=93.830 | RoundTime=61.90s | TotalTime=4738.95s | Method=fedprox
[Round 076/100] Acc=94.560 | RoundTime=62.02s | TotalTime=4800.97s | Method=fedprox
[Round 077/100] Acc=94.090 | RoundTime=62.20s | TotalTime=4863.17s | Method=fedprox
[Round 078/100] Acc=95.450 | RoundTime=61.82s | TotalTime=4924.99s | Method=fedprox
[Round 079/100] Acc=94.340 | RoundTime=60.75s | TotalTime=4985.74s | Method=fedprox
[Round 080/100] Acc=94.900 | RoundTime=60.45s | TotalTime=5046.19s | Method=fedprox
[Round 081/100] Acc=95.290 | RoundTime=51.83s | TotalTime=5098.02s | Method=fedprox
[Round 082/100] Acc=94.890 | RoundTime=51.30s | TotalTime=5149.31s | Method=fedprox
[Round 083/100] Acc=95.050 | RoundTime=50.82s | TotalTime=5200.13s | Method=fedprox
[Round 084/100] Acc=94.800 | RoundTime=50.83s | TotalTime=5250.97s | Method=fedprox
[Round 085/100] Acc=94.390 | RoundTime=50.61s | TotalTime=5301.57s | Method=fedprox
[Round 086/100] Acc=94.770 | RoundTime=50.07s | TotalTime=5351.65s | Method=fedprox
[Round 087/100] Acc=94.510 | RoundTime=50.84s | TotalTime=5402.48s | Method=fedprox
[Round 088/100] Acc=94.140 | RoundTime=50.64s | TotalTime=5453.12s | Method=fedprox
[Round 089/100] Acc=94.610 | RoundTime=50.44s | TotalTime=5503.56s | Method=fedprox
[Round 090/100] Acc=94.800 | RoundTime=49.97s | TotalTime=5553.52s | Method=fedprox
[Round 091/100] Acc=94.140 | RoundTime=50.12s | TotalTime=5603.64s | Method=fedprox
[Round 092/100] Acc=94.700 | RoundTime=49.41s | TotalTime=5653.05s | Method=fedprox
[Round 093/100] Acc=94.640 | RoundTime=49.42s | TotalTime=5702.48s | Method=fedprox
[Round 094/100] Acc=93.420 | RoundTime=50.19s | TotalTime=5752.67s | Method=fedprox
[Round 095/100] Acc=94.790 | RoundTime=49.87s | TotalTime=5802.54s | Method=fedprox
[Round 096/100] Acc=94.540 | RoundTime=48.87s | TotalTime=5851.41s | Method=fedprox
[Round 097/100] Acc=94.410 | RoundTime=49.48s | TotalTime=5900.89s | Method=fedprox
[Round 098/100] Acc=94.170 | RoundTime=49.24s | TotalTime=5950.12s | Method=fedprox
[Round 099/100] Acc=94.130 | RoundTime=50.07s | TotalTime=6000.19s | Method=fedprox
[Round 100/100] Acc=94.610 | RoundTime=50.73s | TotalTime=6050.92s | Method=fedprox
====================================================================================================
Training finished at: 2026-03-13 14:11:47
Total elapsed time: 6050.93s
Final Acc: 94.610
Best Acc : 96.380
====================================================================================================
