epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	None	60.9051	60.9053
1	30.31	None	58.7150	119.6206
2	63.77	None	59.3714	178.9923
3	87.88	None	58.6144	237.6070
4	88.33	None	58.9595	296.5668
5	69.64	None	58.3892	354.9563
6	75.32	None	58.3960	413.3526
7	78.8	None	60.4362	473.7891
8	78.05	None	61.7618	535.5512
9	79.53	None	59.5537	595.1052
10	82.47	None	59.7684	654.8739
11	80.48	None	60.5233	715.3975
12	84.86	None	60.3483	775.7461
13	78.54	None	61.7826	837.5291
14	83.93	None	61.8163	899.3458
15	79.69	None	63.2584	962.6045
16	80.29	None	63.4127	1026.0177
17	79.59	None	64.5179	1090.5359
18	76.7	None	63.7664	1154.3026
19	77.96	None	62.3054	1216.6084
20	77.6	None	61.7547	1278.3648
21	79.14	None	63.2608	1341.6261
22	73.15	None	63.5454	1405.1717
23	61.03	None	62.5683	1467.7404
24	74.21	None	63.2120	1530.9527
25	84.95	None	62.5812	1593.5342
26	83.01	None	63.7543	1657.2889
27	78.6	None	63.9332	1721.2224
28	77.86	None	64.5879	1785.8106
29	79.98	None	62.8338	1848.6448
30	84.65	None	64.0587	1912.7040
31	76.48	None	62.2305	1974.9349
32	79.04	None	62.4284	2037.3637
33	82.5	None	61.0318	2098.3959
34	80.07	None	62.4934	2160.8898
35	79.19	None	62.6988	2223.5890
36	83.89	None	62.1796	2285.7701
37	87.49	None	63.1680	2348.9386
38	76.37	None	63.1749	2412.1162
39	80.94	None	61.6115	2473.7281
40	82.31	None	62.3025	2536.0310
41	82.39	None	62.4622	2598.4935
42	77.88	None	84.1155	2682.6094
43	79.03	None	112.4611	2795.0709
44	84.9	None	112.9398	2908.0120
45	83.38	None	115.2606	3023.2729
46	87.24	None	117.7523	3141.0255
47	86.85	None	117.2104	3258.2363
48	81.89	None	116.4539	3374.6921
49	83.84	None	116.7863	3491.4787
50	74.84	None	116.0310	3607.5100
51	85.11	None	116.6520	3724.1624
52	78.91	None	116.1403	3840.3032
53	76.87	None	116.4556	3956.7590
54	82.75	None	116.5985	4073.3578
55	83.34	None	115.2972	4188.6553
56	85.87	None	116.6033	4305.2589
57	77.83	None	116.8747	4422.1340
58	86.2	None	117.2975	4539.4319
59	79.9	None	116.1052	4655.5374
60	78.1	None	115.4236	4770.9614
61	81.34	None	116.0559	4887.0176
62	85.1	None	115.0766	5002.0946
63	82.39	None	114.3432	5116.4381
64	78.67	None	115.2378	5231.6763
65	73.94	None	117.5372	5349.2140
66	82.97	None	117.3052	5466.5204
67	85.21	None	114.9630	5581.4838
68	82.27	None	114.3851	5695.8692
69	85.2	None	117.5753	5813.4448
70	80.93	None	116.8268	5930.2720
71	76.89	None	115.9217	6046.1940
72	81.29	None	112.6281	6158.8224
73	83.77	None	115.7941	6274.6170
74	83.31	None	115.9160	6390.5334
75	81.67	None	116.7223	6507.2560
76	83.68	None	116.2127	6623.4690
77	81.63	None	116.5618	6740.0311
78	81.06	None	117.2471	6857.2786
79	78.13	None	115.8309	6973.1099
80	79.74	None	117.2352	7090.3454
81	79.46	None	109.2280	7199.5737
82	82.15	None	96.4234	7295.9974
83	84.69	None	96.0584	7392.0560
84	85.03	None	95.3748	7487.4312
85	80.99	None	95.6783	7583.1100
86	78.04	None	99.6349	7682.7453
87	86.89	None	97.2077	7779.9533
88	83.74	None	96.9072	7876.8608
89	82.69	None	96.0769	7972.9380
90	84.61	None	94.7297	8067.6681
91	83.88	None	96.0125	8163.6809
92	84.76	None	95.3672	8259.0485
93	84.58	None	95.6906	8354.7394
94	83.11	None	96.6690	8451.4087
95	82.74	None	95.5568	8546.9669
96	85.54	None	96.2306	8643.1978
97	84.21	None	96.2667	8739.4649
98	86.09	None	96.5620	8836.0272
99	86.11	None	95.9711	8931.9985
