====================================================================================================
Training started at: 2026-03-14 11:47:43
Result directory: results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-114743.txt
Result log file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-114743.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | RoundTime=99.36s | TotalTime=99.36s | Method=fedprox
[Round 002/100] Acc=26.910 | RoundTime=96.77s | TotalTime=196.12s | Method=fedprox
[Round 003/100] Acc=67.520 | RoundTime=96.68s | TotalTime=292.80s | Method=fedprox
[Round 004/100] Acc=71.380 | RoundTime=97.53s | TotalTime=390.34s | Method=fedprox
[Round 005/100] Acc=88.390 | RoundTime=98.01s | TotalTime=488.35s | Method=fedprox
[Round 006/100] Acc=76.500 | RoundTime=98.76s | TotalTime=587.11s | Method=fedprox
[Round 007/100] Acc=77.120 | RoundTime=96.82s | TotalTime=683.93s | Method=fedprox
[Round 008/100] Acc=80.560 | RoundTime=98.28s | TotalTime=782.20s | Method=fedprox
[Round 009/100] Acc=76.950 | RoundTime=98.20s | TotalTime=880.40s | Method=fedprox
[Round 010/100] Acc=73.160 | RoundTime=99.23s | TotalTime=979.63s | Method=fedprox
[Round 011/100] Acc=83.260 | RoundTime=98.29s | TotalTime=1077.92s | Method=fedprox
[Round 012/100] Acc=78.070 | RoundTime=96.50s | TotalTime=1174.42s | Method=fedprox
[Round 013/100] Acc=80.810 | RoundTime=97.10s | TotalTime=1271.52s | Method=fedprox
[Round 014/100] Acc=80.230 | RoundTime=97.87s | TotalTime=1369.39s | Method=fedprox
[Round 015/100] Acc=84.700 | RoundTime=98.42s | TotalTime=1467.81s | Method=fedprox
[Round 016/100] Acc=82.800 | RoundTime=97.73s | TotalTime=1565.54s | Method=fedprox
[Round 017/100] Acc=80.930 | RoundTime=97.56s | TotalTime=1663.10s | Method=fedprox
[Round 018/100] Acc=77.080 | RoundTime=97.76s | TotalTime=1760.86s | Method=fedprox
[Round 019/100] Acc=84.150 | RoundTime=97.87s | TotalTime=1858.73s | Method=fedprox
[Round 020/100] Acc=82.680 | RoundTime=98.64s | TotalTime=1957.37s | Method=fedprox
[Round 021/100] Acc=76.730 | RoundTime=98.36s | TotalTime=2055.73s | Method=fedprox
[Round 022/100] Acc=85.260 | RoundTime=98.25s | TotalTime=2153.98s | Method=fedprox
[Round 023/100] Acc=81.330 | RoundTime=97.53s | TotalTime=2251.51s | Method=fedprox
[Round 024/100] Acc=80.310 | RoundTime=99.10s | TotalTime=2350.60s | Method=fedprox
[Round 025/100] Acc=80.920 | RoundTime=98.90s | TotalTime=2449.50s | Method=fedprox
[Round 026/100] Acc=80.040 | RoundTime=97.76s | TotalTime=2547.26s | Method=fedprox
[Round 027/100] Acc=72.440 | RoundTime=97.63s | TotalTime=2644.89s | Method=fedprox
[Round 028/100] Acc=83.970 | RoundTime=97.01s | TotalTime=2741.90s | Method=fedprox
[Round 029/100] Acc=76.080 | RoundTime=98.53s | TotalTime=2840.43s | Method=fedprox
[Round 030/100] Acc=72.050 | RoundTime=98.56s | TotalTime=2938.99s | Method=fedprox
[Round 031/100] Acc=81.780 | RoundTime=98.64s | TotalTime=3037.63s | Method=fedprox
[Round 032/100] Acc=85.570 | RoundTime=96.64s | TotalTime=3134.27s | Method=fedprox
[Round 033/100] Acc=78.430 | RoundTime=97.22s | TotalTime=3231.50s | Method=fedprox
[Round 034/100] Acc=81.420 | RoundTime=96.93s | TotalTime=3328.42s | Method=fedprox
[Round 035/100] Acc=78.850 | RoundTime=98.63s | TotalTime=3427.06s | Method=fedprox
[Round 036/100] Acc=79.140 | RoundTime=97.81s | TotalTime=3524.86s | Method=fedprox
[Round 037/100] Acc=83.030 | RoundTime=98.60s | TotalTime=3623.46s | Method=fedprox
[Round 038/100] Acc=83.660 | RoundTime=97.52s | TotalTime=3720.98s | Method=fedprox
[Round 039/100] Acc=77.890 | RoundTime=97.40s | TotalTime=3818.38s | Method=fedprox
[Round 040/100] Acc=77.770 | RoundTime=97.67s | TotalTime=3916.05s | Method=fedprox
[Round 041/100] Acc=83.660 | RoundTime=98.15s | TotalTime=4014.19s | Method=fedprox
[Round 042/100] Acc=80.300 | RoundTime=98.79s | TotalTime=4112.98s | Method=fedprox
[Round 043/100] Acc=83.730 | RoundTime=96.95s | TotalTime=4209.93s | Method=fedprox
[Round 044/100] Acc=83.500 | RoundTime=97.96s | TotalTime=4307.89s | Method=fedprox
[Round 045/100] Acc=76.760 | RoundTime=99.13s | TotalTime=4407.03s | Method=fedprox
[Round 046/100] Acc=79.110 | RoundTime=98.78s | TotalTime=4505.81s | Method=fedprox
[Round 047/100] Acc=80.380 | RoundTime=97.44s | TotalTime=4603.25s | Method=fedprox
[Round 048/100] Acc=82.200 | RoundTime=96.83s | TotalTime=4700.07s | Method=fedprox
[Round 049/100] Acc=77.940 | RoundTime=97.68s | TotalTime=4797.75s | Method=fedprox
[Round 050/100] Acc=73.180 | RoundTime=98.51s | TotalTime=4896.26s | Method=fedprox
[Round 051/100] Acc=77.610 | RoundTime=97.61s | TotalTime=4993.88s | Method=fedprox
