========================================================================================================================
Training started at: 2026-04-08 11:21:56
Result directory: results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01
Result txt file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_mnist_20260408-112156-125965_pid3433559.txt
Result log file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_mnist_20260408-112156-125965_pid3433559.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.01
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=11.350 | RoundTime=55.25s | TotalTime=55.26s | Method=fedprox
[Round 002/100] Phase=standard | Stage=warmup | Acc=11.350 | RoundTime=52.57s | TotalTime=107.85s | Method=fedprox
[Round 003/100] Phase=standard | Stage=warmup | Acc=63.630 | RoundTime=52.36s | TotalTime=160.25s | Method=fedprox
[Round 004/100] Phase=standard | Stage=warmup | Acc=87.940 | RoundTime=52.61s | TotalTime=212.87s | Method=fedprox
[Round 005/100] Phase=standard | Stage=warmup | Acc=91.910 | RoundTime=51.93s | TotalTime=264.86s | Method=fedprox
[Round 006/100] Phase=standard | Stage=warmup | Acc=93.260 | RoundTime=52.51s | TotalTime=317.39s | Method=fedprox
[Round 007/100] Phase=standard | Stage=warmup | Acc=93.780 | RoundTime=49.99s | TotalTime=367.43s | Method=fedprox
[Round 008/100] Phase=standard | Stage=warmup | Acc=95.840 | RoundTime=51.71s | TotalTime=419.17s | Method=fedprox
[Round 009/100] Phase=standard | Stage=warmup | Acc=95.940 | RoundTime=52.11s | TotalTime=471.34s | Method=fedprox
[Round 010/100] Phase=standard | Stage=warmup | Acc=96.540 | RoundTime=52.11s | TotalTime=523.48s | Method=fedprox
[Round 011/100] Phase=standard | Stage=warmup | Acc=97.060 | RoundTime=52.23s | TotalTime=575.73s | Method=fedprox
[Round 012/100] Phase=standard | Stage=warmup | Acc=96.580 | RoundTime=52.08s | TotalTime=627.86s | Method=fedprox
[Round 013/100] Phase=standard | Stage=warmup | Acc=97.290 | RoundTime=46.40s | TotalTime=674.29s | Method=fedprox
[Round 014/100] Phase=standard | Stage=warmup | Acc=97.280 | RoundTime=51.20s | TotalTime=725.51s | Method=fedprox
[Round 015/100] Phase=standard | Stage=warmup | Acc=97.600 | RoundTime=48.79s | TotalTime=774.33s | Method=fedprox
[Round 016/100] Phase=standard | Stage=warmup | Acc=97.810 | RoundTime=56.00s | TotalTime=830.35s | Method=fedprox
[Round 017/100] Phase=standard | Stage=warmup | Acc=97.930 | RoundTime=55.28s | TotalTime=885.64s | Method=fedprox
[Round 018/100] Phase=standard | Stage=warmup | Acc=97.800 | RoundTime=57.16s | TotalTime=942.82s | Method=fedprox
[Round 019/100] Phase=standard | Stage=warmup | Acc=97.890 | RoundTime=55.25s | TotalTime=998.08s | Method=fedprox
[Round 020/100] Phase=standard | Stage=warmup | Acc=98.120 | RoundTime=55.19s | TotalTime=1053.29s | Method=fedprox
