epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	11.35	None	None	None	None	None	None	None	227.6626	227.6689
1	standard	warmup	79.47	None	None	None	None	None	None	None	226.3763	454.0526
2	standard	warmup	95.85	None	None	None	None	None	None	None	229.4112	683.4700
3	standard	warmup	97.61	None	None	None	None	None	None	None	227.3706	910.8468
4	standard	warmup	98.22	None	None	None	None	None	None	None	224.1993	1135.0560
5	standard	warmup	98.15	None	None	None	None	None	None	None	226.4259	1361.4950
6	standard	warmup	98.17	None	None	None	None	None	None	None	225.9093	1587.4141
7	standard	warmup	97.63	None	None	None	None	None	None	None	227.4107	1814.8351
8	standard	warmup	96.71	None	None	None	None	None	None	None	228.2290	2043.0741
9	standard	warmup	95.22	None	None	None	None	None	None	None	227.3036	2270.3840
10	standard	warmup	92.76	None	None	None	None	None	None	None	226.7928	2497.1835
11	standard	warmup	89.46	None	None	None	None	None	None	None	225.4715	2722.6613
12	standard	warmup	86.74	None	None	None	None	None	None	None	224.9379	2947.6117
13	standard	warmup	85.55	None	None	None	None	None	None	None	227.1884	3174.8091
14	standard	warmup	82.28	None	None	None	None	None	None	None	226.5285	3401.3451
15	standard	warmup	81.81	None	None	None	None	None	None	None	228.8934	3630.2473
16	standard	warmup	80.65	None	None	None	None	None	None	None	227.7278	3857.9825
17	standard	warmup	79.43	None	None	None	None	None	None	None	227.1053	4085.0956
18	standard	warmup	79.03	None	None	None	None	None	None	None	230.2981	4315.4024
19	standard	warmup	78.54	None	None	None	None	None	None	None	228.4439	4543.8550
20	standard	warmup	77.47	None	None	None	None	None	None	None	225.5775	4769.4416
21	standard	warmup	77.05	None	None	None	None	None	None	None	226.9352	4996.3857
22	standard	warmup	77.33	None	None	None	None	None	None	None	226.7529	5223.1463
23	standard	warmup	76.76	None	None	None	None	None	None	None	227.3010	5450.4581
24	standard	warmup	76.6	None	None	None	None	None	None	None	226.5465	5677.0120
25	standard	warmup	76.3	None	None	None	None	None	None	None	227.2862	5904.3066
26	standard	warmup	76.65	None	None	None	None	None	None	None	227.1472	6131.4616
27	standard	warmup	76.19	None	None	None	None	None	None	None	228.1928	6359.6633
28	standard	warmup	75.78	None	None	None	None	None	None	None	223.1515	6582.8225
29	standard	warmup	75.49	None	None	None	None	None	None	None	229.6355	6812.4658
30	standard	warmup	75.19	None	None	None	None	None	None	None	228.8176	7041.2912
31	standard	warmup	74.82	None	None	None	None	None	None	None	225.8589	7267.1576
32	standard	warmup	74.87	None	None	None	None	None	None	None	226.0810	7493.2464
33	standard	warmup	74.37	None	None	None	None	None	None	None	227.9417	7721.1972
34	standard	warmup	74.71	None	None	None	None	None	None	None	228.2658	7949.4746
35	standard	warmup	73.83	None	None	None	None	None	None	None	226.1430	8175.6283
36	standard	warmup	72.8	None	None	None	None	None	None	None	225.5545	8401.1938
37	standard	warmup	73.32	None	None	None	None	None	None	None	226.8675	8628.0717
38	standard	warmup	72.46	None	None	None	None	None	None	None	228.4597	8856.5417
39	standard	warmup	72.68	None	None	None	None	None	None	None	228.9895	9085.5413
40	standard	warmup	72.28	None	None	None	None	None	None	None	226.3421	9311.8940
41	standard	warmup	72.21	None	None	None	None	None	None	None	225.7955	9537.6998
42	standard	warmup	72.13	None	None	None	None	None	None	None	227.3196	9765.0298
43	standard	warmup	71.78	None	None	None	None	None	None	None	228.7721	9993.8123
44	standard	warmup	71.66	None	None	None	None	None	None	None	228.2238	10222.0476
45	standard	warmup	71.55	None	None	None	None	None	None	None	225.3019	10447.3598
46	standard	warmup	70.98	None	None	None	None	None	None	None	225.9764	10673.3466
47	standard	warmup	70.46	None	None	None	None	None	None	None	229.8180	10903.1750
48	standard	warmup	69.92	None	None	None	None	None	None	None	227.6113	11130.8037
49	standard	warmup	69.95	None	None	None	None	None	None	None	226.5904	11357.4052
50	standard	warmup	69.89	None	None	None	None	None	None	None	226.0795	11583.4942
51	standard	warmup	70.57	None	None	None	None	None	None	None	226.7859	11810.2909
52	standard	warmup	70.24	None	None	None	None	None	None	None	227.3674	12037.6677
53	standard	warmup	70.18	None	None	None	None	None	None	None	226.5423	12264.2199
54	standard	warmup	69.01	None	None	None	None	None	None	None	228.9223	12493.1528
55	standard	warmup	69.1	None	None	None	None	None	None	None	226.5242	12719.6865
56	standard	warmup	68.39	None	None	None	None	None	None	None	228.1299	12947.8257
57	standard	warmup	69.72	None	None	None	None	None	None	None	230.5491	13178.3859
58	standard	warmup	69.48	None	None	None	None	None	None	None	225.4350	13403.8301
59	standard	warmup	68.78	None	None	None	None	None	None	None	227.0187	13630.8594
60	standard	warmup	68.69	None	None	None	None	None	None	None	227.9844	13858.8532
61	standard	warmup	69.44	None	None	None	None	None	None	None	226.3114	14085.1746
62	standard	warmup	69.19	None	None	None	None	None	None	None	226.0443	14311.2272
63	standard	warmup	68.96	None	None	None	None	None	None	None	225.3087	14536.5440
64	standard	warmup	69.35	None	None	None	None	None	None	None	227.3082	14763.8616
65	standard	warmup	69.16	None	None	None	None	None	None	None	228.0074	14991.8773
66	standard	warmup	69.28	None	None	None	None	None	None	None	226.3772	15218.2627
67	standard	warmup	69.58	None	None	None	None	None	None	None	226.7180	15444.9903
68	standard	warmup	68.63	None	None	None	None	None	None	None	226.5878	15671.5874
69	standard	warmup	69.11	None	None	None	None	None	None	None	226.8508	15898.4462
70	standard	warmup	68.65	None	None	None	None	None	None	None	226.7178	16125.1735
71	standard	warmup	68.61	None	None	None	None	None	None	None	226.7169	16351.8982
72	standard	warmup	69.28	None	None	None	None	None	None	None	226.0576	16577.9642
73	standard	warmup	69.52	None	None	None	None	None	None	None	224.5063	16802.4785
74	standard	warmup	69.95	None	None	None	None	None	None	None	226.0918	17028.5783
75	standard	warmup	69.2	None	None	None	None	None	None	None	229.5055	17258.0933
76	standard	warmup	68.84	None	None	None	None	None	None	None	225.9009	17484.0038
77	standard	warmup	69.12	None	None	None	None	None	None	None	224.9322	17708.9467
78	standard	warmup	68.33	None	None	None	None	None	None	None	226.5835	17935.5412
79	standard	warmup	69.06	None	None	None	None	None	None	None	221.7133	18157.2638
80	standard	warmup	69.11	None	None	None	None	None	None	None	227.6925	18384.9659
81	standard	warmup	69.25	None	None	None	None	None	None	None	225.2114	18610.1881
82	standard	warmup	68.97	None	None	None	None	None	None	None	225.4461	18835.6438
83	standard	warmup	68.84	None	None	None	None	None	None	None	228.2007	19063.8554
84	standard	warmup	69.27	None	None	None	None	None	None	None	226.3602	19290.2251
85	standard	warmup	69.16	None	None	None	None	None	None	None	226.0152	19516.2495
86	standard	warmup	69.25	None	None	None	None	None	None	None	224.5363	19740.7977
87	standard	warmup	69.14	None	None	None	None	None	None	None	225.0571	19965.8646
88	standard	warmup	69.92	None	None	None	None	None	None	None	227.8489	20193.7230
89	standard	warmup	69.53	None	None	None	None	None	None	None	225.5740	20419.3078
90	standard	warmup	69.5	None	None	None	None	None	None	None	227.0778	20646.3951
91	standard	warmup	70.02	None	None	None	None	None	None	None	223.2442	20869.6499
92	standard	warmup	69.9	None	None	None	None	None	None	None	226.5026	21096.1635
93	standard	warmup	69.97	None	None	None	None	None	None	None	225.6137	21321.7869
94	standard	warmup	69.23	None	None	None	None	None	None	None	227.5987	21549.3948
95	standard	warmup	70.08	None	None	None	None	None	None	None	226.0989	21775.5029
96	standard	warmup	69.66	None	None	None	None	None	None	None	226.9118	22002.4239
97	standard	warmup	69.58	None	None	None	None	None	None	None	224.8184	22227.2529
98	standard	warmup	70.51	None	None	None	None	None	None	None	223.0395	22450.3019
99	standard	warmup	69.56	None	None	None	None	None	None	None	228.2721	22678.5834
