epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	11.35	None	None	None	None	None	None	None	61.4992	61.5061
1	standard	warmup	13.15	None	None	None	None	None	None	None	42.6038	104.1218
2	standard	warmup	81.47	None	None	None	None	None	None	None	47.7234	151.8514
3	standard	warmup	86.87	None	None	None	None	None	None	None	49.3273	201.1888
4	standard	warmup	92.39	None	None	None	None	None	None	None	48.7929	249.9897
5	standard	warmup	94.24	None	None	None	None	None	None	None	47.8832	297.8817
6	standard	warmup	95.58	None	None	None	None	None	None	None	46.0594	343.9488
7	standard	warmup	95.59	None	None	None	None	None	None	None	46.4721	390.4300
8	standard	warmup	95.7	None	None	None	None	None	None	None	47.5626	437.9990
9	standard	warmup	96.87	None	None	None	None	None	None	None	47.1708	485.1793
10	standard	warmup	96.84	None	None	None	None	None	None	None	46.8389	532.0266
11	standard	warmup	97.09	None	None	None	None	None	None	None	47.5315	579.5675
12	standard	warmup	97.19	None	None	None	None	None	None	None	49.3328	628.9064
13	standard	warmup	97.51	None	None	None	None	None	None	None	48.8419	677.7587
14	standard	warmup	97.83	None	None	None	None	None	None	None	50.5797	728.3445
15	standard	warmup	97.78	None	None	None	None	None	None	None	46.8506	775.2069
16	standard	warmup	98.13	None	None	None	None	None	None	None	47.1583	822.3727
17	standard	warmup	97.79	None	None	None	None	None	None	None	48.8603	871.2433
18	standard	warmup	97.84	None	None	None	None	None	None	None	48.6792	919.9302
19	standard	warmup	97.99	None	None	None	None	None	None	None	50.0678	970.0073
20	standard	warmup	98.32	None	None	None	None	None	None	None	49.4280	1019.4440
21	standard	warmup	98.19	None	None	None	None	None	None	None	49.0240	1068.4773
22	standard	warmup	98.33	None	None	None	None	None	None	None	47.8590	1116.3435
23	standard	warmup	98.2	None	None	None	None	None	None	None	47.8865	1164.2415
24	standard	warmup	98.42	None	None	None	None	None	None	None	47.1250	1211.3730
25	standard	warmup	98.26	None	None	None	None	None	None	None	47.7932	1259.1834
26	standard	warmup	98.42	None	None	None	None	None	None	None	48.9295	1308.1201
27	standard	warmup	98.63	None	None	None	None	None	None	None	47.4119	1355.5428
28	standard	warmup	98.6	None	None	None	None	None	None	None	47.6406	1403.1904
29	standard	warmup	98.63	None	None	None	None	None	None	None	47.8753	1451.0762
30	standard	warmup	98.62	None	None	None	None	None	None	None	49.6714	1500.7542
31	standard	warmup	98.69	None	None	None	None	None	None	None	49.1883	1549.9541
32	standard	warmup	98.6	None	None	None	None	None	None	None	46.9955	1596.9563
33	standard	warmup	98.66	None	None	None	None	None	None	None	47.5280	1644.4951
34	standard	warmup	98.63	None	None	None	None	None	None	None	51.9159	1696.4189
35	standard	warmup	98.6	None	None	None	None	None	None	None	51.0094	1747.4392
36	standard	warmup	98.63	None	None	None	None	None	None	None	49.7171	1797.1629
37	standard	warmup	98.74	None	None	None	None	None	None	None	47.4884	1844.6637
38	standard	warmup	98.59	None	None	None	None	None	None	None	47.4598	1892.1308
39	standard	warmup	98.68	None	None	None	None	None	None	None	50.2568	1942.4006
40	standard	warmup	98.72	None	None	None	None	None	None	None	49.5279	1991.9350
41	standard	warmup	98.7	None	None	None	None	None	None	None	48.8222	2040.7646
42	standard	warmup	98.7	None	None	None	None	None	None	None	48.6317	2089.4030
43	standard	warmup	98.78	None	None	None	None	None	None	None	46.8890	2136.3030
44	standard	warmup	98.69	None	None	None	None	None	None	None	47.5045	2183.8141
45	standard	warmup	98.76	None	None	None	None	None	None	None	47.9009	2231.7217
46	standard	warmup	98.68	None	None	None	None	None	None	None	47.8023	2279.5344
47	standard	warmup	98.77	None	None	None	None	None	None	None	47.4991	2327.0402
48	standard	warmup	98.78	None	None	None	None	None	None	None	45.4415	2372.4928
49	standard	warmup	98.77	None	None	None	None	None	None	None	46.1745	2418.6746
50	standard	warmup	98.71	None	None	None	None	None	None	None	46.5700	2465.2601
51	standard	warmup	98.74	None	None	None	None	None	None	None	46.7359	2512.0041
52	standard	warmup	98.84	None	None	None	None	None	None	None	47.1101	2559.1255
53	standard	warmup	98.71	None	None	None	None	None	None	None	46.4703	2605.6030
54	standard	warmup	98.75	None	None	None	None	None	None	None	45.7439	2651.3557
55	standard	warmup	98.76	None	None	None	None	None	None	None	46.7809	2698.1434
56	standard	warmup	98.83	None	None	None	None	None	None	None	46.3317	2744.4862
57	standard	warmup	98.68	None	None	None	None	None	None	None	46.3192	2790.8136
58	standard	warmup	98.63	None	None	None	None	None	None	None	45.4524	2836.2782
59	standard	warmup	98.69	None	None	None	None	None	None	None	47.8344	2884.1196
60	standard	warmup	98.84	None	None	None	None	None	None	None	47.4753	2931.6063
61	standard	warmup	98.75	None	None	None	None	None	None	None	46.7944	2978.4077
62	standard	warmup	98.82	None	None	None	None	None	None	None	46.7555	3025.1741
63	standard	warmup	98.72	None	None	None	None	None	None	None	46.4732	3071.6551
64	standard	warmup	98.64	None	None	None	None	None	None	None	47.1489	3118.8149
65	standard	warmup	98.73	None	None	None	None	None	None	None	49.0420	3167.8643
66	standard	warmup	98.78	None	None	None	None	None	None	None	45.4290	3213.3045
67	standard	warmup	98.74	None	None	None	None	None	None	None	45.9013	3259.2130
68	standard	warmup	98.8	None	None	None	None	None	None	None	45.8633	3305.0881
69	standard	warmup	98.75	None	None	None	None	None	None	None	45.7612	3350.8560
70	standard	warmup	98.49	None	None	None	None	None	None	None	47.7317	3398.5986
71	standard	warmup	98.68	None	None	None	None	None	None	None	47.3687	3445.9746
72	standard	warmup	98.57	None	None	None	None	None	None	None	46.2711	3492.2575
73	standard	warmup	98.64	None	None	None	None	None	None	None	49.1081	3541.3727
74	standard	warmup	98.67	None	None	None	None	None	None	None	46.8821	3588.2642
75	standard	warmup	98.71	None	None	None	None	None	None	None	47.0723	3635.3449
76	standard	warmup	98.67	None	None	None	None	None	None	None	45.5208	3680.8756
77	standard	warmup	98.59	None	None	None	None	None	None	None	44.5059	3725.3887
78	standard	warmup	98.5	None	None	None	None	None	None	None	48.4981	3773.8937
79	standard	warmup	98.44	None	None	None	None	None	None	None	48.2066	3822.1098
80	standard	warmup	98.4	None	None	None	None	None	None	None	47.9817	3870.0983
81	standard	warmup	98.51	None	None	None	None	None	None	None	46.2956	3916.4072
82	standard	warmup	98.29	None	None	None	None	None	None	None	46.0920	3962.5061
83	standard	warmup	98.32	None	None	None	None	None	None	None	48.1461	4010.6617
84	standard	warmup	98.32	None	None	None	None	None	None	None	47.5355	4058.2057
85	standard	warmup	98.29	None	None	None	None	None	None	None	48.6151	4106.8304
86	standard	warmup	98.23	None	None	None	None	None	None	None	45.4200	4152.2576
87	standard	warmup	98.17	None	None	None	None	None	None	None	46.1184	4198.3873
88	standard	warmup	98.29	None	None	None	None	None	None	None	46.6314	4245.0255
89	standard	warmup	98.12	None	None	None	None	None	None	None	46.3578	4291.3957
90	standard	warmup	98.06	None	None	None	None	None	None	None	45.1597	4336.5625
91	standard	warmup	98.11	None	None	None	None	None	None	None	45.2551	4381.8291
92	standard	warmup	98.04	None	None	None	None	None	None	None	47.1143	4428.9503
93	standard	warmup	97.87	None	None	None	None	None	None	None	48.7081	4477.6718
94	standard	warmup	97.93	None	None	None	None	None	None	None	45.5651	4523.2463
95	standard	warmup	97.82	None	None	None	None	None	None	None	45.0562	4568.3138
