====================================================================================================
Training started at: 2026-03-14 10:34:04
Result directory: results/fl_mnist/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_mnist/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_mnist_20260314-103404.txt
Result log file : results/fl_mnist/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_mnist_20260314-103404.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | RoundTime=107.60s | TotalTime=107.60s | Method=fedrdn
[Round 002/100] Acc=76.010 | RoundTime=58.69s | TotalTime=166.29s | Method=fedrdn
[Round 003/100] Acc=87.060 | RoundTime=59.91s | TotalTime=226.20s | Method=fedrdn
[Round 004/100] Acc=95.220 | RoundTime=59.83s | TotalTime=286.03s | Method=fedrdn
[Round 005/100] Acc=91.840 | RoundTime=58.98s | TotalTime=345.01s | Method=fedrdn
[Round 006/100] Acc=81.230 | RoundTime=60.44s | TotalTime=405.45s | Method=fedrdn
[Round 007/100] Acc=92.520 | RoundTime=60.63s | TotalTime=466.08s | Method=fedrdn
[Round 008/100] Acc=87.940 | RoundTime=59.93s | TotalTime=526.01s | Method=fedrdn
[Round 009/100] Acc=90.070 | RoundTime=59.87s | TotalTime=585.88s | Method=fedrdn
[Round 010/100] Acc=88.500 | RoundTime=59.08s | TotalTime=644.96s | Method=fedrdn
[Round 011/100] Acc=91.490 | RoundTime=60.29s | TotalTime=705.25s | Method=fedrdn
[Round 012/100] Acc=91.090 | RoundTime=64.51s | TotalTime=769.77s | Method=fedrdn
[Round 013/100] Acc=92.250 | RoundTime=57.92s | TotalTime=827.69s | Method=fedrdn
[Round 014/100] Acc=90.020 | RoundTime=58.82s | TotalTime=886.51s | Method=fedrdn
[Round 015/100] Acc=90.340 | RoundTime=59.74s | TotalTime=946.25s | Method=fedrdn
[Round 016/100] Acc=93.300 | RoundTime=58.41s | TotalTime=1004.66s | Method=fedrdn
[Round 017/100] Acc=93.990 | RoundTime=58.94s | TotalTime=1063.60s | Method=fedrdn
[Round 018/100] Acc=87.150 | RoundTime=60.24s | TotalTime=1123.85s | Method=fedrdn
[Round 019/100] Acc=92.910 | RoundTime=59.32s | TotalTime=1183.17s | Method=fedrdn
[Round 020/100] Acc=88.780 | RoundTime=59.21s | TotalTime=1242.38s | Method=fedrdn
[Round 021/100] Acc=91.300 | RoundTime=59.51s | TotalTime=1301.89s | Method=fedrdn
[Round 022/100] Acc=87.140 | RoundTime=58.62s | TotalTime=1360.50s | Method=fedrdn
[Round 023/100] Acc=91.840 | RoundTime=58.52s | TotalTime=1419.02s | Method=fedrdn
[Round 024/100] Acc=91.210 | RoundTime=57.70s | TotalTime=1476.72s | Method=fedrdn
[Round 025/100] Acc=93.150 | RoundTime=58.93s | TotalTime=1535.64s | Method=fedrdn
[Round 026/100] Acc=93.360 | RoundTime=57.38s | TotalTime=1593.03s | Method=fedrdn
[Round 027/100] Acc=94.550 | RoundTime=58.17s | TotalTime=1651.20s | Method=fedrdn
[Round 028/100] Acc=92.210 | RoundTime=57.96s | TotalTime=1709.17s | Method=fedrdn
[Round 029/100] Acc=92.600 | RoundTime=57.82s | TotalTime=1766.99s | Method=fedrdn
[Round 030/100] Acc=93.790 | RoundTime=57.60s | TotalTime=1824.59s | Method=fedrdn
[Round 031/100] Acc=92.860 | RoundTime=58.33s | TotalTime=1882.92s | Method=fedrdn
[Round 032/100] Acc=94.160 | RoundTime=58.52s | TotalTime=1941.44s | Method=fedrdn
[Round 033/100] Acc=91.250 | RoundTime=57.42s | TotalTime=1998.85s | Method=fedrdn
[Round 034/100] Acc=92.220 | RoundTime=60.01s | TotalTime=2058.87s | Method=fedrdn
[Round 035/100] Acc=93.350 | RoundTime=61.48s | TotalTime=2120.35s | Method=fedrdn
[Round 036/100] Acc=91.960 | RoundTime=62.26s | TotalTime=2182.61s | Method=fedrdn
[Round 037/100] Acc=92.300 | RoundTime=62.71s | TotalTime=2245.32s | Method=fedrdn
[Round 038/100] Acc=92.390 | RoundTime=61.47s | TotalTime=2306.80s | Method=fedrdn
[Round 039/100] Acc=92.500 | RoundTime=57.10s | TotalTime=2363.90s | Method=fedrdn
[Round 040/100] Acc=93.610 | RoundTime=57.98s | TotalTime=2421.88s | Method=fedrdn
[Round 041/100] Acc=88.860 | RoundTime=56.83s | TotalTime=2478.71s | Method=fedrdn
[Round 042/100] Acc=93.350 | RoundTime=55.80s | TotalTime=2534.51s | Method=fedrdn
[Round 043/100] Acc=92.620 | RoundTime=55.97s | TotalTime=2590.48s | Method=fedrdn
[Round 044/100] Acc=89.590 | RoundTime=57.48s | TotalTime=2647.96s | Method=fedrdn
[Round 045/100] Acc=93.250 | RoundTime=56.68s | TotalTime=2704.64s | Method=fedrdn
