epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	None	107.5964	107.5967
1	76.01	None	58.6906	166.2877
2	87.06	None	59.9119	226.1999
3	95.22	None	59.8290	286.0292
4	91.84	None	58.9835	345.0130
5	81.23	None	60.4364	405.4498
6	92.52	None	60.6304	466.0807
7	87.94	None	59.9282	526.0093
8	90.07	None	59.8701	585.8797
9	88.5	None	59.0806	644.9606
10	91.49	None	60.2934	705.2543
11	91.09	None	64.5123	769.7669
12	92.25	None	57.9186	827.6859
13	90.02	None	58.8226	886.5089
14	90.34	None	59.7414	946.2507
15	93.3	None	58.4126	1004.6635
16	93.99	None	58.9387	1063.6026
17	87.15	None	60.2426	1123.8470
18	92.91	None	59.3203	1183.1675
19	88.78	None	59.2081	1242.3760
20	91.3	None	59.5091	1301.8855
21	87.14	None	58.6156	1360.5014
22	91.84	None	58.5177	1419.0194
23	91.21	None	57.6974	1476.7171
24	93.15	None	58.9273	1535.6446
25	93.36	None	57.3834	1593.0285
26	94.55	None	58.1729	1651.2017
27	92.21	None	57.9633	1709.1653
28	92.6	None	57.8250	1766.9907
29	93.79	None	57.5977	1824.5886
30	92.86	None	58.3277	1882.9166
31	94.16	None	58.5196	1941.4365
32	91.25	None	57.4170	1998.8539
33	92.22	None	60.0148	2058.8706
34	93.35	None	61.4795	2120.3505
35	91.96	None	62.2589	2182.6097
36	92.3	None	62.7134	2245.3234
37	92.39	None	61.4740	2306.7978
38	92.5	None	57.1005	2363.8985
39	93.61	None	57.9825	2421.8813
40	88.86	None	56.8274	2478.7091
41	93.35	None	55.7965	2534.5059
42	92.62	None	55.9744	2590.4806
43	89.59	None	57.4771	2647.9580
44	93.25	None	56.6792	2704.6376
45	91.69	None	54.9591	2759.5970
46	92.08	None	57.6887	2817.2860
47	91.33	None	57.2067	2874.4944
48	91.38	None	56.5140	2931.0103
49	92.59	None	55.6871	2986.6978
50	92.2	None	55.5318	3042.2300
51	91.91	None	55.2067	3097.4370
52	89.61	None	57.6134	3155.0508
53	91.32	None	56.6192	3211.6703
54	92.49	None	56.3400	3268.0106
55	92.05	None	56.8809	3324.8919
56	91.73	None	56.1519	3381.0441
57	90.75	None	57.5396	3438.5840
58	91.62	None	56.6224	3495.2068
59	90.07	None	56.4370	3551.6442
60	91.19	None	56.5950	3608.2408
61	91.42	None	56.6754	3664.9165
62	93.93	None	56.7226	3721.6394
63	90.42	None	56.2781	3777.9179
64	92.11	None	56.8083	3834.7265
65	92.98	None	55.9828	3890.7096
66	90.98	None	56.5665	3947.2765
67	91.64	None	56.1895	4003.4663
68	94.09	None	55.0601	4058.5279
69	93.57	None	57.7674	4116.2956
70	93.1	None	55.4332	4171.7291
71	92.36	None	57.0949	4228.8244
72	93.6	None	51.9183	4280.7430
73	90.96	None	48.1584	4328.9017
74	92.15	None	48.2381	4377.1401
75	90.61	None	51.0296	4428.1700
76	93.02	None	50.6762	4478.8466
77	93.13	None	49.8472	4528.6957
78	92.94	None	50.5148	4579.2109
79	91.26	None	49.5362	4628.7475
80	89.48	None	50.0740	4678.8217
81	90.36	None	48.6456	4727.4675
82	91.5	None	49.5058	4776.9737
83	92.5	None	49.9342	4826.9082
84	92.66	None	50.2685	4877.1772
85	93.32	None	49.4217	4926.5993
86	92.35	None	49.6804	4976.2800
87	92.24	None	49.3717	5025.6521
88	92.02	None	49.7581	5075.4105
89	92.43	None	49.6297	5125.0405
90	91.72	None	50.1785	5175.2194
91	93.08	None	49.8592	5225.0788
92	92.61	None	49.5597	5274.6387
93	92.21	None	48.5516	5323.1906
94	91.7	None	49.7735	5372.9645
95	91.03	None	49.8252	5422.7900
96	90.39	None	50.1201	5472.9105
97	92.46	None	49.7909	5522.7016
98	92.72	None	49.3467	5572.0486
99	90.59	None	49.0759	5621.1248
