epoch	acc	pure	round_time_sec	total_time_sec
0	11.35	None	41.8548	41.8549
1	73.66	None	22.0508	63.9060
2	93.33	None	22.6112	86.5174
3	91.19	None	23.2445	109.7620
4	95.45	None	22.6328	132.3950
5	88.81	None	31.7502	164.1455
6	85.61	None	27.2232	191.3691
7	91.6	None	22.2576	213.6269
8	85.58	None	26.4539	240.0810
9	91.23	None	22.1037	262.1848
10	86.92	None	22.2500	284.4350
11	93.42	None	22.2879	306.7231
12	88.3	None	23.8985	330.6217
13	93.08	None	21.9586	352.5805
14	88.71	None	25.3695	377.9501
15	91.87	None	22.4306	400.3809
16	91.69	None	23.5946	423.9758
17	91.79	None	23.8144	447.7904
18	92.4	None	24.0473	471.8378
19	89.77	None	24.7067	496.5447
20	92.23	None	23.0974	519.6422
21	91.19	None	25.8619	545.5043
22	94.31	None	23.2953	568.8000
23	92.53	None	22.9622	591.7624
24	93.82	None	22.2429	614.0054
25	91.55	None	24.1141	638.1197
26	92.36	None	23.1834	661.3032
27	93.63	None	24.2039	685.5073
28	93.17	None	23.6953	709.2028
29	92.5	None	23.7822	732.9852
30	87.49	None	22.1451	755.1305
31	93.52	None	23.8307	778.9614
32	91.32	None	23.5770	802.5385
33	91.7	None	22.7691	825.3078
34	94.24	None	24.5783	849.8862
35	93.55	None	23.3748	873.2612
36	92.79	None	23.9806	897.2420
37	94.01	None	22.8057	920.0479
38	87.75	None	24.2933	944.3414
39	92.25	None	23.6917	968.0333
40	90.22	None	22.5725	990.6060
41	87.55	None	23.2123	1013.8185
42	94.05	None	23.2682	1037.0869
43	90.49	None	22.3537	1059.4407
44	91.35	None	23.5520	1082.9929
45	92.69	None	24.6394	1107.6325
46	92.58	None	23.9295	1131.5624
47	93.44	None	23.0620	1154.6245
48	93.23	None	22.8216	1177.4462
49	91.18	None	23.4341	1200.8805
50	91.8	None	24.0009	1224.8816
51	91.99	None	23.2977	1248.1795
52	93.42	None	22.9966	1271.1763
53	93.63	None	22.9413	1294.1178
54	92.61	None	23.8351	1317.9531
55	91.24	None	23.3980	1341.3512
56	91.55	None	23.6687	1365.0201
57	92.46	None	22.7987	1387.8190
58	92.15	None	22.6300	1410.4491
59	93.28	None	21.5299	1431.9792
60	90.45	None	23.8431	1455.8226
61	93.89	None	25.1228	1480.9456
62	92.18	None	23.8874	1504.8332
63	93.06	None	23.8816	1528.7150
64	93.07	None	22.4446	1551.1597
65	91.1	None	23.5573	1574.7172
66	93.13	None	24.1957	1598.9131
67	93.03	None	22.9814	1621.8947
68	92.64	None	24.7883	1646.6831
69	93.25	None	25.3406	1672.0239
70	94.03	None	23.8778	1695.9019
71	92.26	None	24.3532	1720.2553
72	92.76	None	25.1280	1745.3834
73	92.61	None	22.9914	1768.3750
74	91.78	None	24.2965	1792.6717
75	93.06	None	23.7724	1816.4443
76	92.02	None	22.6639	1839.1084
77	93.42	None	23.6556	1862.7642
78	93.67	None	24.0806	1886.8451
79	94.27	None	23.4162	1910.2614
80	93.9	None	24.8053	1935.0669
81	92.6	None	23.4845	1958.5515
82	93.33	None	23.3719	1981.9236
83	92.73	None	22.8954	2004.8192
84	92.82	None	24.2092	2029.0286
85	93.59	None	22.4389	2051.4677
86	93.41	None	23.8732	2075.3412
87	93.99	None	23.2450	2098.5864
88	92.64	None	24.1687	2122.7552
89	92.46	None	23.9870	2146.7424
90	92.62	None	24.2279	2170.9705
91	93.42	None	23.7219	2194.6926
92	92.7	None	22.9745	2217.6674
93	92.87	None	22.1153	2239.7828
94	93.74	None	23.5391	2263.3221
95	93.73	None	24.2209	2287.5431
96	92.37	None	22.4900	2310.0333
97	93.76	None	22.9207	2332.9542
98	92.78	None	24.9563	2357.9107
99	90.63	None	22.5243	2380.4352
