epoch	acc	pure	round_time_sec	total_time_sec
0	9.69	None	49.4180	49.4182
1	14.31	None	50.5503	99.9688
2	36.53	None	50.0704	150.0395
3	55.64	None	49.5889	199.6299
4	56.69	None	48.4427	248.0728
5	43.88	None	48.7637	296.8369
6	57.14	None	50.8623	347.6996
7	51.01	None	46.6457	394.3455
8	40.24	None	47.4649	441.8107
9	57.99	None	46.4768	488.2878
10	53.66	None	44.0351	532.3232
11	38.87	None	46.7799	579.1035
12	55.27	None	46.9455	626.0493
13	35.63	None	46.4675	672.5171
14	52.37	None	48.4600	720.9775
15	51.27	None	48.1573	769.1351
16	49.98	None	47.8115	816.9470
17	37.33	None	47.3988	864.3461
18	55.75	None	48.3201	912.6665
19	56.78	None	49.0948	961.7617
20	47.1	None	47.4089	1009.1709
21	51.36	None	47.0123	1056.1835
22	50.25	None	47.0880	1103.2719
23	52.09	None	47.2647	1150.5369
24	54.96	None	46.7707	1197.3079
25	49.85	None	47.5121	1244.8203
26	49.11	None	45.9607	1290.7814
27	50.34	None	45.5166	1336.2983
28	48.44	None	44.7241	1381.0227
29	48.37	None	46.0515	1427.0744
30	54.48	None	46.1579	1473.2339
31	48.67	None	45.1670	1518.4011
32	54.08	None	45.2367	1563.6382
33	45.53	None	46.2150	1609.8534
34	48.79	None	45.0553	1654.9107
35	49.85	None	45.2588	1700.1711
36	52.77	None	45.1369	1745.3085
37	46.62	None	45.4222	1790.7309
38	43.7	None	45.8662	1836.5974
39	50.48	None	45.7135	1882.3112
40	52.54	None	46.4321	1928.7438
41	54.21	None	45.1148	1973.8590
42	50.49	None	45.3938	2019.2531
43	53.1	None	45.9407	2065.1941
44	59.33	None	47.1956	2112.3901
45	52.69	None	47.7596	2160.1512
46	49.31	None	46.6664	2206.8179
47	49.7	None	46.2485	2253.0667
48	54.27	None	47.5182	2300.5852
49	47.11	None	48.9543	2349.5398
50	50.61	None	49.5569	2399.0970
51	55.07	None	50.0906	2449.1879
52	56.05	None	46.8497	2496.0378
53	49.71	None	49.9117	2545.9512
54	49.29	None	50.4083	2596.3598
55	47.1	None	51.5083	2647.8683
56	54.67	None	49.8771	2697.7457
57	53.64	None	51.4821	2749.2282
58	52.57	None	48.8142	2798.0428
59	46.87	None	49.1397	2847.1828
60	51.56	None	51.0056	2898.1887
61	45.43	None	50.2891	2948.4781
62	50.3	None	51.0242	2999.5026
63	51.04	None	50.5443	3050.0485
64	48.16	None	49.6658	3099.7147
65	48.14	None	49.3704	3149.0854
66	45.18	None	47.1988	3196.2845
67	44.81	None	50.4574	3246.7422
68	45.39	None	48.6603	3295.4028
69	56.73	None	49.9265	3345.3296
70	47.23	None	49.2989	3394.6288
71	53.82	None	50.5229	3445.1520
72	51.87	None	49.1156	3494.2680
73	55.14	None	48.4601	3542.7285
74	55.25	None	49.3764	3592.1052
75	54.34	None	48.5836	3640.6893
76	50.12	None	49.1552	3689.8449
77	48.76	None	51.3247	3741.1698
78	52.28	None	51.1026	3792.2728
79	44.49	None	47.8279	3840.1011
80	42.48	None	46.4743	3886.5757
81	49.99	None	50.6195	3937.1954
82	55.33	None	48.7810	3985.9767
83	50.33	None	50.4069	4036.3839
84	52.12	None	49.3367	4085.7208
85	42.1	None	47.2926	4133.0137
86	54.81	None	48.4329	4181.4469
87	56.99	None	48.8390	4230.2863
88	53.68	None	46.7942	4277.0809
89	53.36	None	50.1884	4327.2696
90	51.13	None	46.3460	4373.6160
91	50.72	None	45.8157	4419.4320
92	46.77	None	50.6472	4470.0795
93	52.92	None	47.9428	4518.0226
94	53.54	None	50.1064	4568.1292
95	46.07	None	49.8300	4617.9595
96	48.08	None	47.0571	4665.0169
97	49.22	None	49.8134	4714.8307
98	48.74	None	50.2877	4765.1188
99	49.93	None	47.5841	4812.7032
