====================================================================================================
Training started at: 2026-03-13 11:54:06
Result directory: results/fl_svhn/fedavg
Result txt file : results/fl_svhn/fedavg/model=fedavg_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_20260313-115406.txt
Result log file : results/fl_svhn/fedavg/model=fedavg_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_20260313-115406.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.070 | RoundTime=48.50s | TotalTime=48.50s | Method=fedavg
[Round 002/100] Acc=41.690 | RoundTime=50.78s | TotalTime=99.29s | Method=fedavg
[Round 003/100] Acc=57.660 | RoundTime=50.11s | TotalTime=149.40s | Method=fedavg
[Round 004/100] Acc=72.370 | RoundTime=50.51s | TotalTime=199.91s | Method=fedavg
[Round 005/100] Acc=67.480 | RoundTime=48.13s | TotalTime=248.04s | Method=fedavg
[Round 006/100] Acc=73.900 | RoundTime=48.79s | TotalTime=296.83s | Method=fedavg
[Round 007/100] Acc=65.630 | RoundTime=48.69s | TotalTime=345.52s | Method=fedavg
[Round 008/100] Acc=74.420 | RoundTime=46.00s | TotalTime=391.52s | Method=fedavg
[Round 009/100] Acc=75.720 | RoundTime=47.37s | TotalTime=438.89s | Method=fedavg
[Round 010/100] Acc=71.870 | RoundTime=45.83s | TotalTime=484.73s | Method=fedavg
[Round 011/100] Acc=72.610 | RoundTime=43.80s | TotalTime=528.53s | Method=fedavg
[Round 012/100] Acc=63.560 | RoundTime=46.75s | TotalTime=575.28s | Method=fedavg
[Round 013/100] Acc=64.140 | RoundTime=47.24s | TotalTime=622.52s | Method=fedavg
[Round 014/100] Acc=71.320 | RoundTime=46.01s | TotalTime=668.53s | Method=fedavg
[Round 015/100] Acc=68.220 | RoundTime=48.66s | TotalTime=717.20s | Method=fedavg
[Round 016/100] Acc=72.820 | RoundTime=48.61s | TotalTime=765.81s | Method=fedavg
[Round 017/100] Acc=73.360 | RoundTime=47.21s | TotalTime=813.02s | Method=fedavg
[Round 018/100] Acc=69.400 | RoundTime=47.78s | TotalTime=860.80s | Method=fedavg
[Round 019/100] Acc=68.300 | RoundTime=47.84s | TotalTime=908.64s | Method=fedavg
[Round 020/100] Acc=74.060 | RoundTime=48.84s | TotalTime=957.48s | Method=fedavg
[Round 021/100] Acc=70.710 | RoundTime=48.17s | TotalTime=1005.65s | Method=fedavg
[Round 022/100] Acc=71.950 | RoundTime=46.18s | TotalTime=1051.83s | Method=fedavg
[Round 023/100] Acc=63.530 | RoundTime=46.59s | TotalTime=1098.43s | Method=fedavg
[Round 024/100] Acc=66.950 | RoundTime=48.16s | TotalTime=1146.58s | Method=fedavg
[Round 025/100] Acc=69.600 | RoundTime=46.19s | TotalTime=1192.78s | Method=fedavg
[Round 026/100] Acc=66.470 | RoundTime=46.94s | TotalTime=1239.72s | Method=fedavg
[Round 027/100] Acc=66.160 | RoundTime=46.43s | TotalTime=1286.15s | Method=fedavg
[Round 028/100] Acc=63.620 | RoundTime=45.85s | TotalTime=1332.00s | Method=fedavg
[Round 029/100] Acc=71.610 | RoundTime=44.71s | TotalTime=1376.71s | Method=fedavg
[Round 030/100] Acc=70.930 | RoundTime=45.58s | TotalTime=1422.29s | Method=fedavg
[Round 031/100] Acc=69.730 | RoundTime=46.30s | TotalTime=1468.59s | Method=fedavg
[Round 032/100] Acc=63.550 | RoundTime=45.38s | TotalTime=1513.97s | Method=fedavg
[Round 033/100] Acc=66.450 | RoundTime=45.16s | TotalTime=1559.13s | Method=fedavg
[Round 034/100] Acc=67.690 | RoundTime=45.63s | TotalTime=1604.77s | Method=fedavg
[Round 035/100] Acc=67.200 | RoundTime=44.81s | TotalTime=1649.57s | Method=fedavg
[Round 036/100] Acc=64.350 | RoundTime=45.71s | TotalTime=1695.29s | Method=fedavg
[Round 037/100] Acc=67.850 | RoundTime=45.84s | TotalTime=1741.12s | Method=fedavg
[Round 038/100] Acc=65.880 | RoundTime=44.77s | TotalTime=1785.90s | Method=fedavg
[Round 039/100] Acc=68.970 | RoundTime=46.07s | TotalTime=1831.96s | Method=fedavg
[Round 040/100] Acc=70.550 | RoundTime=46.31s | TotalTime=1878.27s | Method=fedavg
