epoch	acc	pure	round_time_sec	total_time_sec
0	19.59	None	47.1818	47.1820
1	16.64	None	46.0700	93.2524
2	34.38	None	46.6230	139.8757
3	44.5	None	45.5464	185.4225
4	51.13	None	45.2382	230.6610
5	51.41	None	45.3124	275.9736
6	41.41	None	46.0340	322.0079
7	46.22	None	45.9539	367.9621
8	43.75	None	47.2800	415.2424
9	51.04	None	46.7951	462.0379
10	45.79	None	45.5950	507.6332
11	53.55	None	46.1543	553.7879
12	55.82	None	47.5754	601.3636
13	51.59	None	47.1663	648.5316
14	50.92	None	46.5632	695.0951
15	43.22	None	46.9501	742.0454
16	46.01	None	46.6590	788.7047
17	53.25	None	46.5325	835.2390
18	56.11	None	45.8181	881.0573
19	51.79	None	46.6558	927.7135
20	43.42	None	46.5153	974.2292
21	48.51	None	45.9771	1020.2066
22	55.55	None	47.5120	1067.7189
23	50.52	None	46.7392	1114.4583
24	54.28	None	47.8794	1162.3381
25	45.25	None	46.5773	1208.9158
26	46.46	None	44.9445	1253.8607
27	43.87	None	47.0455	1300.9066
28	50.54	None	46.0431	1346.9500
29	50.38	None	47.4490	1394.3993
30	56.01	None	45.8462	1440.2458
31	43.57	None	47.1833	1487.4293
32	47.83	None	46.5590	1533.9887
33	48.03	None	45.3037	1579.2928
34	42.0	None	46.6554	1625.9485
35	57.92	None	46.8894	1672.8382
36	56.62	None	45.7781	1718.6166
37	48.84	None	46.0702	1764.6871
38	53.6	None	44.3061	1808.9950
39	40.3	None	46.3196	1855.3149
40	46.87	None	46.2499	1901.5650
41	54.01	None	49.7785	1951.3439
42	53.63	None	46.6629	1998.0072
43	52.77	None	47.3275	2045.3350
44	54.66	None	47.2814	2092.6168
45	53.42	None	46.6538	2139.2709
46	48.43	None	45.3119	2184.5832
47	55.14	None	46.3317	2230.9152
48	50.19	None	47.9748	2278.8903
49	45.87	None	46.2424	2325.1331
50	48.92	None	47.0822	2372.2157
51	50.69	None	46.2920	2418.5098
52	50.78	None	45.4183	2463.9285
53	55.13	None	47.2025	2511.1313
54	45.81	None	47.9276	2559.0592
55	49.9	None	44.7702	2603.8297
56	48.74	None	45.3660	2649.1974
57	44.1	None	46.5361	2695.7337
58	47.84	None	46.7911	2742.5252
59	49.99	None	46.2225	2788.7480
60	54.23	None	47.9017	2836.6500
61	53.1	None	46.7338	2883.3842
62	51.79	None	45.7955	2929.1816
63	50.48	None	46.0021	2975.1840
64	53.07	None	47.1057	3022.2899
65	45.4	None	45.6644	3067.9547
66	53.31	None	45.9003	3113.8554
67	53.45	None	45.0582	3158.9139
68	47.31	None	47.1598	3206.0750
69	53.13	None	47.2643	3253.3398
70	54.46	None	45.3402	3298.6802
71	48.1	None	45.5898	3344.2703
72	46.2	None	44.4704	3388.7412
73	50.1	None	45.1686	3433.9101
74	47.5	None	45.0191	3478.9295
75	38.91	None	46.5959	3525.5257
76	42.47	None	46.6328	3572.1587
77	49.62	None	46.9561	3619.1151
78	49.52	None	46.0099	3665.1253
79	56.45	None	44.9564	3710.0820
80	53.05	None	48.2449	3758.3272
81	54.01	None	44.1718	3802.4993
82	49.85	None	46.0809	3848.5806
83	47.66	None	46.5729	3895.1538
84	52.64	None	47.0396	3942.1938
85	50.33	None	45.4679	3987.6621
86	50.94	None	47.2325	4034.8949
87	50.14	None	46.3906	4081.2870
88	52.1	None	46.2725	4127.5599
89	40.39	None	45.7368	4173.2969
90	50.66	None	45.9901	4219.2888
91	47.43	None	44.4642	4263.7534
92	52.19	None	45.1909	4308.9446
93	53.76	None	46.1169	4355.0618
94	42.97	None	46.5764	4401.6385
95	52.24	None	46.7683	4448.4071
96	52.29	None	46.9494	4495.3568
97	44.04	None	47.2173	4542.5744
98	48.96	None	44.6553	4587.2304
99	47.43	None	44.9200	4632.1507
